contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
060140006280/230039/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин Аи-92 в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;235704.00;{'nameRu': 'Товар'}
060140006280/230038/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин Аи-92 в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};84180.00;94281.60;{'nameRu': 'Товар'}
060140006280/230037/00;"{'nameRu': 'ТОО ""Ерекше қызмет""'}";Услуги по пошиву спортивной одежды;{'nameRu': 'Запрос ценовых предложений'};645000.00;645000.00;{'nameRu': 'Работа'}
060140006280/230035/00;{'nameRu': 'ПЕРЕТРУХИН ИЛЬЯ ВЛАДИМИРОВИЧ'};установка обновления лицензионного программного обеспечения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};30000.00;30000.00;{'nameRu': 'Услуга'}
060140006280/230034/00;"{'nameRu': 'ТОО ""Бизнес школа DG""'}";Услуги по обеспечению участия в мероприятиях;{'nameRu': 'Из одного источника путем прямого заключения договора'};40000.00;40000.00;{'nameRu': 'Услуга'}
060140006280/230033/00;"{'nameRu': 'ТОО ""CIFRTECH""'}";Приобретение компьютера в комплекте;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};438000.00;490560.00;{'nameRu': 'Товар'}
060140006280/230032/00;"{'nameRu': 'ТОО ""Редакция газеты ""Шамшырақ-Маяк""'}";Публикация в СМИ;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};19575.00;19575.00;{'nameRu': 'Услуга'}
060140006280/230031/00;"{'nameRu': 'ТОО ""Тарлан АВТО""'}";Услуги по гарантийному техническому обслуживанию автотранспорта;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};128348.21;143750.00;{'nameRu': 'Услуга'}
060140006280/230030/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин Аи-92 в талонах;{'nameRu': 'Запрос ценовых предложений'};137250.00;153720.00;{'nameRu': 'Товар'}
060140006280/230029/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин Аи-92 в талонах;{'nameRu': 'Запрос ценовых предложений'};76860.00;86083.20;{'nameRu': 'Товар'}
060140006280/230028/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Международная Академия BOLASHAK""'}";услуги по проведению семинаров;{'nameRu': 'Из одного источника путем прямого заключения договора'};45000.00;45000.00;{'nameRu': 'Услуга'}
060140006280/230027/00;{'nameRu': 'ИП ТЫРЫШКИН ВИТАЛИЙ СЕРГЕЕВИЧ'};текущий ремонт автомобиля;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};235000.00;235000.00;{'nameRu': 'Услуга'}
060140006280/230026/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин Аи-92 в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};51240.00;57388.80;{'nameRu': 'Товар'}
060140006280/230025/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин Аи-92 в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};71370.00;79934.40;{'nameRu': 'Товар'}
060140006280/230024/00;"{'nameRu': 'АО ""Нефтяная страховая компания""'}";Услуги по страхованию автомобильного транспорта;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};101356.00;101356.00;{'nameRu': 'Услуга'}
060140006280/230023/00;{'nameRu': 'ИП Канатбаев Абай Амантаевич'};Приобретение спортивного товара (лыжи);{'nameRu': 'Запрос ценовых предложений'};208430.00;208430.00;{'nameRu': 'Товар'}
060140006280/230022/00;{'nameRu': 'ИП RADLY'};Приобретение спортивного товара (палки лыжные,мячи футбольные);{'nameRu': 'Запрос ценовых предложений'};0.00;113450.00;{'nameRu': 'Товар'}
060140006280/230021/00;{'nameRu': 'ИП Кайрат'};Приобретение спортивного товара;{'nameRu': 'Запрос ценовых предложений'};133300.00;187500.00;{'nameRu': 'Товар'}
060140006280/230020/00;{'nameRu': 'ИП Жанболат'};Приобретение спортивного товара;{'nameRu': 'Запрос ценовых предложений'};211780.00;211780.00;{'nameRu': 'Товар'}
060140006280/230019/00;{'nameRu': 'ИП Жанболат'};Приобретение спортивного товара (мяч баскетбольный);{'nameRu': 'Запрос ценовых предложений'};105800.00;105800.00;{'nameRu': 'Товар'}
060140006280/230018/00;"{'nameRu': 'ТОО ""Ерекше қызмет""'}";Услуги по пошиву спортивной одежды;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};990900.00;990900.00;{'nameRu': 'Работа'}
060140006280/230017/00;{'nameRu': 'ИП Гаганин В.В.'};Приобретение наградных медалей;{'nameRu': 'Запрос ценовых предложений'};323100.00;323100.00;{'nameRu': 'Товар'}
060140006280/230016/00;{'nameRu': 'ИП Мир Наград'};Приобретение памятных призов -кубки;{'nameRu': 'Запрос ценовых предложений'};361040.00;361040.00;{'nameRu': 'Товар'}
060140006280/230015/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Определение кадастровой (оценочной) стоимости земельного участка;{'nameRu': 'Из одного источника путем прямого заключения договора'};19631.72;21987.53;{'nameRu': 'Работа'}
060140006280/230014/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин Аи-92 в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};170303.57;190740.00;{'nameRu': 'Товар'}
060140006280/230013/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Бумага А 4;{'nameRu': 'Запрос ценовых предложений'};100123.00;112137.76;{'nameRu': 'Товар'}
060140006280/230012/00;"{'nameRu': 'ТОО ""Редакция газеты ""Шамшырақ-Маяк""'}";публикация объявления График приема граждан;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};26100.00;34800.00;{'nameRu': 'Услуга'}
060140006280/230011/00;"{'nameRu': 'ТОО ""Торговый Дом ""Allur""'}";Автобус;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};17300000.00;17300000.00;{'nameRu': 'Товар'}
060140006280/230010/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги по доступу к интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};143660.71;386160.00;{'nameRu': 'Услуга'}
060140006280/230009/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги местной телефонной связи ( абонплата);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};8502.10;134400.00;{'nameRu': 'Услуга'}
060140006280/230008/00;{'nameRu': 'ИП Перетрухин ИВ'};Услуга по работе заправке картриджей с целью дальнейшей эксплуатации;{'nameRu': 'Запрос ценовых предложений'};46800.00;87100.00;{'nameRu': 'Услуга'}
060140006280/230007/00;{'nameRu': 'ПЕРЕТРУХИН ИЛЬЯ ВЛАДИМИРОВИЧ'};Техническое обслуживание средств вычислительной техники;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};79200.00;105600.00;{'nameRu': 'Услуга'}
