contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
990440005049/230035/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Хозяйственные товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;333175.00;{'nameRu': 'Товар'}
990440005049/230034/00;"{'nameRu': 'ИП "" Кемпф ""'}";Хозяйственные товары;{'nameRu': 'Запрос ценовых предложений'};0.00;153970.00;{'nameRu': 'Товар'}
990440005049/230033/00;"{'nameRu': 'ТОО ""СКАЖ и М""'}";Хозяйственные товары;{'nameRu': 'Запрос ценовых предложений'};0.00;300577.76;{'nameRu': 'Товар'}
990440005049/230032/00;{'nameRu': 'Товарищество с ограниченной ответственностью Company МАГНАТ'};Медикаменты;{'nameRu': 'Электронный магазин'};0.00;94904.00;{'nameRu': 'Товар'}
990440005049/230031/00;{'nameRu': 'ИП Видео Страж'};Обслуживание тревожной кнопки;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;100000.00;{'nameRu': 'Услуга'}
990440005049/230030/01;"{'nameRu': 'ИП""Лыкова""'}";Текущий ремонт здания КГКП Балауса отдела образования Мендыкаринского района Управления образования акимата Костанайской области;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2499000.00;{'nameRu': 'Работа'}
990440005049/230030/00;"{'nameRu': 'ИП""Лыкова""'}";"Текущий ремонт здания КГКП &amp;quot;Балауса&amp;quot; отдела образования Мендыкаринского района &amp;quot;Управления образования акимата Костанайской области";{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2231238.00;{'nameRu': 'Работа'}
990440005049/230029/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Хозяйственные товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;280040.00;{'nameRu': 'Товар'}
990440005049/230028/00;"{'nameRu': 'ИП "" Кемпф ""'}";Хозяйственные товары;{'nameRu': 'Запрос ценовых предложений'};0.00;224000.00;{'nameRu': 'Товар'}
990440005049/230027/00;"{'nameRu': 'ТОО ""Меңдіқара 2011""'}";Услуги по удалению неопасных отходов/имущества/материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;115262.00;{'nameRu': 'Услуга'}
990440005049/230026/00;"{'nameRu': 'Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской области'}";Услуги по медицинскому осмотру персонала;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;240540.00;{'nameRu': 'Услуга'}
990440005049/230025/00;"{'nameRu': 'АО ""Компания по страхованию жизни ""Государственная аннуитетная компания""'}";Страхование жизни;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;118900.00;{'nameRu': 'Услуга'}
990440005049/230024/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Канцелярские товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;218550.00;{'nameRu': 'Товар'}
990440005049/230021/01;{'nameRu': 'ИП РЕЗЕ В. В.'};Выкачка нечистот;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;597000.00;{'nameRu': 'Услуга'}
990440005049/230023/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Хозяйственные товары;{'nameRu': 'Запрос ценовых предложений'};0.00;322060.00;{'nameRu': 'Товар'}
990440005049/230022/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуга связи;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;240000.00;{'nameRu': 'Услуга'}
990440005049/230021/00;{'nameRu': 'ИП РЕЗЕ В. В.'};Выкачка нечистот;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;668640.00;{'nameRu': 'Услуга'}
990440005049/230020/00;{'nameRu': 'ИП  ГОВОРУХА  СЕРГЕЙ  ЛЕОНИДОВИЧ'};Обслуживание пожарной сигнализации;{'nameRu': 'Запрос ценовых предложений'};0.00;44000.00;{'nameRu': 'Услуга'}
990440005049/230019/00;{'nameRu': 'ИП Прахт'};Обслуживание видеонаблюдения;{'nameRu': 'Запрос ценовых предложений'};0.00;50000.00;{'nameRu': 'Услуга'}
990440005049/230018/00;{'nameRu': 'ИП КОСОВ АЛЕКСАНДР ВИКТОРОВИЧ'};Заправка картриджа;{'nameRu': 'Запрос ценовых предложений'};0.00;119000.00;{'nameRu': 'Работа'}
990440005049/230017/00;"{'nameRu': 'Костанайский областной филиал №229900 Акционерного общества ""Народный сберегательный банк Казахстана""'}";Услуги банка по ведению заработной платы и комиссионного сбора;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;231000.00;{'nameRu': 'Услуга'}
990440005049/230016/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Гигиеническое обучение;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;36000.00;{'nameRu': 'Услуга'}
990440005049/230015/00;{'nameRu': 'ИП ЖАПАРОВА А.А.'};"Программное обеспечение &amp;quot;1С:Предприятие 8&amp;quot;";{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;302000.00;{'nameRu': 'Услуга'}
990440005049/230014/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Приобретение продуктов питания;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;2428520.00;{'nameRu': 'Товар'}
990440005049/230013/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Приобретение продуктов питания (кондитерские изделия, напитки);{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;1342650.00;{'nameRu': 'Товар'}
990440005049/230012/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Приобретение продуктов питания - крупы (бобовые, макаронные изделия);{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;452700.00;{'nameRu': 'Товар'}
990440005049/230011/00;{'nameRu': 'ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЫСТРЕНКО А.В.'};Приобретение продуктов питания (овощи,фрукты);{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;1479100.00;{'nameRu': 'Товар'}
990440005049/230010/00;"{'nameRu': 'ТОО ""Арман-Роз""'}";Приобретение хлебобулочных изделий;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;856500.00;{'nameRu': 'Товар'}
990440005049/230009/00;{'nameRu': 'ИП МАДИЯРОВА С.Б.'};Мясо говядина;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;4185391.84;{'nameRu': 'Товар'}
990440005049/230008/00;"{'nameRu': 'ТОО ""ПК ВИТА""'}";Молочные продукты питания;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;4124983.52;{'nameRu': 'Товар'}
990440005049/230007/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Дератизация, дезинсекция;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;35400.00;{'nameRu': 'Услуга'}
990440005049/230006/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Камерная обработка постели;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;56310.00;{'nameRu': 'Услуга'}
990440005049/230005/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Периодический медицинский осмотр персонала;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;415600.00;{'nameRu': 'Услуга'}
990440005049/230004/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Производственный контроль;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;278265.00;{'nameRu': 'Услуга'}
990440005049/230003/00;{'nameRu': 'Государственное коммунальное предприятие «Боровское ЖКХ-2016» государственного учреждения «Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог Мендыкаринского района»'};Холодная вода;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;320752.41;{'nameRu': 'Товар'}
990440005049/230002/00;{'nameRu': 'Государственное коммунальное предприятие «Боровское ЖКХ-2016» государственного учреждения «Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог Мендыкаринского района»'};Тепловая энергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;10911385.26;{'nameRu': 'Товар'}
990440005049/230001/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;3005184.00;{'nameRu': 'Товар'}
990440005049/A0EYZD/00;"{'nameRu': 'АО ""ЦЭФ""'}";;{'nameRu': 'Из одного источника путем прямого заключения договора'};61607.14;69000.00;{'nameRu': 'Услуга'}
