contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
191040024115/230029/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};32142.86;231000.00;{'nameRu': 'Товар'}
191040024115/230028/00;{'nameRu': 'ИП Табыс-Қос'};продукты питания;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};32857.09;57499.68;{'nameRu': 'Товар'}
191040024115/230027/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Фирма ""Конструктивное решение""""'}";Совершенствование навыков оказания государственных услуг;{'nameRu': 'Из одного источника путем прямого заключения договора'};33000.00;33000.00;{'nameRu': 'Услуга'}
191040024115/230026/00;{'nameRu': 'ИП МУХАНГАЛИЕВ КАНАТ АКИМГАЛИЕВИЧ'};продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};68800.00;318000.00;{'nameRu': 'Товар'}
191040024115/230025/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};1587825.71;6431400.00;{'nameRu': 'Товар'}
191040024115/230024/00;{'nameRu': 'ИП Табыс-Қос'};продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};361115.52;1896850.00;{'nameRu': 'Товар'}
191040024115/230021/01;{'nameRu': 'ИП МУХАНГАЛИЕВ КАНАТ АКИМГАЛИЕВИЧ'};азық-түлік өнімдері;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};657766.00;1194200.00;{'nameRu': 'Товар'}
191040024115/230020/01;"{'nameRu': 'ТОО ""Султан 2014""'}";продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};1737651.77;2384800.00;{'nameRu': 'Товар'}
191040024115/230023/00;"{'nameRu': 'ТОО ""HILBERT""'}";Пылесос моющий;{'nameRu': 'Запрос ценовых предложений'};135800.00;135800.00;{'nameRu': 'Товар'}
191040024115/230022/00;"{'nameRu': 'АО ""Казахтелеком""'}";Доступ к сети Интернет;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};214098.88;454400.00;{'nameRu': 'Услуга'}
191040024115/230021/00;{'nameRu': 'ИП МУХАНГАЛИЕВ КАНАТ АКИМГАЛИЕВИЧ'};продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};359211.00;1151700.00;{'nameRu': 'Товар'}
191040024115/230020/00;"{'nameRu': 'ТОО ""Султан 2014""'}";продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};825124.11;2261050.00;{'nameRu': 'Товар'}
191040024115/230019/00;{'nameRu': 'ИП ГРИГОРЬЕВ СЕРГЕЙ ВАСИЛЬЕВИЧ'};проверка огнетушителей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;5500.02;{'nameRu': 'Услуга'}
