contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140006586/230047/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";переподготовке и повышению квалификации кадров работников финансовой службы и бухгалтерии;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;50000.00;{'nameRu': 'Услуга'}
050140006586/230046/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Проведение экспертизы качества работ и материалов среднего ремонта автомобильной дороги улиц Дуйсекеева и Желтоксан села Тауш Джангельдинского района Костанайской области;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;910969.83;{'nameRu': 'Работа'}
050140006586/230045/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Проведение ведомственной комплексной экспертизы на средний ремонт автомобильных дорог улиц Астана, Наурыз,Торғай, Албарбөгет, Қаратүбек села Тауыш Джангельдинского района Костанайской области;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050140006586/230044/00;{'nameRu': 'Глобус'};Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};0.00;20140.00;{'nameRu': 'Товар'}
050140006586/230043/00;"{'nameRu': 'ТОО ""АЛЮМИНСТРОЙ""'}";Средний ремонт автомобильных дорог улиц Дуйсекеева и Желтоксан села Тауиш Джангельдинского района Костанайской области.;{'nameRu': 'Открытый конкурс'};0.00;169370940.48;{'nameRu': 'Работа'}
050140006586/230042/00;{'nameRu': 'ИП Исмагулов'};Разработка технической документации на средний ремонт автомобильных дорог улицы Астана, Наурыз, Тургай, Албарбугет, Каратубек в селе Тауыш Джангельдинского района Костанайской области;{'nameRu': 'Запрос ценовых предложений'};0.00;312500.00;{'nameRu': 'Работа'}
050140006586/230041/00;{'nameRu': 'ХАЛЫКОВА РАЯ ХАЛЫКОВНА'};Приобретение уголь каменный (Шубаркол);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;1891999.32;{'nameRu': 'Товар'}
050140006586/230040/00;{'nameRu': 'ГКП «Предприятие коммунального хозяиства» отдела жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции Джангельдинского района'};Услуги по передаче холодной воды;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;200000.00;{'nameRu': 'Услуга'}
050140006586/230039/00;{'nameRu': 'ИП Индивидуальный предприниматель КОШЕМЕТОВ СЕРИК КОШЕМЕТОВИЧ'};Текущий ремонт автомобиля Lada 21214;{'nameRu': 'Запрос ценовых предложений'};266000.00;266000.00;{'nameRu': 'Работа'}
050140006586/230038/00;"{'nameRu': 'ТОО ""Samruk Tekstil""'}";Государственный флаг РК (уличный);{'nameRu': 'Запрос ценовых предложений'};17394.00;19481.28;{'nameRu': 'Товар'}
050140006586/230037/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""SG Eurasia""'}";Приобретение ранцевый аппарат огнетушитель;{'nameRu': 'Запрос ценовых предложений'};94500.00;94500.00;{'nameRu': 'Товар'}
050140006586/230036/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Проведение ведомственной комплексной экспертизы на средний ремонт автомобильных дорог улиц Дуйсекеева и Желтоксан села Тауыш Джангельдинского района Костанайской области;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050140006586/230035/00;{'nameRu': 'ХАЛЫКОВА РАЯ ХАЛЫКОВНА'};Проведение работ по благоустройству Жаркольского сельского округа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};446428.57;500000.00;{'nameRu': 'Работа'}
050140006586/230034/00;{'nameRu': 'ИП DAULET-INVEST'};приобретение стройматериалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;51800.00;{'nameRu': 'Товар'}
050140006586/230033/00;"{'nameRu': 'ИП ""Сапарғали""'}";Приобретение ноутбука;{'nameRu': 'Запрос ценовых предложений'};0.00;139900.00;{'nameRu': 'Товар'}
050140006586/230032/00;{'nameRu': 'Штамп и К'};Работы по изготовлению гербовой печати;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;8920.00;{'nameRu': 'Работа'}
050140006586/230031/00;"{'nameRu': 'ТОО ""Euro-Asia Consulting""'}";Подписка на видеоконференции по государственным закупкам Республики Казахстан с изменениями и дополнениями;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;25000.00;{'nameRu': 'Услуга'}
050140006586/230030/00;{'nameRu': 'Индивидуальный предприниматель ТУЛЕГЕНОВ РУСЛАН ОНГАРОВИЧ'};Обустройство скотомогильника в с.Тауыш Джангельдинский района;{'nameRu': 'Запрос ценовых предложений'};2300000.00;2300000.00;{'nameRu': 'Услуга'}
050140006586/230029/00;"{'nameRu': '""SUNRISE""'}";Приобретение шуруповерт;{'nameRu': 'Запрос ценовых предложений'};0.00;25990.00;{'nameRu': 'Товар'}
