contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140004252/230030/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Услуги по экспертизе/анализу/проверке документации по улице Комсомольская в селе Клочково;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050140004252/230029/00;"{'nameRu': 'ТОО ""Tender Consulting Compani""'}";Работы по разработке технической документации для среднего ремонта улицы Комсомольская Клочковского сельского округа;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;560000.00;{'nameRu': 'Работа'}
050140004252/230028/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";Проведение семинара по бухгалтерскому учету;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;50000.00;{'nameRu': 'Услуга'}
050140004252/230027/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};Повышение квалификации государственных служащих;{'nameRu': 'Из одного источника путем прямого заключения договора'};48120.00;48120.00;{'nameRu': 'Услуга'}
050140004252/230026/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин марки АИ-92 (в талонах);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};183035.71;205000.00;{'nameRu': 'Товар'}
050140004252/230025/00;{'nameRu': 'ИП   Ильяс'};Приобретение хоз товаров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};3196.00;3196.00;{'nameRu': 'Товар'}
050140004252/230024/00;{'nameRu': 'ИП   Ильяс'};Приобретение хоз товаров;{'nameRu': 'Запрос ценовых предложений'};6599.00;6599.00;{'nameRu': 'Товар'}
050140004252/230023/00;{'nameRu': 'ИП Бучель Игорь Михайлович'};Услуга по диагностике, техническому обслуживанию и ремонту автомашины;{'nameRu': 'Из одного источника путем прямого заключения договора'};95500.00;95500.00;{'nameRu': 'Услуга'}
050140004252/230022/00;{'nameRu': 'ИП Омельяненко Виталий Алексеевич'};Работы по ремонту компьютерной оргтехники;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};30000.00;30000.00;{'nameRu': 'Работа'}
050140004252/230021/00;"{'nameRu': 'ТОО ""ГАВАР""'}";Текущий ремонт здания акимата в с. Клочково;{'nameRu': 'Из одного источника путем прямого заключения договора'};897321.43;1005000.00;{'nameRu': 'Работа'}
050140004252/230020/00;"{'nameRu': 'ТОО ""Центрум""'}";Изготовление фирменных бланков;{'nameRu': 'Запрос ценовых предложений'};7800.00;7800.00;{'nameRu': 'Услуга'}
050140004252/230019/00;{'nameRu': 'ИП ТЫНЫМБАЕВ ЖАНДОС СЕРИКОВИЧ'};Приобретение государственного флага РК;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};18500.00;18500.00;{'nameRu': 'Товар'}
050140004252/230018/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};Повышение квалификации государственных служащих;{'nameRu': 'Из одного источника путем прямого заключения договора'};48120.00;48120.00;{'nameRu': 'Услуга'}
050140004252/230017/00;{'nameRu': 'ИП ЗАКАРИЯНОВ'};Приобретение мобильного планшета со стилусом;{'nameRu': 'Запрос ценовых предложений'};96991.00;96991.00;{'nameRu': 'Товар'}
050140004252/230016/00;"{'nameRu': 'АО Страховая компания ""Basel""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Запрос ценовых предложений'};25646.00;25646.00;{'nameRu': 'Услуга'}
050140004252/230015/00;{'nameRu': 'ИП Бучель Игорь Михайлович'};Услуга по диагностике, техническому обслуживанию и ремонту автомашины с использованием запасных частей и расходных материалов за счет Поставщика;{'nameRu': 'Из одного источника путем прямого заключения договора'};51200.00;51200.00;{'nameRu': 'Услуга'}
050140004252/230014/00;{'nameRu': 'ИП ШУМ ОКСАНА ВАСИЛЬЕВНА'};Работы по ремонту автотранспортных средств;{'nameRu': 'Из одного источника путем прямого заключения договора'};80000.00;80000.00;{'nameRu': 'Работа'}
050140004252/230013/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Дезинфекция колодцев;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;38640.00;{'nameRu': 'Услуга'}
