contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
970340000176/230399/01;"{'nameRu': 'ТОО ""АСКОС+""'}";Услуги по авторскому/техническому надзору/Реконструкция тепловых сетей города Лисаковска от ТК9 (ТК-район хлебзавода) до ТК-9 (школа-интернат);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1719999.68;{'nameRu': 'Услуга'}
970340000176/230170/01;"{'nameRu': 'ТОО ""Алатау сапа құрылыс""'}";Инжиниринговые услуги по осуществлению технического надзора на объекте «Реконструкция тепловых сетей города Лисаковска от ТК-9 (ТК-район хлебзавода) до ТК-9 (школа-интернат)»;{'nameRu': 'Открытый конкурс'};0.00;10843478.24;{'nameRu': 'Услуга'}
970340000176/230819/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Северный регион 2030 KZ""'}";Шина для легкового автомобиля;{'nameRu': 'Запрос ценовых предложений'};0.00;339584.00;{'nameRu': 'Товар'}
970340000176/230803/01;{'nameRu': 'Astana Electro Company'};Светильник светодиодный потолочный;{'nameRu': 'Запрос ценовых предложений'};0.00;54620.00;{'nameRu': 'Товар'}
970340000176/230876/00;{'nameRu': 'ИП Кожуров С.М.'};запасные части (ВАЗ);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;6140.96;{'nameRu': 'Товар'}
970340000176/230826/01;{'nameRu': 'ИП Әділет'};Лопата;{'nameRu': 'Электронный магазин'};0.00;34500.00;{'nameRu': 'Товар'}
970340000176/230817/01;"{'nameRu': 'ТОО ""СИЛА ВОЛИ - КҮШ ЖІГЕР""'}";Брюки утепленные;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;440384.00;{'nameRu': 'Товар'}
970340000176/230875/00;{'nameRu': 'ИП Кожуров С.М.'};запасные части (УАЗ);{'nameRu': 'Запрос ценовых предложений'};0.00;21891.52;{'nameRu': 'Товар'}
970340000176/230874/00;{'nameRu': 'ИП Кожуров С.М.'};запасные части (ЗиЛ);{'nameRu': 'Запрос ценовых предложений'};0.00;39661.44;{'nameRu': 'Товар'}
970340000176/230873/00;"{'nameRu': 'ТОО ""K-44""'}";Чернила;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;112000.00;{'nameRu': 'Товар'}
970340000176/230726/01;{'nameRu': 'Ходжимов'};Задвижка;{'nameRu': 'Запрос ценовых предложений'};0.00;560000.00;{'nameRu': 'Товар'}
970340000176/230872/00;{'nameRu': 'ИП ПИЛИПЕНКО ЮРИЙ ЮРЬЕВИЧ'};Керосин;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;448000.00;{'nameRu': 'Товар'}
970340000176/230765/01;{'nameRu': 'ИП Мукашова'};кабель;{'nameRu': 'Запрос ценовых предложений'};0.00;252310.00;{'nameRu': 'Товар'}
970340000176/230871/00;"{'nameRu': 'ТОО ""Росзапчасть""'}";запасные части (УАЗ);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;30800.00;{'nameRu': 'Товар'}
970340000176/230870/00;{'nameRu': 'Инструменты'};Насос для воды и других  жидкостей;{'nameRu': 'Запрос ценовых предложений'};0.00;21123.00;{'nameRu': 'Товар'}
970340000176/230869/00;"{'nameRu': 'ТОО ""Led Mart""'}";Лампа светодиодная;{'nameRu': 'Запрос ценовых предложений'};0.00;24600.00;{'nameRu': 'Товар'}
970340000176/230799/01;{'nameRu': 'ИП NSS'};Выключатель автоматический, трехполюсный;{'nameRu': 'Запрос ценовых предложений'};0.00;25800.00;{'nameRu': 'Товар'}
970340000176/230867/00;{'nameRu': 'túımedaq'};Светильник;{'nameRu': 'Запрос ценовых предложений'};0.00;185400.00;{'nameRu': 'Товар'}
970340000176/230866/00;"{'nameRu': 'ТОО ""Шек 2006""'}";Замеры скорости воздуха в вытяжных шкафах (5 точек);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;12000.00;{'nameRu': 'Услуга'}
970340000176/230865/00;{'nameRu': 'ИП Колдау'};Усилитель сотового сигнала Baltic Signal MJ980;{'nameRu': 'Электронный магазин'};0.00;41890.00;{'nameRu': 'Товар'}
970340000176/230864/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ЭТК Промкомплект""'}";Провод марка ПУНП;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;38080.00;{'nameRu': 'Товар'}
970340000176/230863/00;"{'nameRu': 'ИП ""АЙЗЕРЕ""'}";Термоблок для принтера;{'nameRu': 'Запрос ценовых предложений'};0.00;74428.48;{'nameRu': 'Товар'}
970340000176/230862/00;"{'nameRu': 'ТОО ""БН-Энерго""'}";Зажим прокалывающий для соединения проводников;{'nameRu': 'Запрос ценовых предложений'};0.00;21840.00;{'nameRu': 'Товар'}
970340000176/230861/00;{'nameRu': 'ИП Кожуров С.М.'};запасные части (ГАЗ);{'nameRu': 'Запрос ценовых предложений'};0.00;6858.88;{'nameRu': 'Товар'}
970340000176/230860/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Investment solutions Astana""'}";Перчатки резиновые (хозяйственные);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;224000.00;{'nameRu': 'Товар'}
970340000176/230859/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ZAK ENERGY""'}";Контактор электромагнитный малогабаритный;{'nameRu': 'Запрос ценовых предложений'};0.00;95200.00;{'nameRu': 'Товар'}
970340000176/230858/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Kemel Academy""'}";Обучение ИТР по вопросам безопасности и охране труда;{'nameRu': 'Запрос ценовых предложений'};0.00;63536.00;{'nameRu': 'Услуга'}
970340000176/230857/00;{'nameRu': 'ИП Есбол'};Контактор электромагнитный малогабаритный;{'nameRu': 'Запрос ценовых предложений'};0.00;64800.00;{'nameRu': 'Товар'}
970340000176/230856/00;{'nameRu': 'ИП ТИРЯННИК С.В.'};Запасные части (ЗиЛ);{'nameRu': 'Запрос ценовых предложений'};0.00;6160.00;{'nameRu': 'Товар'}
970340000176/230855/00;{'nameRu': 'ИП Кожуров С.М.'};Запасные части (ГАЗ);{'nameRu': 'Запрос ценовых предложений'};0.00;6280.96;{'nameRu': 'Товар'}
970340000176/230786/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""КосДинКом""'}";запасные части (автобус);{'nameRu': 'Запрос ценовых предложений'};5550.00;39827.20;{'nameRu': 'Товар'}
970340000176/230854/00;"{'nameRu': 'ТОО ""Виктория ПРОМДИАГНОСТИКА""'}";Услуги по техническому обслуживанию энергетических котлов/котельного оборудования и аналогичного энергетического оборудования и систем;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;179200.00;{'nameRu': 'Услуга'}
970340000176/230853/00;"{'nameRu': 'ТОО ""Каз Интер Уголь""'}";Уголь каменный длиннопламенный;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;168000.00;{'nameRu': 'Товар'}
970340000176/230852/00;{'nameRu': 'ИП ТИРЯННИК С.В.'};Запасные части (сальник);{'nameRu': 'Запрос ценовых предложений'};0.00;12544.00;{'nameRu': 'Товар'}
970340000176/230851/00;"{'nameRu': 'Республиканское государственное предприятие на праве хозяйственного ведения «Государственная вневедомственная экспертиза проектов» Комитета по делам строительства и жилищно-коммунального хозяйства Министерства промышленности и строительства Республики Казахстан (РГП ""Госэкспертиза"")'}";на проведение комплексной вневедомственной экспертизы по рабочему проекту «Реконструкция трубопровода сточных вод КО-2(коллектор очищенных стоков) в городе Лисаковск, Костанайской области»;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1926424.64;{'nameRu': 'Работа'}
970340000176/230850/00;"{'nameRu': 'Республиканское государственное предприятие на праве хозяйственного ведения «Государственная вневедомственная экспертиза проектов» Комитета по делам строительства и жилищно-коммунального хозяйства Министерства промышленности и строительства Республики Казахстан (РГП ""Госэкспертиза"")'}";проведение комплексной вневедомственной экспертизы по рабочему проекту «Реконструкция магистральной тепловой сети от УТ-21 до УТ-28 в городе Лисаковск, Костанайской области»;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1483084.96;{'nameRu': 'Работа'}
970340000176/230677/02;"{'nameRu': 'ТОО ""Аналит Био Фарм Плюс""'}";Кювета;{'nameRu': 'Запрос ценовых предложений'};21560.00;43120.00;{'nameRu': 'Товар'}
970340000176/230849/00;{'nameRu': 'ИП Кожуров С.М.'};запасные части (ГАЗ);{'nameRu': 'Запрос ценовых предложений'};0.00;20258.56;{'nameRu': 'Товар'}
970340000176/230848/00;{'nameRu': 'ИП Кожуров С.М.'};запасные части (ГАЗ);{'nameRu': 'Запрос ценовых предложений'};0.00;9803.36;{'nameRu': 'Товар'}
970340000176/230846/00;"{'nameRu': 'ТОО ""STS-KST""'}";Спирт эфиро-альдегидная фракция;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;17808.00;{'nameRu': 'Товар'}
970340000176/230845/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Соль техническая таблетированная;{'nameRu': 'Запрос ценовых предложений'};0.00;42300.00;{'nameRu': 'Товар'}
970340000176/230684/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""МЕДФАРМИМПОРТ""'}";Медикаменты;{'nameRu': 'Электронный магазин'};26390.00;28380.00;{'nameRu': 'Товар'}
970340000176/230844/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""KAMD-Market""'}";Фланец;{'nameRu': 'Из одного источника путем прямого заключения договора'};106250.00;119000.00;{'nameRu': 'Товар'}
970340000176/230843/00;"{'nameRu': 'Республиканское государственное предприятие на праве хозяйственного ведения «Государственная вневедомственная экспертиза проектов» Комитета по делам строительства и жилищно-коммунального хозяйства Министерства промышленности и строительства Республики Казахстан (РГП ""Госэкспертиза"")'}";"Проведение комплексной вневедомственной экспертизы по рабочему проекту &amp;quot;Реконструкция хозпитьевого водопровода (от т.1 до т.51) в городе Лисаковск, Костанайской области&amp;quot;";{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1168837.60;{'nameRu': 'Работа'}
970340000176/230842/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""УПП ОО ""ЮКО СВВА""'}";Стул офисный, каркас металлический;{'nameRu': 'Запрос ценовых предложений'};0.00;418185.60;{'nameRu': 'Товар'}
970340000176/230769/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Жолдас-2000""'}";Ключ трубный, рычажный;{'nameRu': 'Запрос ценовых предложений'};0.00;100229.92;{'nameRu': 'Товар'}
970340000176/230841/00;"{'nameRu': 'ТОО ""РМЗ Лисаковск""'}";Аренда вилочного погрузчика (с водителем) грузоподъемностью 3 тн.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;420000.00;{'nameRu': 'Услуга'}
970340000176/230840/00;"{'nameRu': 'Костанайское УПП ОО ""КОГ""'}";Мебель для общественных помещений;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2361000.00;{'nameRu': 'Товар'}
970340000176/230839/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""КосДинКом""'}";запасные части (ГАЗ);{'nameRu': 'Запрос ценовых предложений'};0.00;25664.80;{'nameRu': 'Товар'}
970340000176/230788/01;"{'nameRu': 'ТОО ""Спецобувьторг""'}";Ботинки;{'nameRu': 'Запрос ценовых предложений'};0.00;677846.40;{'nameRu': 'Товар'}
