contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
970740001767/230090/00;"{'nameRu': 'Костанайский ОФ АО ""Казпочта""'}";маркированные конверты;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;55000.00;{'nameRu': 'Услуга'}
970740001767/230089/00;"{'nameRu': 'Государственное коммунальное предприятие ""Костанай-Су"" акимата города Костаная государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата города Костаная""'}";Услуги холодного водоснабжения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;630000.00;{'nameRu': 'Услуга'}
970740001767/230085/00;"{'nameRu': 'ТОО ""Производственно-коммерческая фирма ""Теплосервис""'}";Услуги по поверке средств измерений (поверка манометров в количестве 2 штук с выдачей соответствующих сертификатов);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;4480.00;{'nameRu': 'Услуга'}
970740001767/230084/00;{'nameRu': 'ИП Айнел'};установка подсветки гос.символов;{'nameRu': 'Запрос ценовых предложений'};0.00;140000.00;{'nameRu': 'Услуга'}
970740001767/230083/00;{'nameRu': 'ИП Касимова'};Грязезащитные резиновые коврики;{'nameRu': 'Запрос ценовых предложений'};0.00;89091.00;{'nameRu': 'Товар'}
970740001767/230073/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Qazaq Jeńimpaz""'}";текущий ремонт здания;{'nameRu': 'Открытый конкурс'};10104784.00;11317358.08;{'nameRu': 'Работа'}
970740001767/230082/00;"{'nameRu': 'ТОО ""Intelect""'}";установка СКУД;{'nameRu': 'Запрос ценовых предложений'};349000.00;349000.00;{'nameRu': 'Работа'}
970740001767/230081/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""КосДинКом""'}";изготовление дивана;{'nameRu': 'Запрос ценовых предложений'};143000.00;160160.00;{'nameRu': 'Работа'}
970740001767/230080/00;"{'nameRu': 'ТОО ""Sarapshy KZ""'}";выдача заключения о состоянии гаража;{'nameRu': 'Запрос ценовых предложений'};0.00;492800.00;{'nameRu': 'Работа'}
970740001767/230008/01;"{'nameRu': 'Костанайский областной филиал №229900 Акционерного общества ""Народный сберегательный банк Казахстана""'}";банковские услуги;{'nameRu': 'Из одного источника путем прямого заключения договора'};52634.84;52634.84;{'nameRu': 'Услуга'}
970740001767/230079/00;{'nameRu': 'Калкаева Шнара Болатовна'};Услуги по промывке и опрессовке системы отопления;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};72000.00;72000.00;{'nameRu': 'Услуга'}
970740001767/230078/00;{'nameRu': 'ИП Nur_energy_service'};ремонт, замена платы на тепловычислителе ВКТ-7;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};99000.00;99000.00;{'nameRu': 'Работа'}
970740001767/230077/00;"{'nameRu': 'ИП ""UDAV""'}";Кондиционер (сплит-система);{'nameRu': 'Запрос ценовых предложений'};119000.00;119000.00;{'nameRu': 'Товар'}
970740001767/230076/00;{'nameRu': 'ИП ПЕРЦЕВ М.Ю.'};установка тепловой завесы;{'nameRu': 'Запрос ценовых предложений'};114000.00;114000.00;{'nameRu': 'Работа'}
970740001767/230075/00;"{'nameRu': 'Костанайский ОФ АО ""Казпочта""'}";Периодическое издание (подписка);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1950.00;{'nameRu': 'Услуга'}
970740001767/230074/00;"{'nameRu': 'ГКП ""Костанайская теплоэнергетическая компания"" акимата города Костаная государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата города Костаная""'}";Оплата коммунальных услуг (отопление и горячее водоснабжение);{'nameRu': 'Из одного источника путем прямого заключения договора'};503078.12;600000.00;{'nameRu': 'Услуга'}
970740001767/230072/01;"{'nameRu': 'ИП ""СТУСЬ А.С.""'}";монтаж и демонтаж решёток;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;366000.00;{'nameRu': 'Работа'}
970740001767/230073/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Qazaq Jeńimpaz""'}";текущий ремонт здания;{'nameRu': 'Открытый конкурс'};0.00;9319520.00;{'nameRu': 'Работа'}
970740001767/230066/01;"{'nameRu': 'ИП ""Рекламные технологии""'}";изготовление входной таблички;{'nameRu': 'Запрос ценовых предложений'};28990.00;28990.00;{'nameRu': 'Работа'}
970740001767/230072/00;"{'nameRu': 'ИП ""СТУСЬ А.С.""'}";монтаж и демонтаж решёток;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;366000.00;{'nameRu': 'Работа'}
970740001767/230071/00;"{'nameRu': 'ТОО ""ТРАНСКОМНОРДЭНЕРГО""'}";поверка теплового счетчика;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};116000.00;116000.00;{'nameRu': 'Услуга'}
970740001767/230070/00;{'nameRu': 'ИП ПЕРЦЕВ М.Ю.'};установка шлагбаума;{'nameRu': 'Запрос ценовых предложений'};753000.00;753000.00;{'nameRu': 'Работа'}
970740001767/230069/00;"{'nameRu': 'ТОО ""STN-MONTAGE""'}";изготовление раздвижных ворот;{'nameRu': 'Запрос ценовых предложений'};899000.00;1006880.00;{'nameRu': 'Работа'}
970740001767/230067/00;"{'nameRu': 'ИП ""Ulytau Energy ""'}";изготовление разновидности печатей;{'nameRu': 'Запрос ценовых предложений'};35900.00;35900.00;{'nameRu': 'Работа'}
970740001767/230066/00;"{'nameRu': 'ИП ""Рекламные технологии""'}";изготовление входной таблички;{'nameRu': 'Запрос ценовых предложений'};0.00;28990.00;{'nameRu': 'Работа'}
970740001767/230065/00;{'nameRu': 'ИП СМАГУЛОВА'};изготовление оттисков;{'nameRu': 'Запрос ценовых предложений'};130350.00;130350.00;{'nameRu': 'Работа'}
970740001767/230064/00;{'nameRu': 'ИП МЕЛЕШИН А.В.'};изготовление 2х видов бланка;{'nameRu': 'Запрос ценовых предложений'};92000.00;92000.00;{'nameRu': 'Работа'}
970740001767/230063/00;"{'nameRu': 'ТОО ""Мунай Трейд kst""'}";Бензин АИ-92 (талоны);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};219632.14;245988.00;{'nameRu': 'Товар'}
970740001767/230062/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Qazaq Jeńimpaz""'}";Текущий ремонт здания и кровли;{'nameRu': 'Открытый конкурс'};35274979.00;39507976.48;{'nameRu': 'Работа'}
970740001767/230053/01;"{'nameRu': 'ТОО ""Жетісу тігін фабрикасы ""Айсұлу""'}";пошив форменного обмундирования;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2887997.72;{'nameRu': 'Работа'}
970740001767/230062/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Qazaq Jeńimpaz""'}";Текущий ремонт здания и кровли;{'nameRu': 'Открытый конкурс'};0.00;34370560.00;{'nameRu': 'Работа'}
970740001767/230061/00;"{'nameRu': 'ТОО ""Жетісу тігін фабрикасы ""Айсұлу""'}";индивидуальный пошив рубашек;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;577999.52;{'nameRu': 'Работа'}
970740001767/230060/00;"{'nameRu': 'ТОО ""Айдан сервис""'}";приобретение картриджей;{'nameRu': 'Запрос ценовых предложений'};112200.00;125664.00;{'nameRu': 'Товар'}
970740001767/230059/00;"{'nameRu': 'ТОО ""СЭТ""'}";приобретение картриджей;{'nameRu': 'Запрос ценовых предложений'};66640.00;74636.80;{'nameRu': 'Товар'}
970740001767/230058/00;"{'nameRu': 'ИП ""UDAV""'}";Услуги по техническому обслуживанию кондиционеров;{'nameRu': 'Запрос ценовых предложений'};170000.00;170000.00;{'nameRu': 'Услуга'}
970740001767/230057/00;{'nameRu': 'Исеноманова А.М.'};Услуги по техническому обслуживанию автотранспорта;{'nameRu': 'Запрос ценовых предложений'};77250.00;211111.00;{'nameRu': 'Услуга'}
970740001767/230056/00;{'nameRu': 'ИП Мазкенова'};Средство чистящее гелеобразное;{'nameRu': 'Запрос ценовых предложений'};18000.00;18000.00;{'nameRu': 'Товар'}
970740001767/230055/00;"{'nameRu': 'Частное учреждение ""Учебно-консультационный центр ""Отан""'}";Услуги по обучению персонала/сотрудников;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};55000.00;55000.00;{'nameRu': 'Услуга'}
970740001767/230054/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Investment solutions Astana""'}";Перчатки резиновые, желтые размер L;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};18000.00;20160.00;{'nameRu': 'Товар'}
970740001767/230053/00;"{'nameRu': 'ТОО ""Жетісу тігін фабрикасы ""Айсұлу""'}";пошив форменного обмундирования;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;3028997.44;{'nameRu': 'Работа'}
970740001767/230052/00;{'nameRu': 'ИП Тузельбаев'};Перевозка архивных дел;{'nameRu': 'Запрос ценовых предложений'};434000.00;434000.00;{'nameRu': 'Услуга'}
970740001767/230051/00;{'nameRu': 'ИП Егоренко Алексей Владимирович'};Услуги по техническому обслуживанию и ремонту систем охранно- пожарной безопасности;{'nameRu': 'Запрос ценовых предложений'};22800.00;40000.00;{'nameRu': 'Услуга'}
970740001767/230050/00;{'nameRu': 'ИП БРЕЗГУНОВ А.В.'};Услуги по техническому обслуживанию видеонаблюдения;{'nameRu': 'Запрос ценовых предложений'};18572.00;65000.00;{'nameRu': 'Услуга'}
970740001767/230049/00;{'nameRu': 'ИП КАКОРА НАТАЛЬЯ АНАТОЛЬЕВНА'};Услуги по автомойке;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};57600.00;91800.00;{'nameRu': 'Услуга'}
970740001767/230048/00;{'nameRu': 'ИП ПРОСКУРА АННА НИКОЛАЕВНА'};Белизна;{'nameRu': 'Электронный магазин'};20000.00;20000.00;{'nameRu': 'Товар'}
970740001767/230047/00;{'nameRu': 'Shyngys Seilkan'};скотч;{'nameRu': 'Электронный магазин'};22100.00;22100.00;{'nameRu': 'Товар'}
970740001767/230046/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Услуги по регистраций документов;{'nameRu': 'Из одного источника путем прямого заключения договора'};3221.10;3607.63;{'nameRu': 'Услуга'}
970740001767/230045/00;"{'nameRu': 'ТОО ""БН-Энерго""'}";Счетчик электроэнергии;{'nameRu': 'Запрос ценовых предложений'};27000.00;30240.00;{'nameRu': 'Товар'}
970740001767/230044/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги телефонной связи;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};249665.94;436000.00;{'nameRu': 'Услуга'}
970740001767/230043/00;"{'nameRu': 'ИП ""Рекламные технологии""'}";изготовление стендов;{'nameRu': 'Запрос ценовых предложений'};80900.00;80900.00;{'nameRu': 'Работа'}
970740001767/230042/00;{'nameRu': 'IP BAIBOLAT'};рамки для грамот;{'nameRu': 'Запрос ценовых предложений'};33200.00;33200.00;{'nameRu': 'Товар'}
