contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
011040000073/230360/00;{'nameRu': 'ПОБЕДА'};ремонт авто;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;30000.00;{'nameRu': 'Работа'}
011040000073/230358/00;{'nameRu': 'ХОВАЛКО ЮРИЙ АНАТОЛЬЕВИЧ'};ритуальные услуги;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;127500.00;{'nameRu': 'Услуга'}
011040000073/230357/00;{'nameRu': 'ИП Тукенов Еркебулан Тамабаевич'};ящик для жалоб;{'nameRu': 'Электронный магазин'};0.00;22998.00;{'nameRu': 'Товар'}
011040000073/230081/01;"{'nameRu': 'ТОО ""Energy ru""'}";услуги шиномонтажа;{'nameRu': 'Запрос ценовых предложений'};0.00;110000.00;{'nameRu': 'Услуга'}
011040000073/230356/00;"{'nameRu': 'ИП""Усюкевич А.С.""'}";хоз товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;24600.00;{'nameRu': 'Товар'}
011040000073/230355/00;{'nameRu': 'ИП Allcom'};заправка картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;50000.00;{'nameRu': 'Услуга'}
011040000073/230354/00;{'nameRu': 'ИП БАШАНОВ'};одеяла;{'nameRu': 'Запрос ценовых предложений'};0.00;97710.00;{'nameRu': 'Товар'}
011040000073/230353/00;{'nameRu': 'Incom'};доска разделочная;{'nameRu': 'Запрос ценовых предложений'};0.00;49540.00;{'nameRu': 'Товар'}
011040000073/230352/00;{'nameRu': 'ИП ФЕДИНА МАРИНА ЮРЬЕВНА'};продукты питания;{'nameRu': 'Запрос ценовых предложений'};0.00;155680.00;{'nameRu': 'Товар'}
011040000073/230351/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};продукты питания;{'nameRu': 'Запрос ценовых предложений'};0.00;225120.00;{'nameRu': 'Товар'}
011040000073/230350/00;{'nameRu': 'ИП Азарова Наталья Алексеевна'};продукты питания;{'nameRu': 'Запрос ценовых предложений'};0.00;801584.00;{'nameRu': 'Товар'}
011040000073/230349/00;{'nameRu': 'Товарищество с ограниченной ответственностью Company МАГНАТ'};медикаменты;{'nameRu': 'Электронный магазин'};0.00;77753.00;{'nameRu': 'Товар'}
011040000073/230348/00;{'nameRu': 'Olimp Stroy'};расширение системы видеонаблюдения;{'nameRu': 'Запрос ценовых предложений'};0.00;1900000.00;{'nameRu': 'Работа'}
011040000073/230347/00;"{'nameRu': 'ТОО ""Торговый дом стройматериалов""'}";строй материалы;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;54880.00;{'nameRu': 'Товар'}
011040000073/230346/00;{'nameRu': 'ИП ФЕДИНА МАРИНА ЮРЬЕВНА'};продукты питания;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};46500.00;156240.00;{'nameRu': 'Товар'}
011040000073/230345/00;"{'nameRu': 'ТОО ""Мечта LTD""'}";продукты питания;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;64120.00;{'nameRu': 'Товар'}
011040000073/230344/00;"{'nameRu': 'ТОО ""Экос""'}";аттестация;{'nameRu': 'Запрос ценовых предложений'};0.00;470400.00;{'nameRu': 'Услуга'}
011040000073/230343/00;{'nameRu': 'ИП БАҚ-ДӘУЛЕТ'};хоз товары;{'nameRu': 'Запрос ценовых предложений'};32000.00;35840.00;{'nameRu': 'Товар'}
011040000073/230342/00;{'nameRu': 'ИП Тайшев'};хоз товары;{'nameRu': 'Запрос ценовых предложений'};10000.00;10000.00;{'nameRu': 'Товар'}
011040000073/230341/00;{'nameRu': 'ИП Төлеубай'};хоз товары;{'nameRu': 'Запрос ценовых предложений'};0.00;136500.00;{'nameRu': 'Товар'}
011040000073/230340/00;{'nameRu': 'ТРИО'};хоз товары;{'nameRu': 'Запрос ценовых предложений'};0.00;276000.00;{'nameRu': 'Товар'}
011040000073/230339/00;"{'nameRu': 'ТОО ""Кен - Сауда LTD""'}";хоз товары;{'nameRu': 'Запрос ценовых предложений'};0.00;69200.00;{'nameRu': 'Товар'}
011040000073/230338/00;{'nameRu': 'AS & ER GRADE ТОО'};полотенце;{'nameRu': 'Запрос ценовых предложений'};275650.00;308728.00;{'nameRu': 'Товар'}
011040000073/230337/00;"{'nameRu': 'ТОО ""Костанайское учебно-производственное предприятие общественного объединения ""Казахское общество слепых""'}";полотенце;{'nameRu': 'Запрос ценовых предложений'};0.00;183568.00;{'nameRu': 'Товар'}
011040000073/230336/00;"{'nameRu': 'ОО ""Павлодарское областное добровольное общество инвалидов""'}";полотенце;{'nameRu': 'Запрос ценовых предложений'};0.00;264624.00;{'nameRu': 'Товар'}
011040000073/230335/00;"{'nameRu': 'Учреждение ""Петропавловское УПП ОО ""КОГ""'}";постельное белье;{'nameRu': 'Запрос ценовых предложений'};0.00;2676636.00;{'nameRu': 'Товар'}
011040000073/230334/00;"{'nameRu': 'ТОО """"Пет-Продуктория""""'}";мед;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};40000.00;151200.00;{'nameRu': 'Товар'}
011040000073/230333/00;{'nameRu': 'КАРАГУЛИНА ЛЮБОВЬ АЛЕКСАНДРОВНА'};хлеб;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;495880.00;{'nameRu': 'Товар'}
011040000073/230332/00;"{'nameRu': 'ИП ""УНАЕВ Т. Ж.""'}";масло;{'nameRu': 'Запрос ценовых предложений'};13775.00;13775.00;{'nameRu': 'Товар'}
011040000073/230331/00;"{'nameRu': 'ИП ""Виктор""'}";Краска;{'nameRu': 'Запрос ценовых предложений'};71100.00;71100.00;{'nameRu': 'Товар'}
011040000073/230330/00;{'nameRu': 'ИП Турдымуратова'};модем;{'nameRu': 'Запрос ценовых предложений'};0.00;25000.00;{'nameRu': 'Товар'}
