contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
060340006505/230043/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Автодом Костанай""'}";Техническое обслуживание автомобиля JAC Sunray (ТО 3);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;114016.00;{'nameRu': 'Услуга'}
060340006505/230042/00;"{'nameRu': 'КГКП ""Костанайская областная филармония имени Е. Умурзакова"" Управления культуры акимата Костанайской области'}";Выступление артистов в рамках концерта, посвященного Дню Республики Казахстан;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;120000.00;{'nameRu': 'Услуга'}
060340006505/230041/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Продажа костюмов сценических для ансамбля казахских народных инструментов (женские);{'nameRu': 'Из одного источника путем прямого заключения договора'};360000.00;360000.00;{'nameRu': 'Услуга'}
060340006505/230040/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Продажа казахских национальных сценических костюмов для хореографии (женские);{'nameRu': 'Из одного источника путем прямого заключения договора'};1140000.00;1140000.00;{'nameRu': 'Услуга'}
060340006505/230039/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Продажа детских сценических костюмов для хореографии;{'nameRu': 'Из одного источника путем прямого заключения договора'};600000.00;600000.00;{'nameRu': 'Услуга'}
060340006505/230038/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Продажа костюмов сценических для ансамбля казахских народных инструментов (мужской);{'nameRu': 'Из одного источника путем прямого заключения договора'};900000.00;900000.00;{'nameRu': 'Услуга'}
060340006505/230027/01;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Костюм сценический для ансамбля казахских народных инструментов (женский);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;360000.00;{'nameRu': 'Товар'}
060340006505/230030/01;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Костюм сценический для ансамбля казахских народных инструментов (мужской);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;900000.00;{'nameRu': 'Товар'}
060340006505/230029/01;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Детский сценический костюм для хореографии;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;600000.00;{'nameRu': 'Товар'}
060340006505/230028/01;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Казахский национальный сценический костюм для хореографии (женский);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1140000.00;{'nameRu': 'Товар'}
060340006505/230037/00;{'nameRu': 'ИП КУРМАНОВ АРЫСТАН САЛЕНОВИЧ'};"Организация и проведение праздничного концерта на районном мероприятии &quot;Тын-Целина 2023&quot;";{'nameRu': 'Из одного источника путем прямого заключения договора'};773000.00;773000.00;{'nameRu': 'Услуга'}
060340006505/230036/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""10 ЭЛЕМЕНТ""'}";Изготовление баннера с люверсами;{'nameRu': 'Из одного источника путем прямого заключения договора'};189000.00;189000.00;{'nameRu': 'Услуга'}
060340006505/230035/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""10 ЭЛЕМЕНТ""'}";Услуги по аренде, установке, подключению и настройки LED экрана (включая транспортные расходы);{'nameRu': 'Из одного источника путем прямого заключения договора'};476000.00;476000.00;{'nameRu': 'Услуга'}
060340006505/230034/00;{'nameRu': 'ИП БЕГЕЛЬ ЭДУАРД ВЛАДИМИРОВИЧ'};"Услуги по показу фейерверков и представлений &quot;свет и звук&quot;";{'nameRu': 'Из одного источника путем прямого заключения договора'};1200000.00;1200000.00;{'nameRu': 'Услуга'}
060340006505/230033/00;{'nameRu': 'ИП БЕГЕЛЬ ТАТЬЯНА АНАТОЛЬЕВНА'};Изготовление и запуск логотипа на шарах с гелием;{'nameRu': 'Из одного источника путем прямого заключения договора'};119000.00;119000.00;{'nameRu': 'Услуга'}
060340006505/230032/00;{'nameRu': 'ИП БЕГЕЛЬ ЭДУАРД ВЛАДИМИРОВИЧ'};"Запуск дневного салюта на праздновании районного мероприятия &quot;Тын-Целина 2023&quot;";{'nameRu': 'Из одного источника путем прямого заключения договора'};174000.00;174000.00;{'nameRu': 'Услуга'}
060340006505/230031/00;"{'nameRu': 'ИП ""Шерстюков""'}";Выкачка септика;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;84000.00;{'nameRu': 'Услуга'}
060340006505/230030/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Костюм сценический для ансамбля казахских народных инструментов (мужской);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;900000.00;{'nameRu': 'Товар'}
060340006505/230029/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Детский сценический костюм для хореографии;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;600000.00;{'nameRu': 'Товар'}
060340006505/230028/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Казахский национальный сценический костюм для хореографии (женский);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1140000.00;{'nameRu': 'Товар'}
060340006505/230027/00;{'nameRu': 'ИП НУРПЕИСОВА ЖАНАТ МУСУЛИМОВНА'};Костюм сценический для ансамбля казахских народных инструментов (женский);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;360000.00;{'nameRu': 'Товар'}
060340006505/230026/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Автодом Костанай""'}";Техническое обслуживание автомобиля JAC Sunray (ТО 2);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;80976.00;{'nameRu': 'Услуга'}
060340006505/230025/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги по доступу к Интернету Новопокровского культурно-досугового центра;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;208000.00;{'nameRu': 'Услуга'}
060340006505/230024/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги по доступу к Интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;208000.00;{'nameRu': 'Услуга'}
060340006505/230023/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги местной телефонной связи Новопокровского культурно-досугового центра;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;14560.00;{'nameRu': 'Услуга'}
060340006505/230022/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги местной телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;49000.00;{'nameRu': 'Услуга'}
060340006505/230021/00;{'nameRu': 'КАРАГОДИНА ЛЮДМИЛА ИВАНОВНА'};Пошив концертного платья для солистки;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};102000.00;102000.00;{'nameRu': 'Работа'}
060340006505/230020/00;{'nameRu': 'КАРАГОДИНА ЛЮДМИЛА ИВАНОВНА'};Костюм концертный мужской высокорослый с элементами казахского народного костюма;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};330000.00;330000.00;{'nameRu': 'Работа'}
060340006505/230019/00;{'nameRu': 'КАРАГОДИНА ЛЮДМИЛА ИВАНОВНА'};Костюм концертный мужской с элементами казахского народного костюма;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};310000.00;310000.00;{'nameRu': 'Работа'}
060340006505/230018/00;{'nameRu': 'КАРАГОДИНА ЛЮДМИЛА ИВАНОВНА'};Костюм концертный мужской (жилет, брюки, рубашка, галстук);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};100000.00;100000.00;{'nameRu': 'Работа'}
060340006505/230017/00;{'nameRu': 'КАРАГОДИНА ЛЮДМИЛА ИВАНОВНА'};"Костюм концертный мужской в стиле &quot;Оксфорд&quot; (смокинг, брюки, рубашка, жилет, галстук)";{'nameRu': 'Из одного источника по несостоявшимся закупкам'};310000.00;310000.00;{'nameRu': 'Работа'}
060340006505/230016/00;{'nameRu': 'КАРАГОДИНА ЛЮДМИЛА ИВАНОВНА'};"Костюм концертный мужской в стиле &quot;Оксфорд&quot; (пиджак, брюки, рубашка, жилет, галстук)";{'nameRu': 'Из одного источника по несостоявшимся закупкам'};290000.00;290000.00;{'nameRu': 'Работа'}
060340006505/230015/00;"{'nameRu': 'ТОО ""Угольная компания ""Богатырь-Костанай""'}";Уголь каменный;{'nameRu': 'Запрос ценовых предложений'};0.00;883462.72;{'nameRu': 'Товар'}
060340006505/230014/01;{'nameRu': 'ИП Григорий'};Продажа тюльпанов в количестве 300 штук;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;210000.00;{'nameRu': 'Услуга'}
060340006505/230014/00;{'nameRu': 'ИП Григорий'};Продажа тюльпанов в количестве 300 штук;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;210000.00;{'nameRu': 'Услуга'}
060340006505/230013/00;{'nameRu': 'ИП Григорий'};Букет из живых цветов;{'nameRu': 'Из одного источника путем прямого заключения договора'};160000.00;160000.00;{'nameRu': 'Товар'}
060340006505/230012/00;"{'nameRu': 'АО ""Компания по страхованию жизни ""Государственная аннуитетная компания""'}";Страхование работников от несчастных случаев;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;156600.00;{'nameRu': 'Услуга'}
060340006505/230011/00;"{'nameRu': 'ТОО ""Жасыл Узунколь""'}";Вывоз ТБО из контейнера;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;72000.00;{'nameRu': 'Услуга'}
060340006505/230010/00;"{'nameRu': 'ГКП ""Таза Ұзынкөл"" акимата Узункольского района""'}";Прием и захоронение ТБО;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;264678.00;{'nameRu': 'Услуга'}
060340006505/230009/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""МСБ ПРОФИТ""'}";Услуги по техническому обслуживанию пожарной/охранной сигнализации/систем тушения/видеонаблюдения и аналогичного оборудования;{'nameRu': 'Запрос ценовых предложений'};0.00;116000.00;{'nameRu': 'Услуга'}
060340006505/230008/00;"{'nameRu': 'ИП ""Шерстюков""'}";Выкачка септика;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;58928.57;{'nameRu': 'Услуга'}
060340006505/230007/00;"{'nameRu': 'Индивидуальный предприниматель ""Любич Владимир Иванович""'}";Услуги по заправке картриджей;{'nameRu': 'Запрос ценовых предложений'};0.00;12499.00;{'nameRu': 'Услуга'}
060340006505/230006/00;"{'nameRu': 'ГКП ""Узунколь Су"" отдела жилищно-коммунального хозяйства,пассажирского транспорта и автомобильных дорог Узункольского района акимата Узункольского района Костанайской области'}";Холодная вода;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;59087.97;{'nameRu': 'Товар'}
