contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
070740003587/230084/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ЛАСТОЧКА-2021""'}";Хлеб;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;114000.00;{'nameRu': 'Товар'}
070740003587/230083/00;"{'nameRu': 'ТОО ""Дегеш Агро ЛТД""'}";Фунгеци;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;30781520.00;{'nameRu': 'Товар'}
070740003587/230082/00;"{'nameRu': 'ТОО ""Первый Бит Костанай""'}";Информационно-технологическое сопровождение ИТС в конфигурации «Бухгалтерия сельскохозяйственного предприятия для Казахстана».;{'nameRu': 'Запрос ценовых предложений'};0.00;694400.00;{'nameRu': 'Услуга'}
070740003587/230081/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ЛАСТОЧКА-2021""'}";Хлеб;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;189996.80;{'nameRu': 'Товар'}
070740003587/230078/00;{'nameRu': 'и/п Макаров Александр Иванович'};Инструмент;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;79896.00;{'nameRu': 'Товар'}
070740003587/230077/00;"{'nameRu': 'ТОО ""SKM Ltd""'}";Запасные части;{'nameRu': 'Запрос ценовых предложений'};0.00;91840.00;{'nameRu': 'Товар'}
070740003587/230076/00;{'nameRu': 'Skyline 2020'};Запасные части;{'nameRu': 'Запрос ценовых предложений'};0.00;151600.00;{'nameRu': 'Товар'}
070740003587/230075/00;{'nameRu': 'ИП Аурум'};Запасные части;{'nameRu': 'Запрос ценовых предложений'};0.00;43228.00;{'nameRu': 'Товар'}
070740003587/230074/00;{'nameRu': 'ИП KazBusiness'};Запасные части;{'nameRu': 'Запрос ценовых предложений'};0.00;127439.20;{'nameRu': 'Товар'}
070740003587/230073/00;"{'nameRu': 'ТОО ""Мунай Трейд kst""'}";Бензин;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;4099872.00;{'nameRu': 'Товар'}
070740003587/230072/00;"{'nameRu': 'ТОО ""ПиКом""'}";Инструмент;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;19040.00;{'nameRu': 'Товар'}
070740003587/230071/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Алтын подкова""'}";Хозяйственный товар;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;26798.00;{'nameRu': 'Товар'}
070740003587/230004/01;"{'nameRu': 'ТОО ""Алатау Энерготрейд Лимитед""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;63974400.00;{'nameRu': 'Товар'}
070740003587/230070/00;"{'nameRu': 'ИП ""Аманат""'}";Набор инструментов;{'nameRu': 'Запрос ценовых предложений'};0.00;141700.00;{'nameRu': 'Товар'}
