contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
000340003212/230029/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин для двигателей с искровым зажиганием;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;116850.00;{'nameRu': 'Товар'}
000340003212/230028/00;"{'nameRu': 'АО ""Страховая компания ""Номад Иншуранс""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Запрос ценовых предложений'};0.00;25646.00;{'nameRu': 'Услуга'}
000340003212/230027/00;{'nameRu': 'ИП Акышева Ж Ж'};Услуги по вывозу (сбору) неопасных отходов/имущества/материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;4753.00;{'nameRu': 'Услуга'}
000340003212/230026/00;"{'nameRu': 'ИП ""Кенже""'}";Работы по ремонту автотранспортных средств/систем/узлов/агрегатов;{'nameRu': 'Запрос ценовых предложений'};0.00;185000.00;{'nameRu': 'Работа'}
000340003212/230025/00;{'nameRu': 'ИП Касымова'};Работы по ремонту автотранспортных средств/систем/узлов/агрегатов;{'nameRu': 'Запрос ценовых предложений'};0.00;279000.00;{'nameRu': 'Работа'}
000340003212/230024/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};2549550.00;2722050.00;{'nameRu': 'Услуга'}
000340003212/230002/01;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;2601300.00;{'nameRu': 'Услуга'}
000340003212/230023/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин для двигателей с искровым зажиганием;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;116850.00;{'nameRu': 'Товар'}
000340003212/230022/00;"{'nameRu': 'ТОО ""CIFRTECH""'}";офисный (универсальный);{'nameRu': 'Конкурс с предварительным квалификационным отбором'};200400.00;224448.00;{'nameRu': 'Товар'}
000340003212/230021/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Комплекс услуг по оценке имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};385315.53;431553.39;{'nameRu': 'Услуга'}
000340003212/230020/00;{'nameRu': 'ИП Касымова'};Работы по ремонту автотранспортных средств/систем/узлов/агрегатов;{'nameRu': 'Запрос ценовых предложений'};397000.00;397000.00;{'nameRu': 'Работа'}
000340003212/230019/00;"{'nameRu': 'ТОО ""Euro-Asia Consulting""'}";Услуги по обучению сотрудников;{'nameRu': 'Запрос ценовых предложений'};71000.00;71000.00;{'nameRu': 'Услуга'}
000340003212/230017/00;{'nameRu': 'ИП Родничок'};Клей;{'nameRu': 'Электронный магазин'};2200.00;2200.00;{'nameRu': 'Товар'}
000340003212/230016/00;{'nameRu': 'ИП Жетпісбай'};полиэтиленовый;{'nameRu': 'Электронный магазин'};7000.00;7000.00;{'nameRu': 'Товар'}
000340003212/230015/00;{'nameRu': 'ИП Садыкова'};Наушники для прослушивания;{'nameRu': 'Электронный магазин'};8970.00;8970.00;{'nameRu': 'Товар'}
000340003212/230014/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин для двигателей с искровым зажиганием;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};133571.43;149600.00;{'nameRu': 'Товар'}
000340003212/230013/00;{'nameRu': 'ИП АБДЕЛЬАЗИЗ'};Журнал регистрации исходящей корреспонденции;{'nameRu': 'Электронный магазин'};9990.00;9990.00;{'nameRu': 'Товар'}
000340003212/230012/00;{'nameRu': 'ИП АБДЕЛЬАЗИЗ'};Журнал регистрации входящих документов;{'nameRu': 'Электронный магазин'};12446.00;12446.00;{'nameRu': 'Товар'}
000340003212/230011/00;{'nameRu': 'ИП Родничок'};штемпельная краска Trodat 28 мл,синяя;{'nameRu': 'Электронный магазин'};2000.00;2000.00;{'nameRu': 'Товар'}
000340003212/230010/00;{'nameRu': 'КЕНЖЕБАЕВА ЛАЙЛА ТОРЕХАНОВНА'};Скоросшиватель формат А4;{'nameRu': 'Электронный магазин'};9900.00;9900.00;{'nameRu': 'Товар'}
000340003212/230009/00;{'nameRu': 'ИП Батыралиев Н. М'};Флеш-накопитель;{'nameRu': 'Электронный магазин'};9000.00;9000.00;{'nameRu': 'Товар'}
000340003212/230008/00;{'nameRu': 'ИП АБДЕЛЬАЗИЗ'};калкулятор;{'nameRu': 'Электронный магазин'};10497.00;10497.00;{'nameRu': 'Товар'}
000340003212/230007/00;{'nameRu': 'ИП DariKZ'};настольный набор руководителя;{'nameRu': 'Электронный магазин'};59999.00;59999.00;{'nameRu': 'Товар'}
000340003212/230006/00;"{'nameRu': 'ИП ""Smart House""'}";клавиатура;{'nameRu': 'Электронный магазин'};4357.14;4880.00;{'nameRu': 'Товар'}
000340003212/230005/00;{'nameRu': 'Аманкелді арайы газеті редакциясы'};Услуги по размещению информационных материалов в средствах массовой информации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;150000.00;{'nameRu': 'Услуга'}
000340003212/230004/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги фиксированной местной, междугородней, международной телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;79884.00;{'nameRu': 'Услуга'}
000340003212/230003/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;594287.68;{'nameRu': 'Услуга'}
000340003212/230002/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечениюбесперебойного доступа к даннымреестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;2601300.00;{'nameRu': 'Услуга'}
000340003212/230001/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";Обслуживание програмного продуктапарус -каз.Бюджет(Бюджетное финансирование бухгалтерский  учет МСФО .расчет заработной платы);{'nameRu': 'Из одного источника путем прямого заключения договора'};1291331.25;1928388.00;{'nameRu': 'Услуга'}
