contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
020340002971/230190/00;"{'nameRu': 'ТОО ""ИнфоТех & Сервис""'}";доступ к информационной системе;{'nameRu': 'Запрос ценовых предложений'};0.00;281400.00;{'nameRu': 'Услуга'}
020340002971/230189/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""УПП ОО ""ЮКО СВВА""'}";Скоросшиватель;{'nameRu': 'Запрос ценовых предложений'};0.00;43960.00;{'nameRu': 'Товар'}
020340002971/230188/00;"{'nameRu': 'ТОО ""ПРОТЕКТ 2020""'}";Обогреватель;{'nameRu': 'Запрос ценовых предложений'};0.00;48720.00;{'nameRu': 'Товар'}
020340002971/230187/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Бумага офисная;{'nameRu': 'Запрос ценовых предложений'};0.00;139160.00;{'nameRu': 'Товар'}
020340002971/230186/00;{'nameRu': 'Аянат'};Кувертка;{'nameRu': 'Запрос ценовых предложений'};0.00;15000.00;{'nameRu': 'Товар'}
020340002971/230185/00;"{'nameRu': 'ТОО ""нур""'}";Вешалка-плечики;{'nameRu': 'Запрос ценовых предложений'};0.00;95760.00;{'nameRu': 'Товар'}
020340002971/230184/00;{'nameRu': 'ИП Левицкий МА'};Радиатор отопления;{'nameRu': 'Запрос ценовых предложений'};0.00;241330.00;{'nameRu': 'Товар'}
020340002971/230183/00;{'nameRu': 'ИП Aсыл'};Набор салфеток для уборки;{'nameRu': 'Запрос ценовых предложений'};0.00;10990.00;{'nameRu': 'Товар'}
020340002971/230182/00;{'nameRu': 'Асылбек'};Фоторамка;{'nameRu': 'Запрос ценовых предложений'};0.00;22020.00;{'nameRu': 'Товар'}
020340002971/230181/00;{'nameRu': 'ИП ВОЛКОВ Д. Н.'};Тетрадь простая;{'nameRu': 'Запрос ценовых предложений'};0.00;3000.00;{'nameRu': 'Товар'}
020340002971/230180/00;{'nameRu': 'ИП Мырзахметова Назерке'};Мышь компьютерная;{'nameRu': 'Запрос ценовых предложений'};0.00;13400.00;{'nameRu': 'Товар'}
020340002971/230179/00;{'nameRu': 'ALI'};Коврик грязезащитный;{'nameRu': 'Запрос ценовых предложений'};0.00;61200.00;{'nameRu': 'Товар'}
020340002971/230178/00;{'nameRu': 'KLEVER'};Канцелярские принадлежности;{'nameRu': 'Запрос ценовых предложений'};0.00;17660.00;{'nameRu': 'Товар'}
020340002971/230177/00;{'nameRu': 'БЕКЗАТ-БОЛАШАК'};изготовление сметы на текущий ремонт библиотеки на государственном языке;{'nameRu': 'Запрос ценовых предложений'};0.00;72990.00;{'nameRu': 'Услуга'}
020340002971/230176/00;{'nameRu': 'DAR GROUP'};изготовление сметы на текущий ремонт туалета в Центральной городской библиотеке;{'nameRu': 'Запрос ценовых предложений'};0.00;42000.00;{'nameRu': 'Услуга'}
020340002971/230175/00;{'nameRu': 'DAR GROUP'};изготовление сметы на текущий ремонт библиотеки-филиала №11;{'nameRu': 'Запрос ценовых предложений'};0.00;105000.00;{'nameRu': 'Услуга'}
020340002971/230174/00;{'nameRu': 'ИП Байымбет Меруерт'};Изготовление печатной продукции;{'nameRu': 'Запрос ценовых предложений'};0.00;276000.00;{'nameRu': 'Работа'}
020340002971/230173/00;"{'nameRu': 'ИП ""Заикин А.В.""'}";Приобретение стульев;{'nameRu': 'Запрос ценовых предложений'};0.00;88000.00;{'nameRu': 'Товар'}
020340002971/230172/00;{'nameRu': 'ЖК Раимкулова'};Ручка шариковая;{'nameRu': 'Электронный магазин'};0.00;15450.00;{'nameRu': 'Товар'}
020340002971/230171/00;"{'nameRu': 'ИП ""Garant Group""'}";Электрочайник;{'nameRu': 'Электронный магазин'};0.00;102500.00;{'nameRu': 'Товар'}
020340002971/230170/00;"{'nameRu': 'ИП ""Данияр""'}";Лоток для бумаг;{'nameRu': 'Электронный магазин'};0.00;75640.00;{'nameRu': 'Товар'}
020340002971/230169/00;"{'nameRu': 'ТОО ""ЭлектроМир 2010""'}";Электроматериалы;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;17701.26;{'nameRu': 'Товар'}
020340002971/230168/00;{'nameRu': 'ИП URAZBAEV'};Монтаж охранно-пожарной сигнализации;{'nameRu': 'Запрос ценовых предложений'};0.00;264999.00;{'nameRu': 'Работа'}
020340002971/230167/00;{'nameRu': 'ИП ТАРАСОВА ОКСАНА ЮРЬЕВНА'};Электроматериалы;{'nameRu': 'Запрос ценовых предложений'};0.00;8900.00;{'nameRu': 'Товар'}
020340002971/230166/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Электроматериалы;{'nameRu': 'Запрос ценовых предложений'};0.00;9990.40;{'nameRu': 'Товар'}
020340002971/230165/00;"{'nameRu': 'ТОО ""CIFRTECH""'}";Приобретение МФУ;{'nameRu': 'Запрос ценовых предложений'};0.00;97776.00;{'nameRu': 'Товар'}
020340002971/230164/00;{'nameRu': 'ИП Чеботарев'};Приобретение стульев офисных;{'nameRu': 'Запрос ценовых предложений'};0.00;174000.00;{'nameRu': 'Товар'}
020340002971/230163/00;{'nameRu': 'ИП УЛЬРИХ  ДМИТРИЙ АЛЕКСАНДРОВИЧ'};Изготовление ролл-штор;{'nameRu': 'Запрос ценовых предложений'};0.00;371840.00;{'nameRu': 'Работа'}
020340002971/230162/00;{'nameRu': 'ИП Абдрахманова'};Приобретение телевизора;{'nameRu': 'Запрос ценовых предложений'};0.00;155555.00;{'nameRu': 'Товар'}
020340002971/230161/00;"{'nameRu': 'ТОО ""IT-comp""'}";Приобретение телефона;{'nameRu': 'Запрос ценовых предложений'};0.00;24640.00;{'nameRu': 'Товар'}
020340002971/230160/00;"{'nameRu': 'ТОО ""ПРОТЕКТ 2020""'}";Приобретение тепловой завесы;{'nameRu': 'Запрос ценовых предложений'};0.00;179177.60;{'nameRu': 'Товар'}
020340002971/230159/00;{'nameRu': 'ИП СЕЛЬХАНОВА ТАТЬЯНА АНАТОЛЬЕВНА'};Работы по замене входной двери;{'nameRu': 'Запрос ценовых предложений'};0.00;340000.00;{'nameRu': 'Работа'}
020340002971/230158/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Издательство Фолиант""'}";Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;19202.41;{'nameRu': 'Товар'}
020340002971/230157/00;"{'nameRu': 'ТОО ""Kst trade""'}";приобретение горюче смазочных материалов (бензин АИ 95);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;102495.00;{'nameRu': 'Товар'}
020340002971/230150/01;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;8871.00;{'nameRu': 'Товар'}
020340002971/230123/01;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;7280.00;{'nameRu': 'Товар'}
020340002971/230121/01;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;18350.00;{'nameRu': 'Товар'}
020340002971/230129/01;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;3270.00;{'nameRu': 'Товар'}
020340002971/230122/01;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;10555.00;{'nameRu': 'Товар'}
020340002971/230113/01;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;34610.00;{'nameRu': 'Товар'}
020340002971/230156/00;{'nameRu': 'ИП Znanie'};Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2700.00;{'nameRu': 'Товар'}
020340002971/230155/00;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2690.00;{'nameRu': 'Товар'}
020340002971/230154/00;{'nameRu': 'ИП Znanie'};Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;3100.00;{'nameRu': 'Товар'}
020340002971/230153/00;{'nameRu': 'ИП ЖАМАТОВА ГУЛИЯ ШАЙМАРДАНОВНА'};Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2518.00;{'nameRu': 'Товар'}
020340002971/230152/00;{'nameRu': 'ИП Znanie'};Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;12650.00;{'nameRu': 'Товар'}
020340002971/230151/00;{'nameRu': 'ИП Салимов'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;2888.00;{'nameRu': 'Товар'}
020340002971/230150/00;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;8871.00;{'nameRu': 'Товар'}
020340002971/230149/00;{'nameRu': 'ИП ИНЮШКИН ВЛАДИМИР ПЕТРОВИЧ'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;29523.00;{'nameRu': 'Товар'}
020340002971/230148/00;{'nameRu': 'ИП Марущак Юлия Алексеевна'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;16232.00;{'nameRu': 'Товар'}
020340002971/230147/00;{'nameRu': 'ИП ИНЮШКИН ВЛАДИМИР ПЕТРОВИЧ'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;109143.00;{'nameRu': 'Товар'}
020340002971/230146/00;{'nameRu': 'ИП ЖАМАТОВА ГУЛИЯ ШАЙМАРДАНОВНА'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;39003.00;{'nameRu': 'Товар'}
020340002971/230145/00;{'nameRu': 'ИП ЖАМАТОВА ГУЛИЯ ШАЙМАРДАНОВНА'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;89657.00;{'nameRu': 'Товар'}
020340002971/230144/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Издательство Фолиант""'}";Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;34720.84;{'nameRu': 'Товар'}
020340002971/230143/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Издательство Фолиант""'}";Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;351167.94;{'nameRu': 'Товар'}
020340002971/230142/00;{'nameRu': 'ИП Сымбат'};Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;3050.00;{'nameRu': 'Товар'}
