contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
941140000437/230109/00;"{'nameRu': 'Костанайский филиал АО ""Национальный центр экспертизы и сертификации""'}";техосмотр шивроле нива;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;3360.00;{'nameRu': 'Услуга'}
941140000437/230108/00;{'nameRu': 'ИП ТАРАСОВА ОКСАНА ЮРЬЕВНА'};Приобретение микроволновой печи;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;28500.00;{'nameRu': 'Товар'}
941140000437/230106/00;"{'nameRu': 'АО ""Нефтяная страховая компания""'}";страхование автомобиля шевроле нива;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;35263.67;{'nameRu': 'Услуга'}
941140000437/230105/00;"{'nameRu': 'АО ""Страховая компания ""АСКО""'}";Страхование автомобиля Lada Largus;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;32057.88;{'nameRu': 'Услуга'}
941140000437/230104/00;{'nameRu': 'Modern Group'};Услуги по изготовлению тактильных продукции для адаптации здания к доступу инвалидов;{'nameRu': 'Запрос ценовых предложений'};0.00;223000.00;{'nameRu': 'Работа'}
941140000437/230103/00;"{'nameRu': 'ИП ""Жібек""'}";миксер;{'nameRu': 'Запрос ценовых предложений'};0.00;17100.00;{'nameRu': 'Товар'}
941140000437/230102/00;{'nameRu': 'ИП МУРАТБЕК'};Приобретение чайника;{'nameRu': 'Запрос ценовых предложений'};0.00;12567.00;{'nameRu': 'Товар'}
941140000437/230101/00;"{'nameRu': 'ИП ""Kst-Trade""'}";Работа по замене труб холодного водоснабжения;{'nameRu': 'Запрос ценовых предложений'};0.00;157400.00;{'nameRu': 'Товар'}
941140000437/230100/00;"{'nameRu': 'ТОО ""Республиканский центр реабилитации инвалидов ""Жылы ұя"" ОО ""КОС""""'}";Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;657600.00;{'nameRu': 'Товар'}
941140000437/230099/00;"{'nameRu': 'ИП ""Расул""'}";Книги РТШ( Рельефно-точечный шрифт) для незрячих;{'nameRu': 'Запрос ценовых предложений'};0.00;666666.00;{'nameRu': 'Товар'}
941140000437/230098/00;"{'nameRu': 'ТОО ""Меломан Home Video""'}";Приобретение книг;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;4900.00;{'nameRu': 'Товар'}
941140000437/230097/00;"{'nameRu': 'ТОО ""Дом книги ""Ахмет Байтұрсынов""'}";Приобретение книг;{'nameRu': 'Запрос ценовых предложений'};0.00;431299.68;{'nameRu': 'Товар'}
941140000437/230019/01;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};159309.79;248000.00;{'nameRu': 'Услуга'}
941140000437/230096/00;"{'nameRu': 'ИП    ""АЙЗЕРЕ""'}";Приобретение бумаги для офисного оборудования;{'nameRu': 'Запрос ценовых предложений'};0.00;103987.00;{'nameRu': 'Товар'}
941140000437/230087/01;"{'nameRu': 'ТОО ""Инвест Строй 2024""'}";Монтаж кондиционера;{'nameRu': 'Запрос ценовых предложений'};0.00;76000.00;{'nameRu': 'Работа'}
941140000437/230095/00;"{'nameRu': 'ИП ""ИлЕр"" Distribution'}";Услуга по продлению антивирусного программного обеспечения;{'nameRu': 'Запрос ценовых предложений'};0.00;186523.66;{'nameRu': 'Услуга'}
941140000437/230094/00;{'nameRu': 'ИП НАУРУЗБАЕВА ДАРИЯ КУЛТАЕВНА'};обои бумажные;{'nameRu': 'Запрос ценовых предложений'};0.00;23069.00;{'nameRu': 'Товар'}
941140000437/230093/00;"{'nameRu': 'ТОО ""Жамбыл Жоба""'}";Разработка эскизного проекта оформление фасада и интерьера главного холла;{'nameRu': 'Запрос ценовых предложений'};0.00;880000.00;{'nameRu': 'Работа'}
941140000437/230092/00;{'nameRu': 'ИП Сапарғалиева Сымбат'};ткань грета;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;24375.00;{'nameRu': 'Товар'}
941140000437/230091/00;"{'nameRu': 'ТОО ""TRADE CK""'}";бумага А4 80гр;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;233550.24;{'nameRu': 'Товар'}
941140000437/230090/00;{'nameRu': 'ИП Молдабаева'};Шпагат джутовый;{'nameRu': 'Запрос ценовых предложений'};0.00;38900.00;{'nameRu': 'Товар'}
941140000437/230089/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";бумага А4 120гр;{'nameRu': 'Запрос ценовых предложений'};0.00;89331.20;{'nameRu': 'Товар'}
941140000437/230088/00;{'nameRu': 'ИП ФОРТУНА'};Услуга по экспертному заключению на списанию;{'nameRu': 'Запрос ценовых предложений'};0.00;26500.00;{'nameRu': 'Услуга'}
941140000437/230087/00;"{'nameRu': 'ТОО ""Инвест Строй 2024""'}";Монтаж кондиционера;{'nameRu': 'Запрос ценовых предложений'};0.00;55996.64;{'nameRu': 'Работа'}
