contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
970240000225/230109/00;"{'nameRu': 'ТОО ""Kostanay Business Services""'}";Услуги по продлению лицензий на право использования программного обеспечения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;726230.40;{'nameRu': 'Услуга'}
970240000225/230108/00;"{'nameRu': 'ТОО ""Республиканский Радиологический Центр""'}";Проведение лабораторных/лабораторно-инструментальных исследований/анализов;{'nameRu': 'Запрос ценовых предложений'};0.00;224000.00;{'nameRu': 'Услуга'}
970240000225/230107/00;{'nameRu': 'ИП ITKZ'};Услуга по продлению шлюза безопасности;{'nameRu': 'Запрос ценовых предложений'};0.00;624000.00;{'nameRu': 'Услуга'}
970240000225/230106/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Elite Tender Management""'}";Водонагреватель;{'nameRu': 'Запрос ценовых предложений'};0.00;1092142.24;{'nameRu': 'Товар'}
970240000225/230105/00;"{'nameRu': 'ТОО ""GUL""'}";Водонагреватель;{'nameRu': 'Запрос ценовых предложений'};0.00;972122.00;{'nameRu': 'Товар'}
970240000225/230104/00;"{'nameRu': 'ЖК ""ІНЖУ МАРЖАН""'}";Папка пластиковая;{'nameRu': 'Электронный магазин'};0.00;100000.00;{'nameRu': 'Товар'}
970240000225/230103/00;"{'nameRu': 'ТОО ""Ekomed.kz""'}";Плита настольная;{'nameRu': 'Электронный магазин'};0.00;11200.00;{'nameRu': 'Товар'}
970240000225/230102/00;"{'nameRu': '""Capital Win""'}";Файл-уголок;{'nameRu': 'Электронный магазин'};0.00;23000.00;{'nameRu': 'Товар'}
970240000225/230101/00;{'nameRu': 'Smart Trade Profit'};Инфракрасный датчик;{'nameRu': 'Запрос ценовых предложений'};0.00;74442.00;{'nameRu': 'Товар'}
970240000225/230100/00;{'nameRu': 'IG-Service'};Набор датчиков для робототехники 37 в 1;{'nameRu': 'Запрос ценовых предложений'};0.00;34800.00;{'nameRu': 'Товар'}
970240000225/230025/01;{'nameRu': 'ИП ГУДИАЛ'};Услуги по организации обеспечения питания детей(увеличение контингента обучающихся с 1- по 4 класс);{'nameRu': 'Конкурс по приобретению услуг по организации питания воспитанников и обучающихся'};2636566.80;23342682.00;{'nameRu': 'Услуга'}
970240000225/230099/00;{'nameRu': 'ИП Куникеева'};Работа по модернизации фойе инклюзивного кабинета;{'nameRu': 'Запрос ценовых предложений'};0.00;2845500.00;{'nameRu': 'Работа'}
970240000225/230098/00;{'nameRu': 'ИП Махнёва О.А.'};Канцелярские принадлежности;{'nameRu': 'Электронный магазин'};0.00;9200.00;{'nameRu': 'Товар'}
970240000225/230097/00;{'nameRu': 'ИП Машрапова'};Канцелярские принадлежности;{'nameRu': 'Электронный магазин'};0.00;7150.00;{'nameRu': 'Товар'}
970240000225/230096/00;{'nameRu': 'ИП АБДЕЛЬАЗИЗ'};Канцелярские принадлежности;{'nameRu': 'Электронный магазин'};0.00;23000.00;{'nameRu': 'Товар'}
970240000225/230094/00;{'nameRu': 'ИП Кланова Жанаргуль Даулетовна'};Изготовление и установка внутренних москитных сеток;{'nameRu': 'Запрос ценовых предложений'};0.00;388888.00;{'nameRu': 'Работа'}
970240000225/230093/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ЕА Сервисез""'}";Скобы для степлера;{'nameRu': 'Электронный магазин'};0.00;28850.00;{'nameRu': 'Товар'}
970240000225/230092/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Бумага для офисного оборудования;{'nameRu': 'Запрос ценовых предложений'};0.00;695100.00;{'nameRu': 'Товар'}
970240000225/230091/00;"{'nameRu': 'ТОО ""STEPLine""'}";Интерактивная панель;{'nameRu': 'Электронный магазин'};0.00;2873299.52;{'nameRu': 'Товар'}
