contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140005736/230002/01;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};843434.55;1293384.96;{'nameRu': 'Товар'}
050140005736/230038/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Услуги по проведению ведомственной экспертизы дорог села Крыловка улиц: Центральная, Учительская.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050140005736/230037/00;"{'nameRu': 'ТОО ""Братья""'}";обслуживание линий электропередач;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;1960000.00;{'nameRu': 'Услуга'}
050140005736/230036/00;"{'nameRu': 'ТОО ""HABEKA""'}";кондиционер;{'nameRu': 'Запрос ценовых предложений'};314267.00;314267.00;{'nameRu': 'Услуга'}
050140005736/230035/00;"{'nameRu': 'ТОО ""Geosmet""'}";разработка ПСД с.Крыловка;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;700000.00;{'nameRu': 'Услуга'}
050140005736/230034/00;"{'nameRu': 'ИП ""Смышляев Вадим Александрович""'}";Дрова;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};425000.00;425000.00;{'nameRu': 'Товар'}
050140005736/230033/00;"{'nameRu': 'ТОО ""КаР-Тел""'}";услуги мобильной связи;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;23600.00;{'nameRu': 'Услуга'}
050140005736/230032/00;{'nameRu': 'ИП Бектасов'};планшет, термопринтер;{'nameRu': 'Запрос ценовых предложений'};178400.00;178400.00;{'nameRu': 'Товар'}
050140005736/230031/00;{'nameRu': 'ИП Латышев В.И.'};установка дополнительных фонарей в с. Караоба;{'nameRu': 'Запрос ценовых предложений'};1380000.00;1380000.00;{'nameRu': 'Работа'}
050140005736/230030/00;{'nameRu': 'WINCOM'};акт технического обследования;{'nameRu': 'Запрос ценовых предложений'};7400.00;7400.00;{'nameRu': 'Услуга'}
050140005736/230028/01;{'nameRu': 'ИП  СНЕГУР  ОЛЕГ  ВЛАДИМИРОВИЧ'};установка дополнительных фонарей;{'nameRu': 'Запрос ценовых предложений'};4399200.00;4399200.00;{'nameRu': 'Работа'}
050140005736/230029/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92;{'nameRu': 'Через товарные биржи'};183030.00;204993.60;{'nameRu': 'Товар'}
050140005736/230028/00;{'nameRu': 'ИП  СНЕГУР  ОЛЕГ  ВЛАДИМИРОВИЧ'};установка дополнительных фонарей с Сорочинском с.о.;{'nameRu': 'Запрос ценовых предложений'};0.00;2850000.00;{'nameRu': 'Работа'}
