contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
030140001889/230005/01;"{'nameRu': 'КГП ""Жылу"" акимата Карабалыкского района'}";Услуги по передаче тепловой энергии;{'nameRu': 'Из одного источника путем прямого заключения договора'};1825713.55;3177000.00;{'nameRu': 'Услуга'}
030140001889/230003/01;"{'nameRu': 'КГП ""Жылу"" акимата Карабалыкского района'}";Услуги по удалению сточных вод (отведение);{'nameRu': 'Из одного источника путем прямого заключения договора'};168754.58;300000.00;{'nameRu': 'Услуга'}
030140001889/230077/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта &amp;quot;Парус-КАЗ.Бюджет&amp;quot; (Тарификация)";{'nameRu': 'Из одного источника путем прямого заключения договора'};18060.71;60684.00;{'nameRu': 'Услуга'}
030140001889/230076/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Установка программного продукта &quot;Парус-КАЗ.Бюджет&quot; (Тарификация)";{'nameRu': 'Из одного источника путем прямого заключения договора'};133928.57;150000.00;{'nameRu': 'Услуга'}
030140001889/230075/01;{'nameRu': 'ИП Савина'};Изготовление журналов учебно-тренировочных занятий;{'nameRu': 'Запрос ценовых предложений'};42075.00;42075.00;{'nameRu': 'Услуга'}
030140001889/230075/00;{'nameRu': 'ИП Савина'};Изготовление журналов учебно-тренировочных занятий;{'nameRu': 'Запрос ценовых предложений'};0.00;29700.00;{'nameRu': 'Услуга'}
030140001889/230074/00;"{'nameRu': 'ТОО ""Производственно-коммерческая фирма ""Теплосервис""'}";Ремонт и модернизации КИС и автоматики и аналогичных измерительных средств и оборудования;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};147321.43;165000.00;{'nameRu': 'Работа'}
030140001889/230073/00;"{'nameRu': 'ТОО ""ТЕХНАДЗОР Групп""'}";Работы по техническому обследованию объектов недвижимого имущества/;{'nameRu': 'Запрос ценовых предложений'};230000.00;230000.00;{'nameRu': 'Работа'}
030140001889/230072/00;"{'nameRu': 'ТОО ""PetroRetail""'}";Бензин АИ-92 (в талонах);{'nameRu': 'Запрос ценовых предложений'};509600.00;570752.00;{'nameRu': 'Товар'}
030140001889/230071/00;{'nameRu': 'STROYCORP'};Работы по техническому обследованию объектов недвижимого имущества;{'nameRu': 'Запрос ценовых предложений'};212070.00;212070.00;{'nameRu': 'Работа'}
030140001889/230070/00;{'nameRu': 'СВЕЧНИКОВ АЛЕКСАНДР ПЕТРОВИЧ'};Шатырды күрделі жөндеуге ЖСҚ әзірлеу бойынша жұмыстар;{'nameRu': 'Запрос ценовых предложений'};0.00;469000.00;{'nameRu': 'Работа'}
030140001889/230069/00;"{'nameRu': 'ИП ""ЕСЕНАМАНОВА""'}";Приобретение заградительной сетки;{'nameRu': 'Запрос ценовых предложений'};218615.00;218615.00;{'nameRu': 'Товар'}
030140001889/230068/00;{'nameRu': 'ИП АҚЖОЛ'};Приобретение медикаментов и средств медицинского назначения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};14630.00;14630.00;{'nameRu': 'Товар'}
030140001889/230067/00;"{'nameRu': 'КГП ""Карабалыкская районная больница"" Управления здравоохранения акимата Костанайской области'}";Услуги по периодическому медицинскому осмотру персонала;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};138326.00;146449.00;{'nameRu': 'Услуга'}
030140001889/230066/00;{'nameRu': 'ИП АҚЖОЛ'};Приобретение медикаментов и средств медицинского назначения;{'nameRu': 'Запрос ценовых предложений'};103358.00;103358.00;{'nameRu': 'Товар'}
030140001889/230065/00;"{'nameRu': 'ТОО ""Мирислам Строй Каз""'}";Работы по прокладке канализационных систем;{'nameRu': 'Запрос ценовых предложений'};3200000.00;3200000.00;{'nameRu': 'Работа'}
030140001889/230064/00;{'nameRu': 'ИП Кожуров С.М.'};Приобретение дисков для колеса и камер;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};37904.00;42452.48;{'nameRu': 'Товар'}
030140001889/230063/00;"{'nameRu': 'ИП ""Карпов""'}";Приобретение строительных материалов;{'nameRu': 'Запрос ценовых предложений'};314911.00;314911.00;{'nameRu': 'Товар'}
030140001889/230062/00;{'nameRu': 'grup.kzXANULAN'};Приобретение зимних шин;{'nameRu': 'Запрос ценовых предложений'};71960.00;71960.00;{'nameRu': 'Товар'}
030140001889/230061/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта &quot;Парус-КАЗ,Бюджет&quot;(Бюджетное финансирование. Бюджетная заявка)";{'nameRu': 'Из одного источника путем прямого заключения договора'};26785.71;30000.00;{'nameRu': 'Услуга'}
030140001889/230060/00;"{'nameRu': 'ТОО ""ESPERTA""'}";Приобретение строительного оборудования (Леса строительные металлические 9 метров);{'nameRu': 'Запрос ценовых предложений'};637500.00;714000.00;{'nameRu': 'Товар'}
030140001889/230059/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92 (в талонах);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};128106.25;143479.00;{'nameRu': 'Товар'}
030140001889/230058/00;"{'nameRu': 'ИП ""Кинсфатор Е.Г.""'}";Услуги по техническому обслуживанию компьютерной периферийной оргтехники оборудования и их частей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};122000.00;122000.00;{'nameRu': 'Услуга'}
030140001889/230057/00;"{'nameRu': 'ИП ""Кинсфатор Е.Г.""'}";Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};60000.00;60000.00;{'nameRu': 'Услуга'}
030140001889/230056/00;"{'nameRu': 'ИП ""Ерсайын""'}";Работы по изготовлению и установке пластиковых дверей;{'nameRu': 'Запрос ценовых предложений'};274300.00;274300.00;{'nameRu': 'Работа'}
030140001889/230055/00;"{'nameRu': 'ИП ""Ерсайын""'}";Работы по изготовлению и установке пластиковых дверей;{'nameRu': 'Запрос ценовых предложений'};274300.00;274300.00;{'nameRu': 'Работа'}
030140001889/230054/00;"{'nameRu': 'ТОО ""EXPOTEX Taraz LTD""'}";Товары для проведения спортивных мероприятий (форма волейбольная, футбольная, баскетбольная);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};535200.00;599424.00;{'nameRu': 'Товар'}
030140001889/230053/00;"{'nameRu': '""ОПТТОРГ"" 2030'}";Приобретение спорт товаров (колодки);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};36688.00;36688.00;{'nameRu': 'Товар'}
030140001889/230051/00;{'nameRu': 'ИП Қалыбаева'};Товары для проведения спортивных мероприятий (груша боксерская);{'nameRu': 'Запрос ценовых предложений'};415755.00;415755.00;{'nameRu': 'Товар'}
030140001889/230050/00;{'nameRu': 'НУРДАУЛЕТ'};Приобретение спорт товаров (лапа спортивная);{'nameRu': 'Запрос ценовых предложений'};199080.00;199080.00;{'nameRu': 'Товар'}
030140001889/230049/00;{'nameRu': 'ИП АХМЕТОВ'};Товары ля проведения спортивных мероприятий (мячи баскетбольные);{'nameRu': 'Запрос ценовых предложений'};220550.00;220550.00;{'nameRu': 'Товар'}
030140001889/230048/00;"{'nameRu': 'ДК ""Арай-Нұр""'}";Приобретение спорт товаров (мяч волейбольный);{'nameRu': 'Запрос ценовых предложений'};51998.00;51998.00;{'nameRu': 'Товар'}
030140001889/230047/00;{'nameRu': 'ИП SAPA'};Приобретение спорт товаров (мяч волейбольный);{'nameRu': 'Запрос ценовых предложений'};68540.00;68540.00;{'nameRu': 'Товар'}
030140001889/230046/00;"{'nameRu': 'ТОО ""Lacon""'}";Приобретение спорт товаров (волейбольные мячи);{'nameRu': 'Запрос ценовых предложений'};152300.00;152300.00;{'nameRu': 'Товар'}
030140001889/230045/00;"{'nameRu': 'ТОО ""Lacon""'}";Приобретение спорт товаров (мяч футзальный);{'nameRu': 'Запрос ценовых предложений'};142300.00;142300.00;{'nameRu': 'Товар'}
030140001889/230044/00;{'nameRu': 'ИП Ережеп'};Приобретение спорт товаров (перчатки боксерские);{'nameRu': 'Запрос ценовых предложений'};105000.00;105000.00;{'nameRu': 'Товар'}
030140001889/230043/00;{'nameRu': 'ИП САРСЕНБАЕВ С.Х.'};Приобретение спорт товаров (эспандер тренировочный);{'nameRu': 'Запрос ценовых предложений'};21900.00;21900.00;{'nameRu': 'Товар'}
030140001889/230042/00;"{'nameRu': 'ТОО ""Sportleader""'}";Приобретение спорт товаров (лестница спортивная);{'nameRu': 'Запрос ценовых предложений'};12800.00;14336.00;{'nameRu': 'Товар'}
030140001889/230041/00;{'nameRu': 'ИП Kaharov'};Приобретение спорт товаров (секундомер);{'nameRu': 'Запрос ценовых предложений'};29998.00;29998.00;{'nameRu': 'Товар'}
030140001889/230040/00;"{'nameRu': 'ТОО ""Sportleader""'}";Приобретение спорт товаров (теннисный мяч);{'nameRu': 'Запрос ценовых предложений'};6880.00;7705.60;{'nameRu': 'Товар'}
030140001889/230039/00;{'nameRu': 'ИП Қайбалды'};Приобретение спорт товаров (скакалка);{'nameRu': 'Запрос ценовых предложений'};70000.00;70000.00;{'nameRu': 'Товар'}
030140001889/230038/00;"{'nameRu': 'ИП ""Омарова Н.Т.""'}";Приобретение Спорт товаров, (сетка волейбольная, тележка для переноса мячей);{'nameRu': 'Запрос ценовых предложений'};70520.00;70520.00;{'nameRu': 'Товар'}
030140001889/230037/00;{'nameRu': 'ИП Акмарал'};Приобретение Спорттоваров, (мячи футбольные);{'nameRu': 'Запрос ценовых предложений'};115000.00;115000.00;{'nameRu': 'Товар'}
030140001889/230036/00;{'nameRu': 'ИП Акмарал'};Приобретение спорт товаров, (конус сетка, для баскетбольного кольца );{'nameRu': 'Запрос ценовых предложений'};66660.00;66660.00;{'nameRu': 'Товар'}
030140001889/230035/00;{'nameRu': 'ИП Акмарал'};Приобретение спорт товаров, (табло);{'nameRu': 'Запрос ценовых предложений'};8400.00;8400.00;{'nameRu': 'Товар'}
030140001889/230034/00;{'nameRu': 'ИП Акмарал'};Приобретение спорт товаров, (мяч волейбольный);{'nameRu': 'Запрос ценовых предложений'};112600.00;112600.00;{'nameRu': 'Товар'}
030140001889/230033/00;{'nameRu': 'ИП Акмарал'};Приобретение спорт товаров, (насос воздушный, жгут, свисток судейский);{'nameRu': 'Запрос ценовых предложений'};22780.00;22780.00;{'nameRu': 'Товар'}
030140001889/230032/00;{'nameRu': 'Family'};Приобретение спорт товаров, (мячи волейбольные);{'nameRu': 'Запрос ценовых предложений'};216660.00;216660.00;{'nameRu': 'Товар'}
030140001889/230031/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""РАЙАНА-2018""'}";Работы по ремонту пластиковых окон (замена стеклопакета и комплектующих);{'nameRu': 'Запрос ценовых предложений'};235000.00;263200.00;{'nameRu': 'Работа'}
030140001889/230030/00;"{'nameRu': 'АО ""Страховая Компания ""Сентрас Иншуранс""'}";Услуги по страхованию гражданско-правовой ответственности перевозчика перед пассажирами;{'nameRu': 'Из одного источника путем прямого заключения договора'};39675.00;39675.00;{'nameRu': 'Услуга'}
030140001889/230029/00;"{'nameRu': 'АО ""Страховая Компания ""Сентрас Иншуранс""'}";Услуги по страхованию гражданско-правовой ответственности перевозчика перед пассажирами;{'nameRu': 'Из одного источника путем прямого заключения договора'};72215.00;72215.00;{'nameRu': 'Услуга'}
030140001889/230028/00;{'nameRu': 'ИП Кожуров С.М.'};Приобретение горюче-смазочных материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};50700.00;56784.00;{'nameRu': 'Товар'}
030140001889/230027/00;"{'nameRu': 'ИП ""Жуматов Н.К.""'}";Услуги по техническому контролю (осмотру) дорожных транспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};13500.00;13500.00;{'nameRu': 'Услуга'}
030140001889/230026/00;"{'nameRu': 'ИП ""Карпов""'}";Приобретение строительных материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;175029.00;{'nameRu': 'Товар'}
030140001889/230025/00;{'nameRu': 'ИП Naumenko A.V'};Приобретение хозяйственных товаров;{'nameRu': 'Запрос ценовых предложений'};4800.00;4800.00;{'nameRu': 'Товар'}
030140001889/230024/00;{'nameRu': 'ИП Лю Елена'};Құрылыс материалдарын сатып алу;{'nameRu': 'Запрос ценовых предложений'};18620.00;18620.00;{'nameRu': 'Товар'}
030140001889/230023/00;{'nameRu': 'ЕРГАЛИЕВА ЖАННА ЖУМАБАЕВНА'};Приобретение хозяйственных товаров;{'nameRu': 'Запрос ценовых предложений'};12600.00;12600.00;{'nameRu': 'Товар'}
030140001889/230022/00;"{'nameRu': 'ИП ""Карпов""'}";Құрылыс материалдарын сатып алу;{'nameRu': 'Запрос ценовых предложений'};25500.00;25500.00;{'nameRu': 'Товар'}
030140001889/230021/00;"{'nameRu': 'ИП ""Карпов""'}";Приобретение строительных материалов;{'nameRu': 'Запрос ценовых предложений'};4900.00;4900.00;{'nameRu': 'Товар'}
030140001889/230020/00;"{'nameRu': 'ИП ""Карпов""'}";Приобретение хозяйственных товаров;{'nameRu': 'Запрос ценовых предложений'};42020.00;42020.00;{'nameRu': 'Товар'}
030140001889/230019/00;"{'nameRu': 'ИП ""Чернуха И.П.""'}";Работы по ремонту автотранспортных средств;{'nameRu': 'Запрос ценовых предложений'};414600.00;414600.00;{'nameRu': 'Работа'}
030140001889/230018/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус СП""'}";Бумага компьютерная формат А4;{'nameRu': 'Запрос ценовых предложений'};120540.00;135004.80;{'nameRu': 'Товар'}
030140001889/230017/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92 (в талонах);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};584375.00;654500.00;{'nameRu': 'Товар'}
030140001889/230016/00;{'nameRu': 'ИП АЛПЫСБАЕВА В.М.'};Приобретение канцелярских принадлежностей;{'nameRu': 'Запрос ценовых предложений'};20900.00;20900.00;{'nameRu': 'Товар'}
030140001889/230015/00;"{'nameRu': 'ИП ""Кинсфатор Е.Г.""'}";Приобретение канцелярских принадлежностей;{'nameRu': 'Запрос ценовых предложений'};2410.00;2410.00;{'nameRu': 'Товар'}
030140001889/230014/00;{'nameRu': 'ИП ДИЯНЧУК ЕЛЕНА ДМИТРИЕВНА'};Приобретение канцелярских принадлежностей;{'nameRu': 'Запрос ценовых предложений'};29440.00;32972.80;{'nameRu': 'Товар'}
030140001889/230013/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги по доступу к интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};97285.71;229000.00;{'nameRu': 'Услуга'}
030140001889/230012/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};7000.00;40000.00;{'nameRu': 'Услуга'}
030140001889/230011/00;{'nameRu': 'ИП Кашаков А.Г.'};Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};32000.00;32000.00;{'nameRu': 'Услуга'}
030140001889/230010/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""МСБ ПРОФИТ""'}";Услуги по техническому обслуживанию пожарной сигнализации;{'nameRu': 'Запрос ценовых предложений'};39674.97;52900.00;{'nameRu': 'Услуга'}
030140001889/230009/00;{'nameRu': 'DA Company'};Услуги по абонентскому сопровождению 1С Бухгалтерия 8;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};225000.00;300000.00;{'nameRu': 'Услуга'}
030140001889/230008/00;{'nameRu': 'DA Company'};Услуги по ИТС Бюджет Проф (обновление);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};110000.00;110000.00;{'nameRu': 'Услуга'}
030140001889/230007/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};354930.02;999000.02;{'nameRu': 'Товар'}
030140001889/230006/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта &quot;Парус-КАЗ,Бюджет&quot;(Бюджетное финансирование. Бюджетная заявка)";{'nameRu': 'Из одного источника путем прямого заключения договора'};188614.29;422496.00;{'nameRu': 'Услуга'}
030140001889/230005/00;"{'nameRu': 'КГП ""Жылу"" акимата Карабалыкского района'}";Услуги по передаче тепловой энергии;{'nameRu': 'Из одного источника путем прямого заключения договора'};1825713.55;2677000.00;{'nameRu': 'Услуга'}
030140001889/230004/00;"{'nameRu': 'КГП ""Жылу"" акимата Карабалыкского района'}";Холодная(Питевая вода);{'nameRu': 'Из одного источника путем прямого заключения договора'};55897.90;86000.00;{'nameRu': 'Услуга'}
030140001889/230003/00;"{'nameRu': 'КГП ""Жылу"" акимата Карабалыкского района'}";Услуги по удалению сточных вод (отведение);{'nameRu': 'Из одного источника путем прямого заключения договора'};168754.58;200000.00;{'nameRu': 'Услуга'}
030140001889/230002/00;{'nameRu': 'ИП Абдрахманова Айтжан Ашимовна'};Услуги по удалению сточных вод (отведение);{'nameRu': 'Из одного источника путем прямого заключения договора'};84378.30;143440.00;{'nameRu': 'Услуга'}
030140001889/230001/00;"{'nameRu': 'Костанайский областной филиал №229900 Акционерного общества ""Народный сберегательный банк Казахстана""'}";Услуги банка по комиссии за обслуживание текущих счетов;{'nameRu': 'Из одного источника путем прямого заключения договора'};85912.35;170000.00;{'nameRu': 'Услуга'}
