contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140005617/230032/00;"{'nameRu': 'ИП ""Смышляев Вадим Александрович""'}";Дрова рубленные с доставкой;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;120000.00;{'nameRu': 'Товар'}
050140005617/230031/00;{'nameRu': 'ИП Латышев В.И.'};Обеспечение энергоэффективного освещения (установка/модернизация/замена осветительного оборудования на объекте заказчика);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;238000.00;{'nameRu': 'Работа'}
050140005617/230030/00;{'nameRu': 'ИП Дутбаева Наталья Сергеевна'};Работы по ремонту/благоустройству территории парка;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};200000.00;200000.00;{'nameRu': 'Работа'}
050140005617/230029/00;"{'nameRu': 'ТОО ""КаР-Тел""'}";Предоставление услуги закрытой передачи данных посредством сотовой сети;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;20500.00;{'nameRu': 'Услуга'}
050140005617/230028/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин для двигателей с искровым зажиганием;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};142760.89;159892.20;{'nameRu': 'Товар'}
050140005617/230027/00;"{'nameRu': 'ТОО ""Улан-C""'}";Оплата коммунальных услуг, предоставление услуг по водоснабжению;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;465000.00;{'nameRu': 'Услуга'}
050140005617/230024/01;"{'nameRu': 'ИП ""Алиба Сервис""'}";Работы по ремонту/благоустройству территории парка.;{'nameRu': 'Запрос ценовых предложений'};0.00;180000.00;{'nameRu': 'Работа'}
050140005617/230026/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Art Express Design""'}";Флаг уличный;{'nameRu': 'Запрос ценовых предложений'};24000.00;26880.00;{'nameRu': 'Товар'}
050140005617/230025/00;{'nameRu': 'ИП Бердалиева Б'};Устройство комптютерное;{'nameRu': 'Запрос ценовых предложений'};0.00;134000.00;{'nameRu': 'Товар'}
050140005617/230024/00;"{'nameRu': 'ИП ""Алиба Сервис""'}";Работы по ремонту/благоустройству территории парка;{'nameRu': 'Запрос ценовых предложений'};0.00;180000.00;{'nameRu': 'Работа'}
050140005617/230023/00;"{'nameRu': 'ТОО ""Улан-C""'}";Услуги по холодному водоснабжению с использованием систем централизованного водоснабжения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;21000.00;{'nameRu': 'Услуга'}
050140005617/230022/00;{'nameRu': 'ИП АСЛАН'};Работы по ремонту нежилых зданий/сооружений/помещений;{'nameRu': 'Из одного источника путем прямого заключения договора'};8717000.00;8717000.00;{'nameRu': 'Работа'}
050140005617/230021/00;{'nameRu': 'Jakon'};Услуги по обработке и подготовке семян для размножения.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};80000.00;80000.00;{'nameRu': 'Услуга'}
050140005617/230020/00;{'nameRu': 'индивидуальный предприниматель'};Услуги по техническому обслуживанию автотранспорта/специальной техники;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};160000.00;160000.00;{'nameRu': 'Услуга'}
050140005617/230019/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества.;{'nameRu': 'Из одного источника путем прямого заключения договора'};41400.00;48300.00;{'nameRu': 'Услуга'}
050140005617/230018/00;"{'nameRu': 'ТОО ""IT-comp""'}";Устройство компьютерное;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};137892.00;154439.04;{'nameRu': 'Товар'}
050140005617/230002/01;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обработке информации/данных/материалов и аналогичное;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;48300.00;{'nameRu': 'Услуга'}
050140005617/230017/00;"{'nameRu': 'Костанайский филиал Акционерного общества ""Страховая компания ""Виктория""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Запрос ценовых предложений'};25646.00;25646.00;{'nameRu': 'Услуга'}
050140005617/230016/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""СНАБЖЕНИЕ-KZ""'}";уголь;{'nameRu': 'Через товарные биржи'};213900.00;239568.00;{'nameRu': 'Товар'}
050140005617/230015/00;"{'nameRu': 'ТОО ""ПЛЮСМИКРО ПЕТРОПАВЛОВСК""'}";Компьютер в комплекте (офисный);{'nameRu': 'Конкурс с предварительным квалификационным отбором'};190000.00;212800.00;{'nameRu': 'Товар'}
050140005617/230014/00;{'nameRu': 'ИП ЭКО СТАНДАРТ'};Услуги консультационные по вопросам охраны окружающей среды и экологии;{'nameRu': 'Запрос ценовых предложений'};85500.00;85500.00;{'nameRu': 'Услуга'}
050140005617/230013/00;{'nameRu': 'Кукаева Лидия Куантаевна'};Работы по содержанию автомобильных дорог;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};3100000.00;3500000.00;{'nameRu': 'Работа'}
050140005617/230012/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин для двигателей с искровым зажиганием;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};250446.43;280500.00;{'nameRu': 'Товар'}
050140005617/230011/00;"{'nameRu': 'ТОО ""Мансап Трейд""'}";Услуги по брокерским операциям с товарами;{'nameRu': 'Запрос ценовых предложений'};85.00;85.00;{'nameRu': 'Услуга'}
050140005617/230010/00;{'nameRu': 'ИП НҰРАСЫЛ'};Бумага для офисного оборудования;{'nameRu': 'Запрос ценовых предложений'};55000.00;55000.00;{'nameRu': 'Товар'}
