contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
950440000526/230084/00;{'nameRu': 'ИП Творческий взгляд'};Услуга по изготовлению Карты Костанайской области 2023 года;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;61000.00;{'nameRu': 'Услуга'}
950440000526/230083/00;{'nameRu': 'ИП Гуцало Петр Иванович'};Услуга по изготовлению технического паспорта;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;86000.00;{'nameRu': 'Услуга'}
950440000526/230077/01;"{'nameRu': 'ТОО ""EAST LINK"" (""ИСТ ЛИНК"")'}";Компьютеры в комплекте;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};0.00;3037440.00;{'nameRu': 'Товар'}
950440000526/230082/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Автодом Костанай""'}";Услуга по ремонту автомашины JAC S5 011 AA;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;60000.00;{'nameRu': 'Услуга'}
950440000526/230081/00;"{'nameRu': 'ИП ""Кенже""'}";Услуга по ремонту автомашины Toyota Camry;{'nameRu': 'Запрос ценовых предложений'};0.00;237000.00;{'nameRu': 'Услуга'}
950440000526/230080/00;{'nameRu': 'ИП Qaz Сервис'};Услуга по ремонту автомашины Hyundai Santa Fe/;{'nameRu': 'Запрос ценовых предложений'};0.00;289000.00;{'nameRu': 'Услуга'}
950440000526/230079/00;"{'nameRu': 'АО ""СПК ""Тобол""'}";Услуги поверенного агента при бюджетном кредитовании инвестиционных проектов в АПК.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;373500000.00;{'nameRu': 'Услуга'}
950440000526/230078/00;{'nameRu': 'ЖК Нұр-Дос'};Политико-административная карта Республики Казахстан- 2023 г.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;36000.00;{'nameRu': 'Товар'}
950440000526/230077/00;"{'nameRu': 'ТОО ""EAST LINK"" (""ИСТ ЛИНК"")'}";Компьютеры в комплекте;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};0.00;2712000.00;{'nameRu': 'Товар'}
950440000526/230075/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Установка и настройка программного продукта &quot;Парус-КАЗ. Бюджет&quot; (Бюджетное планирование)";{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;120000.00;{'nameRu': 'Услуга'}
950440000526/230074/00;{'nameRu': 'ИП ТУРСУНОВА КУСНА ЖАКЕНОВНА'};Услуги по мойке автотранспорта/спецтехники;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;300000.00;{'nameRu': 'Услуга'}
950440000526/230073/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Автодом Костанай""'}";Услуга по техническому обслуживанию автомашины JAC S5 011 госномер;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};41964.29;47000.00;{'nameRu': 'Услуга'}
950440000526/230072/00;{'nameRu': 'ИП ПЕРЦЕВ М.Ю.'};Услуга по техническому обслуживанию автомашины JAC S5 663 госномер;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};104000.00;104000.00;{'nameRu': 'Услуга'}
950440000526/230071/00;"{'nameRu': 'ТОО ""АБДИ ЕКОН""'}";Бумага для офисного оборудования А4;{'nameRu': 'Электронный магазин'};944528.00;1057871.36;{'nameRu': 'Товар'}
950440000526/230070/00;"{'nameRu': 'АО ""СПК ""Тобол""'}";Услуги поверенного агента при бюджетном кредитовании.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};83500.89;9960000.00;{'nameRu': 'Услуга'}
950440000526/230069/00;"{'nameRu': 'ТОО ""Теплокомплект-2006БКБ""'}";Услуга по техническому обслуживанию  энергетической экспертизе элеваторных узлов с выдачей заключения, поверка манометров, промывка и опрессовка системы отопления.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};72705.00;72705.00;{'nameRu': 'Услуга'}
950440000526/230068/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин АИ-92 в талонах по 10 литров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};915133.93;1024950.00;{'nameRu': 'Товар'}
950440000526/230067/00;{'nameRu': 'Исеноманова А.М.'};Услуги по техническому обслуживанию автомобиля Hyundai Santa FE;{'nameRu': 'Запрос ценовых предложений'};40000.00;40000.00;{'nameRu': 'Услуга'}
950440000526/230066/00;"{'nameRu': 'ИП ""UDAV""'}";Услуги по техническому обслуживанию климатического (кондиционерного) оборудования и систем/вентиляционных систем и оборудования.;{'nameRu': 'Запрос ценовых предложений'};473000.00;473000.00;{'nameRu': 'Услуга'}
950440000526/230065/00;{'nameRu': 'ИП Естыбаев Ж.А.'};Услуга по техническому обслуживанию автомашины JAC S5 663 госномер;{'nameRu': 'Запрос ценовых предложений'};127000.00;127000.00;{'nameRu': 'Услуга'}
950440000526/230064/00;{'nameRu': 'ИП КАКОРА НАТАЛЬЯ АНАТОЛЬЕВНА'};Услуги оказанию шиномонтажа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};50500.00;84500.00;{'nameRu': 'Услуга'}
950440000526/230063/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Hyundai Premium Kostanai""'}";Услуги по техническому обслуживанию автомобиля Hyundai Santa FE;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};53482.14;59900.00;{'nameRu': 'Услуга'}
950440000526/230062/00;{'nameRu': 'ИП ГНЕДКОВ  ВИТАЛИЙ  ВИКТОРОВИЧ'};Услуги по техническому обслуживанию автомобиля Toyota Camry;{'nameRu': 'Запрос ценовых предложений'};178000.00;178000.00;{'nameRu': 'Услуга'}
950440000526/230061/00;"{'nameRu': 'ТОО ""Samruk Tekstil""'}";Герб, наконечник;{'nameRu': 'Электронный магазин'};67857.14;76000.00;{'nameRu': 'Товар'}
950440000526/230060/00;"{'nameRu': 'АО ""СПК ""Тобол""'}";Услуги поверенного агента при бюджетном кредитовании;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};5087988.39;29880000.00;{'nameRu': 'Услуга'}
950440000526/230059/00;{'nameRu': 'ИП Касымова'};Услуга по техническому обслуживанию автомашины JAC S5 663 госномер;{'nameRu': 'Запрос ценовых предложений'};199000.00;199000.00;{'nameRu': 'Услуга'}
950440000526/230058/00;"{'nameRu': 'Акционерное общество ""Казахстанская аграрная экспертиза""'}";Услуги по проверке и подготовке семян сельскохозяйственных культур к севу;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};91312500.00;165270000.00;{'nameRu': 'Услуга'}
950440000526/230057/00;"{'nameRu': 'АО ""Национальный центр экспертизы и сертификации""'}";Услуги по проверке и подготовке семян сельскохозяйственных культур к севу;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};3191250.00;15330000.00;{'nameRu': 'Услуга'}
950440000526/230003/01;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};1110978.84;4041394.56;{'nameRu': 'Товар'}
950440000526/230056/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин АИ-92 в талонах по 10 литров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};784732.14;878900.00;{'nameRu': 'Товар'}
950440000526/230055/00;{'nameRu': 'ИП СТЕПАНОВ СТАНИСЛАВ ФИЛИМОНОВИЧ'};Услуги шиномонтажа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;85000.00;{'nameRu': 'Услуга'}
950440000526/230054/00;{'nameRu': 'ИП ПРОСКУРА АННА НИКОЛАЕВНА'};Приобретение тряпки для уборки пыли .;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};18600.00;18600.00;{'nameRu': 'Товар'}
950440000526/230053/00;"{'nameRu': 'ТОО ""СПБ-Групп""'}";Обучение пожарно-техническому миниму на 2023 год.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};20000.00;20000.00;{'nameRu': 'Услуга'}
950440000526/230052/00;"{'nameRu': 'ТОО ""WS Distribution (ВС Дистрибьюшн)""'}";Услуги по продлению лицензий на право использования программного обеспечения (антивируса Dr.Web Desktop Security Suite + Dr.Web Server Security Suite);{'nameRu': 'Запрос ценовых предложений'};300000.00;336000.00;{'nameRu': 'Услуга'}
950440000526/230051/00;{'nameRu': 'ИП Тойланбаев'};Приобретение летних шин на автомашину Hyundai Santa FE;{'nameRu': 'Электронный магазин'};319197.00;319197.00;{'nameRu': 'Товар'}
950440000526/230050/00;{'nameRu': 'Ledenergy.kz'};Приобретение потолочных светильников;{'nameRu': 'Электронный магазин'};112310.00;125787.20;{'nameRu': 'Товар'}
950440000526/230049/00;{'nameRu': 'M-INVEST'};Услуга по изготовлению папки государственного учреждения;{'nameRu': 'Запрос ценовых предложений'};578000.00;578000.00;{'nameRu': 'Услуга'}
950440000526/230048/00;{'nameRu': 'ЖК НҰР'};Изготовление свидетельства залога машин.;{'nameRu': 'Запрос ценовых предложений'};83500.00;83500.00;{'nameRu': 'Услуга'}
950440000526/230047/00;{'nameRu': 'ИП Касымова'};Услуга по техническому обслуживанию автомашины Toyota Camry;{'nameRu': 'Запрос ценовых предложений'};177000.00;177000.00;{'nameRu': 'Услуга'}
950440000526/230046/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""БАРС-2018""'}";Приобретение средства моющего (Comet);{'nameRu': 'Электронный магазин'};28800.00;32256.00;{'nameRu': 'Товар'}
950440000526/230045/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};Переподготовка государственных служащих.;{'nameRu': 'Из одного источника путем прямого заключения договора'};240600.00;481200.00;{'nameRu': 'Услуга'}
950440000526/230044/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};Повышение квалификации государственных служащих.;{'nameRu': 'Из одного источника путем прямого заключения договора'};946360.00;994480.00;{'nameRu': 'Услуга'}
950440000526/230043/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Азия Строй Кст""'}";Приобретение хозяйственных перчаток;{'nameRu': 'Электронный магазин'};0.00;5910.00;{'nameRu': 'Товар'}
950440000526/230042/00;{'nameRu': 'ИП Гуцало Петр Иванович'};Услуга по изготовлению бланков писем и приказов.;{'nameRu': 'Запрос ценовых предложений'};30000.00;30000.00;{'nameRu': 'Услуга'}
950440000526/230041/00;{'nameRu': 'ИП Гуцало Петр Иванович'};Изготовление удостоверения тракториста-машиниста;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};199879.00;199879.00;{'nameRu': 'Услуга'}
950440000526/230040/00;{'nameRu': 'ИП Гуцало Петр Иванович'};Изготовление технического паспорта;{'nameRu': 'Запрос ценовых предложений'};553807.00;553807.00;{'nameRu': 'Услуга'}
950440000526/230039/00;"{'nameRu': 'ТОО Фирма ""Металлоконструкция-ПВ""'}";Работы по изготовлению государственных регистрационных номерных знаков.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};11300625.00;12656700.00;{'nameRu': 'Работа'}
950440000526/230038/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Тазалык-2030 и К""'}";Услуга по вывозу мусора и твердо-бытовых отходов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};75000.00;126000.00;{'nameRu': 'Услуга'}
950440000526/230037/00;{'nameRu': 'ИП Касымова'};Услуга по техническому обслуживанию Hyundai Santa Fe;{'nameRu': 'Запрос ценовых предложений'};117000.00;117000.00;{'nameRu': 'Услуга'}
950440000526/230036/00;"{'nameRu': 'ТОО ""Взлет Костанай""'}";Услуги по техническому обслуживанию контрольно-измерительных приборов и автоматики и аналогичных измерительных средств и оборудования;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};27771.00;64799.00;{'nameRu': 'Услуга'}
950440000526/230035/00;{'nameRu': 'ИП Родничок'};Приобретение файла-вкладыша;{'nameRu': 'Электронный магазин'};5850.00;5850.00;{'nameRu': 'Товар'}
950440000526/230034/00;{'nameRu': 'НҰР'};Приобретение мусорных пакетов.;{'nameRu': 'Электронный магазин'};23400.00;23400.00;{'nameRu': 'Товар'}
950440000526/230033/00;{'nameRu': 'ZANGAR'};Приобретение батареек .;{'nameRu': 'Электронный магазин'};24000.00;24000.00;{'nameRu': 'Товар'}
950440000526/230032/00;"{'nameRu': 'ТОО ""IT-ARSENAL""'}";Приобретение сетевого фильтра.;{'nameRu': 'Электронный магазин'};137700.00;154224.00;{'nameRu': 'Товар'}
950440000526/230031/00;{'nameRu': 'ИП Lazer Print'};Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Запрос ценовых предложений'};0.00;460000.00;{'nameRu': 'Услуга'}
950440000526/230030/00;{'nameRu': 'ИП Lazer Print'};Услуга по заправке картриджей;{'nameRu': 'Запрос ценовых предложений'};404000.00;1100000.00;{'nameRu': 'Услуга'}
950440000526/230029/00;{'nameRu': 'ИП ТУРСУНОВА КУСНА ЖАКЕНОВНА'};Услуги по мойке автотранспорта/спецтехники;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};289285.00;289285.00;{'nameRu': 'Услуга'}
950440000526/230028/00;"{'nameRu': 'Костанайский ОФ АО ""Казпочта""'}";Услуги почтовые, связанные с письмами (при предъявлении авансовой книжки);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;148727.00;{'nameRu': 'Услуга'}
950440000526/230027/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Приобретение канцелярских ручек;{'nameRu': 'Электронный магазин'};35800.00;40096.00;{'nameRu': 'Товар'}
950440000526/230026/00;{'nameRu': 'ИП БУХАРОВ  ИЛЬЯ  ВЛАДИМИРОВИЧ'};Услуги по сопровождению программного обеспечения 1С: Бухгалтерия 8.0 Бухгалтерского учета для государственных учреждений Казахстана;{'nameRu': 'Запрос ценовых предложений'};180000.00;239355.00;{'nameRu': 'Услуга'}
950440000526/230025/00;"{'nameRu': 'ТОО ""Редакция газеты ""Қостанай таңы""'}";Публикация объявлений в периодических печатных изданиях на государственном и русском языках проектов нормативно правовых актов;{'nameRu': 'Запрос ценовых предложений'};39642.86;250800.00;{'nameRu': 'Услуга'}
950440000526/230024/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""МСБ ПРОФИТ""'}";Услуга по техническому обслуживанию системы СКУД (турникет).;{'nameRu': 'Запрос ценовых предложений'};57928.50;77238.00;{'nameRu': 'Услуга'}
950440000526/230023/00;"{'nameRu': 'ТОО ""СанЭпидСервис Костанай""'}";Услуги санитарные (дератизация,дезинсекция);{'nameRu': 'Запрос ценовых предложений'};41850.00;55800.00;{'nameRu': 'Услуга'}
950440000526/230022/00;{'nameRu': 'ИП Дущенко Игорь Николаевич'};Услуги по обеспечению пожарной безопасности;{'nameRu': 'Запрос ценовых предложений'};23400.00;31200.00;{'nameRu': 'Услуга'}
950440000526/230021/00;{'nameRu': 'ИП Байназаров'};Приобретение папки- регистра;{'nameRu': 'Электронный магазин'};127800.00;127800.00;{'nameRu': 'Товар'}
950440000526/230020/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуга телефонной связи.;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};521440.88;1141680.00;{'nameRu': 'Услуга'}
950440000526/230019/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги по доступу к Интернету.;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};893787.39;1872720.00;{'nameRu': 'Услуга'}
950440000526/230018/00;{'nameRu': 'ИП Мазкенова'};Приобретение белизны;{'nameRu': 'Электронный магазин'};16500.00;16500.00;{'nameRu': 'Товар'}
950440000526/230017/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Приобретение тетрадей;{'nameRu': 'Электронный магазин'};5480.00;6137.60;{'nameRu': 'Товар'}
950440000526/230016/00;{'nameRu': 'Ledenergy.kz'};Приобретение светодиодных ламп;{'nameRu': 'Электронный магазин'};158928.57;178000.00;{'nameRu': 'Товар'}
950440000526/230015/00;{'nameRu': 'ИП Венера'};Приобретение стикера;{'nameRu': 'Электронный магазин'};12674.40;12674.40;{'nameRu': 'Товар'}
950440000526/230013/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ALMATAU LLC""'}";Приобретение освежителя воздуха;{'nameRu': 'Электронный магазин'};33427.80;37439.14;{'nameRu': 'Товар'}
950440000526/230012/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ALMATAU LLC""'}";Приобретение белизны геля;{'nameRu': 'Электронный магазин'};34982.14;39180.00;{'nameRu': 'Товар'}
950440000526/230011/00;{'nameRu': 'ИП Кишкинеева'};Приобретение скрепок;{'nameRu': 'Электронный магазин'};12000.00;12000.00;{'nameRu': 'Товар'}
950440000526/230010/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Приобретение скоросшивателя, скоб, ножниц;{'nameRu': 'Электронный магазин'};119196.43;133500.00;{'nameRu': 'Товар'}
950440000526/230009/00;{'nameRu': 'Aтимова Алия Тлековна'};Скотч;{'nameRu': 'Электронный магазин'};27286.20;27286.20;{'nameRu': 'Товар'}
950440000526/230008/00;"{'nameRu': 'Костанайский областной филиал №229900 Акционерного общества ""Народный сберегательный банк Казахстана""'}";Финансовые услуги;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;30000.00;{'nameRu': 'Услуга'}
950440000526/230007/00;"{'nameRu': 'Костанайский филиал Акционерного общества ""Страховая компания ""Виктория""'}";Услуги по обязательному страхованию автомобилей;{'nameRu': 'Из одного источника путем прямого заключения договора'};131438.00;131438.00;{'nameRu': 'Услуга'}
950440000526/230006/00;"{'nameRu': 'РГП на ПХВ ""ИЗПИ""'}";Услуги по сопровождению и технической поддержке Базы Закон;{'nameRu': 'Из одного источника путем прямого заключения договора'};115714.29;172800.00;{'nameRu': 'Услуга'}
950440000526/230005/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Экспресс - Пресса""'}";Подписка на газеты и журналы;{'nameRu': 'Из одного источника путем прямого заключения договора'};246551.79;276138.00;{'nameRu': 'Услуга'}
950440000526/230004/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта &quot;Парус-КАЗ.Бюджет&quot;(Бюджетное финансирование)";{'nameRu': 'Из одного источника путем прямого заключения договора'};406816.07;607512.00;{'nameRu': 'Услуга'}
950440000526/230003/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};77312.97;4041394.56;{'nameRu': 'Товар'}
950440000526/230002/00;"{'nameRu': 'ГКП ""Костанайская теплоэнергетическая компания"" акимата города Костаная государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата города Костаная""'}";Оказание услуг по передаче и/или распределению тепловой энергии;{'nameRu': 'Из одного источника путем прямого заключения договора'};2443944.16;7707000.00;{'nameRu': 'Услуга'}
950440000526/230001/00;"{'nameRu': 'Государственное коммунальное предприятие ""Костанай-Су"" акимата города Костаная государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата города Костаная""'}";Услуга по водоснабжению и удалению сточных вод.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;931651.00;{'nameRu': 'Услуга'}
