contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
101240002254/230015/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""CLASSICS OF LIFE""'}";Вода;{'nameRu': 'Запрос ценовых предложений'};26680.00;37027.20;{'nameRu': 'Товар'}
101240002254/230060/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Автодом Костанай""'}";Услуги по замене реле генератора автомобиля Chevrolet Cobalt 2023 года выпуска;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;25200.00;{'nameRu': 'Услуга'}
101240002254/230058/00;"{'nameRu': 'ИП ""САППАЕВА ШОЛПАН САБЫРОВНА""'}";Картридж для принтера НР lazerJet P2035;{'nameRu': 'Запрос ценовых предложений'};0.00;8000.00;{'nameRu': 'Товар'}
101240002254/230056/00;"{'nameRu': 'ТОО ""Луч НЛ""'}";Приобретение ламп светодиодных;{'nameRu': 'Запрос ценовых предложений'};0.00;24763.20;{'nameRu': 'Товар'}
101240002254/230055/00;"{'nameRu': 'Костанайский ОФ АО ""Казпочта""'}";подписка на газеты и журналы,согласно заказа на подписку;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;52221.76;{'nameRu': 'Услуга'}
101240002254/230054/00;"{'nameRu': 'Костанайский ОФ АО ""Казпочта""'}";подписка на газету Костанай-Агро;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;13500.00;{'nameRu': 'Услуга'}
101240002254/230053/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Редакция региональной общественно-политической газеты ARNA news""'}";подписка на газету Арна,согласно заказа на подписку;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;8600.00;{'nameRu': 'Услуга'}
101240002254/230052/00;"{'nameRu': 'ТОО ""Костанайские новости""'}";подписка на газету Костанайские новости, согласно заказа на подписку;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;18000.00;{'nameRu': 'Услуга'}
101240002254/230035/02;"{'nameRu': 'ТОО ""Стройсервис Фирма""'}";Текущий ремонт входной группы;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};943002.00;943002.00;{'nameRu': 'Работа'}
101240002254/230035/01;"{'nameRu': 'ТОО ""Стройсервис Фирма""'}";Текущий ремонт входной группы;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;943002.00;{'nameRu': 'Работа'}
101240002254/230051/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";Семинар;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;50000.00;{'nameRu': 'Услуга'}
101240002254/230050/00;{'nameRu': 'ИП МАРЬЯМ'};Кондиционер (сплит-система) с установкой;{'nameRu': 'Запрос ценовых предложений'};397767.87;445500.01;{'nameRu': 'Товар'}
101240002254/230049/00;{'nameRu': 'ИП Жакипова'};Утилизация этилового спирта;{'nameRu': 'Запрос ценовых предложений'};0.00;55000.00;{'nameRu': 'Услуга'}
101240002254/230048/00;"{'nameRu': 'ИП ""Smart House""'}";Устройство многофункциональное;{'nameRu': 'Электронный магазин'};344967.00;386363.04;{'nameRu': 'Товар'}
101240002254/230047/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Автодом Костанай""'}";Услуги по гарантийному техническому обслуживанию автомобиля Chevrolet Cobalt;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;67200.00;{'nameRu': 'Услуга'}
101240002254/230046/00;{'nameRu': 'ИП Демченко'};Услуги по хранению имущества, обращенного (поступившего) в собственность государства по отдельным основаниям. Услуги по доставке имущества, обращенного (поступившего) в собственность государства по отдельным основаниям;{'nameRu': 'Запрос ценовых предложений'};0.00;39000.00;{'nameRu': 'Услуга'}
101240002254/230045/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Бумага офисная (Формат А4, в пачке 500 листов, плотность 80 г/м2, белизна 146%);{'nameRu': 'Запрос ценовых предложений'};110250.00;123480.00;{'nameRu': 'Товар'}
101240002254/230044/00;{'nameRu': 'ИП БИЖАНОВ СЕРИК АМАНЖОЛОВИЧ'};Работы модернизации компьютерной техники (видеонаблюдение);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;56175.84;{'nameRu': 'Работа'}
101240002254/230043/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Услуги по проведению экспертизы (лабораторного испытания, исследования) имущества обращенного (поступившего) в собственность государства по отдельным основаниям;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2000.00;{'nameRu': 'Услуга'}
101240002254/230042/00;{'nameRu': 'ИП Банчужный Е.Г.'};Услуги шиномонтажа;{'nameRu': 'Запрос ценовых предложений'};0.00;24000.00;{'nameRu': 'Услуга'}
101240002254/230041/00;{'nameRu': 'ИП КУНЦ ЕВГЕНИЙ АЛЕКСАНДРОВИЧ'};Работы модернизации компьютерной техники;{'nameRu': 'Запрос ценовых предложений'};0.00;72000.00;{'nameRu': 'Работа'}
101240002254/230040/00;"{'nameRu': 'ТОО ""IT-comp""'}";Электронный ключ Kaztoken;{'nameRu': 'Запрос ценовых предложений'};0.00;56112.00;{'nameRu': 'Товар'}
101240002254/230039/00;{'nameRu': 'ИП ТЛЕУБАЕВ КУШЕН АМАНГЕЛЬДИНОВИЧ'};Проведение строительно-экономической и строительно-технической экспертизы на текущий ремонт входной группы;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;100000.00;{'nameRu': 'Услуга'}
101240002254/230010/01;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};2544375.00;3044625.00;{'nameRu': 'Услуга'}
101240002254/230033/01;"{'nameRu': 'ИП ""Жувак Артем""'}";Текущий ремонт кабинетов;{'nameRu': 'Запрос ценовых предложений'};4850000.00;5353650.00;{'nameRu': 'Работа'}
101240002254/230038/00;"{'nameRu': 'ТОО ""Центрум""'}";Изготовление гербовой печати;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;7500.00;{'nameRu': 'Работа'}
101240002254/230037/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Автодом Костанай""'}";слуги по гарантийному техническому обслуживанию автомобиля Chevrolet Cobalt;{'nameRu': 'Запрос ценовых предложений'};0.00;42000.00;{'nameRu': 'Услуга'}
101240002254/230036/00;{'nameRu': 'ИП Хайруллин'};Комплект чехлов для сидений автомобиля Chevrolet Cobalt 2023 года выпуска;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};39111.00;39111.00;{'nameRu': 'Товар'}
101240002254/230035/00;"{'nameRu': 'ТОО ""Стройсервис Фирма""'}";Текущий ремонт входной группы;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;4148000.00;{'nameRu': 'Работа'}
101240002254/230034/00;"{'nameRu': 'ТОО ""Адийат Капитал""'}";Кондиционер (сплит-система) с установкой;{'nameRu': 'Запрос ценовых предложений'};0.00;369000.00;{'nameRu': 'Товар'}
101240002254/230033/00;"{'nameRu': 'ИП ""Жувак Артем""'}";Текущий ремонт кабинетов;{'nameRu': 'Запрос ценовых предложений'};3650000.00;3795650.00;{'nameRu': 'Работа'}
101240002254/230032/00;"{'nameRu': 'ИП ""КАЛИБЕКОВА У""'}";Изготовление фирменных бланков;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;16000.00;{'nameRu': 'Услуга'}
101240002254/230031/00;"{'nameRu': 'ИП ""НОК и К""'}";Услуги по оценке автотранспортных средств;{'nameRu': 'Запрос ценовых предложений'};39300.00;65500.00;{'nameRu': 'Услуга'}
101240002254/230026/01;{'nameRu': 'ИП Сапабеков'};Автомобильная мультимедийная система с камерой заднего вида с установкой на автомобиль Chevrolet Cobalt 2023 года выпуска.;{'nameRu': 'Запрос ценовых предложений'};0.00;124900.00;{'nameRu': 'Товар'}
101240002254/230025/01;"{'nameRu': 'ИП ""Фирменный установочный центр ""STAR LINE""'}";Автомобильная сигнализация с установкой на автомобиль Chevrolet Cobalt 2023 года выпуска.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;115000.00;{'nameRu': 'Товар'}
101240002254/230030/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Оценка имущества физических лиц с целью налогообложения, не используемого в предпринимательской деятельности.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;3771997.68;{'nameRu': 'Услуга'}
101240002254/230029/00;"{'nameRu': 'ТОО ""CIFRTECH""'}";Компьютер;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};670000.00;750400.00;{'nameRu': 'Товар'}
101240002254/230028/00;{'nameRu': 'ИП Ниязов'};полики автомобильные, резиновые;{'nameRu': 'Запрос ценовых предложений'};0.00;38000.00;{'nameRu': 'Товар'}
101240002254/230027/00;"{'nameRu': 'АО ""Нефтяная страховая компания""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;25646.00;{'nameRu': 'Услуга'}
101240002254/230026/00;{'nameRu': 'ИП Сапабеков'};Автомобильная мультимедийная система с камерой заднего вида с установкой на автомобиль Chevrolet Cobalt 2023 года выпуска.;{'nameRu': 'Запрос ценовых предложений'};0.00;124900.00;{'nameRu': 'Товар'}
101240002254/230025/00;"{'nameRu': 'ИП ""Фирменный установочный центр ""STAR LINE""'}";Автомобильная сигнализация с установкой на автомобиль Chevrolet Cobalt 2023 года выпуска.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;115000.00;{'nameRu': 'Товар'}
101240002254/230024/00;{'nameRu': 'ИП БРЕЙТЕНБЮХЕР ДМИТРИЙ ВИКТОРОВИЧ'};Услуги по тонировке, затемнению стекол для автомобиля Chevrolet Cobalt 2023 года выпуска.;{'nameRu': 'Запрос ценовых предложений'};0.00;19000.00;{'nameRu': 'Услуга'}
101240002254/230023/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Редакция региональной общественно-политической газеты ARNA news""'}";Публикация объявления в газете;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};24000.00;39600.00;{'nameRu': 'Услуга'}
101240002254/230022/00;{'nameRu': 'ИП КУНЦ ЕВГЕНИЙ АЛЕКСАНДРОВИЧ'};Заправка картриджей и техническое обслуживание;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};30000.00;142000.00;{'nameRu': 'Услуга'}
101240002254/230021/00;"{'nameRu': 'ТОО ""ANNSOF""'}";Диски литые, шины шипованные зимние для автомобиля Chevrolet Cobalt 2023 года выпуска.;{'nameRu': 'Запрос ценовых предложений'};0.00;265216.00;{'nameRu': 'Товар'}
101240002254/230020/00;"{'nameRu': 'ИП ""НОК и К""'}";Услуги по оценке автотранспортных средств;{'nameRu': 'Запрос ценовых предложений'};0.00;18000.00;{'nameRu': 'Услуга'}
101240002254/230019/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Установка программного продукта &quot;Парус-КАЗ.Бюджет&quot; (Бюджетное планирование , бюджетная заявка)";{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;750000.00;{'nameRu': 'Услуга'}
101240002254/230018/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта &quot;Парус-КАЗ.Бюджет&quot; (Бюджетное планирование, бюджетная заявка)";{'nameRu': 'Из одного источника путем прямого заключения договора'};706714.28;1088340.00;{'nameRu': 'Услуга'}
101240002254/230017/00;"{'nameRu': 'ТОО ""СарыаркаАвтоПром""'}";Автомобиль;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};6190000.00;6190000.00;{'nameRu': 'Товар'}
101240002254/230016/00;"{'nameRu': 'ТОО ""Горизонт-2012""'}";Вывоз и размещение ТБО;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;71400.00;{'nameRu': 'Услуга'}
101240002254/230015/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""CLASSICS OF LIFE""'}";Вода;{'nameRu': 'Запрос ценовых предложений'};26680.00;31180.80;{'nameRu': 'Товар'}
101240002254/230014/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Система Главбух""'}";Услуги по предоставлению доступа к информационным ресурсам (сертификация пользователей, получение доступа и др.);{'nameRu': 'Запрос ценовых предложений'};0.00;499249.00;{'nameRu': 'Услуга'}
101240002254/230013/00;{'nameRu': 'ИП ТАРНОВСКАЯ ЮЛИЯ НИКОЛАЕВНА'};"Сопровождение программного обеспечения 1 С&quot;Бухгалтерия&quot; ИТС ПРОФ Бюджет Казахстан";{'nameRu': 'Запрос ценовых предложений'};149000.00;197000.00;{'nameRu': 'Услуга'}
101240002254/230012/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""KAZOPTICLINK""'}";Услуги предостваления доступа к Интернет от кабельной инфраструктуры;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;147840.00;{'nameRu': 'Услуга'}
101240002254/230011/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги связи (междугородний переговор, абонплата);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;276000.00;{'nameRu': 'Услуга'}
101240002254/230010/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};2413275.00;3044625.00;{'nameRu': 'Услуга'}
101240002254/230009/00;"{'nameRu': 'КГП ""Затобольская теплоэнергетическая компания"" акимата Костанайского района государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог""'}";Тепловая энергия в виде отопления;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;250000.00;{'nameRu': 'Услуга'}
101240002254/230008/00;"{'nameRu': 'КГП ""Затобольская теплоэнергетическая компания"" акимата Костанайского района государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог""'}";Услуги по холодному водоснабжению с использованием систем централизованного водоснабжения и отведению сточных вод.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;65000.00;{'nameRu': 'Услуга'}
101240002254/230007/00;"{'nameRu': 'РГП на ПХВ ""ИЗПИ""'}";"Обслуживание нормативно-правовой базы &quot;Закон&quot;";{'nameRu': 'Из одного источника путем прямого заключения договора'};46607.14;104400.00;{'nameRu': 'Услуга'}
101240002254/230003/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";Обслуживание программного продукта Парус-Каз.Бюджет (Бюджетное финансирование);{'nameRu': 'Из одного источника путем прямого заключения договора'};1015907.14;1517088.00;{'nameRu': 'Услуга'}
101240002254/230001/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;972928.32;{'nameRu': 'Товар'}
