contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140005141/230038/00;"{'nameRu': 'АО ""СК ""Amanat""'}";автострахование;{'nameRu': 'Запрос ценовых предложений'};0.00;28210.94;{'nameRu': 'Услуга'}
050140005141/230037/00;"{'nameRu': 'Крестьянское хозяйство ""ШАЙМЕРДЕНОВ БАХИТЖАН ЖУБАНЫШОВИЧ""'}";Зимнее содержание дорог Новосёловского сельского округа, Аулиекольского района, Костанайской области;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;178450.00;{'nameRu': 'Работа'}
050140005141/230036/00;{'nameRu': 'ИП Едил'};ремонт служебных автомобилей Нива 21214;{'nameRu': 'Запрос ценовых предложений'};0.00;370000.00;{'nameRu': 'Работа'}
050140005141/230035/00;"{'nameRu': 'ТОО ""DAMEN KZ""'}";Герб;{'nameRu': 'Электронный магазин'};0.00;45000.00;{'nameRu': 'Товар'}
050140005141/230034/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";семинар по теме (Налоговые и неналоговые поступления в бухгалтерском учете  государственных учреждений);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;70000.00;{'nameRu': 'Услуга'}
050140005141/230033/00;{'nameRu': 'ИП Soltustik-2020'};изготовление и установка дорожных знаков;{'nameRu': 'Запрос ценовых предложений'};0.00;217113.00;{'nameRu': 'Работа'}
050140005141/230032/00;{'nameRu': 'ИП Нуржанова Г С'};изготовление баннеро;{'nameRu': 'Запрос ценовых предложений'};0.00;90000.00;{'nameRu': 'Услуга'}
050140005141/230031/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""KOGAL-BULAK""'}";Уличное освещение в селе Новоселовка Аулиекольского района Костанайской области;{'nameRu': 'Запрос ценовых предложений'};0.00;2520000.00;{'nameRu': 'Работа'}
050140005141/230030/00;"{'nameRu': 'ИП индивидуальный предприниматель ""ЧУДРА ОКСАНА АНАТОЛЬЕВНА""'}";ремонт служебного автомобиля;{'nameRu': 'Запрос ценовых предложений'};0.00;152000.00;{'nameRu': 'Работа'}
050140005141/230029/00;"{'nameRu': 'Индивидуальный предприниматель ""ОВСЮК ЮЛИЯ АЛЕКСАНДРОВНА""'}";ремонт компьютеров факсов ксероксов и принтеров и др. офисного оборудования;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;158000.00;{'nameRu': 'Работа'}
050140005141/230028/00;"{'nameRu': 'ТОО ""KAZ Stroy 2022""'}";вывоз мусора с территории Новосёловского сельского округа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};488000.00;488000.00;{'nameRu': 'Услуга'}
050140005141/230025/01;{'nameRu': 'РГП на ПХВ «НЦКДА»'};услуги экспертизы технической документации для среднего ремонта дорог улиц Комсомольская и Баймагамбетова;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050140005141/230027/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин АИ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;205000.00;{'nameRu': 'Товар'}
050140005141/230026/00;"{'nameRu': 'Индивидуальный предприниматель ""ОВСЮК ЮЛИЯ АЛЕКСАНДРОВНА""'}";работы направленные на благоустройство населенных пунктов Новосёловского с/о Аулиекольского р-на;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;357000.00;{'nameRu': 'Работа'}
050140005141/230025/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};услуги экспертизы технической документации для среднего ремонта дорог улицы Комсомольская;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050140005141/230024/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""KOGAL-BULAK""'}";Уличное освещение улицы Комсомольская в селе Новоселовка Аулиекольского района Костанайской области;{'nameRu': 'Запрос ценовых предложений'};0.00;2452800.00;{'nameRu': 'Работа'}
050140005141/230023/00;{'nameRu': 'ИП МАНАТ СӘБИЛА ЖҰМАҒАЛИҚЫЗЫ'};изготовление баннера;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};14000.00;40000.00;{'nameRu': 'Услуга'}
050140005141/230003/01;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;48300.00;{'nameRu': 'Услуга'}
050140005141/230022/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Услуги по регистрации прав на недвижимое имущество;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;25252.53;{'nameRu': 'Услуга'}
050140005141/230021/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};41400.00;48300.00;{'nameRu': 'Услуга'}
050140005141/230020/00;"{'nameRu': 'ИП индивидуальный предприниматель ""ЧУДРА ОКСАНА АНАТОЛЬЕВНА""'}";ремонт служебного автомобиля NIVA-21214;{'nameRu': 'Запрос ценовых предложений'};130000.00;130000.00;{'nameRu': 'Работа'}
050140005141/230019/00;"{'nameRu': 'Индивидуальный предприниматель ""ОВСЮК ЮЛИЯ АЛЕКСАНДРОВНА""'}";ремонт компьютеров факсов ксероксов и принтеров и др. офисного оборудования;{'nameRu': 'Запрос ценовых предложений'};110000.00;155000.00;{'nameRu': 'Работа'}
050140005141/230018/00;"{'nameRu': 'ТОО ""Cell Kaz Systems""'}";продление антивирусного программного обеспечения;{'nameRu': 'Запрос ценовых предложений'};37000.00;41440.00;{'nameRu': 'Услуга'}
050140005141/230017/00;"{'nameRu': 'ИП ""ЗЕРЕ""'}";канцелярские товары;{'nameRu': 'Запрос ценовых предложений'};283349.00;283349.00;{'nameRu': 'Товар'}
050140005141/230016/00;"{'nameRu': 'ИП индивидуальный предприниматель ""ЧУДРА ОКСАНА АНАТОЛЬЕВНА""'}";ГСМ;{'nameRu': 'Запрос ценовых предложений'};43000.00;43000.00;{'nameRu': 'Товар'}
050140005141/230015/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин АИ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};166964.29;187000.00;{'nameRu': 'Товар'}
050140005141/230014/00;"{'nameRu': 'ТОО ""Adancom""'}";ноутбук;{'nameRu': 'Электронный магазин'};307000.00;343840.00;{'nameRu': 'Товар'}
050140005141/230013/00;{'nameRu': 'ИП Абашева Ж'};МФУ;{'nameRu': 'Электронный магазин'};108927.00;108927.00;{'nameRu': 'Товар'}
050140005141/230012/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Лабораторные исследования воды (анализ воды в колодцах общественного пользования);{'nameRu': 'Из одного источника путем прямого заключения договора'};77480.00;154960.00;{'nameRu': 'Услуга'}
050140005141/230011/00;"{'nameRu': 'ТОО ""ТЕЙЛИН""'}";"разработка технической документации и сметы с сопровождением положительного заключения ведомственной экспертизы по объекту &quot;средний ремонт автомобильной дороги районного значения&quot;";{'nameRu': 'Запрос ценовых предложений'};0.00;237857.00;{'nameRu': 'Работа'}
050140005141/230010/00;"{'nameRu': 'Крестьянское хозяйство ""ШАЙМЕРДЕНОВ БАХИТЖАН ЖУБАНЫШОВИЧ""'}";Зимнее содержание дорог;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};799758.00;1337640.00;{'nameRu': 'Работа'}
050140005141/230009/00;"{'nameRu': 'АО ""Казахтелеком""'}";услуги доступа к сети интернет;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;377000.00;{'nameRu': 'Услуга'}
050140005141/230008/00;"{'nameRu': 'АО ""Казахтелеком""'}";услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;173000.00;{'nameRu': 'Услуга'}
050140005141/230007/00;{'nameRu': 'ИП ЖАПАРОВА А.А.'};обслуживание программы 1С и ИТС Казахстан Бюджет Проф на 12 месяцев;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};211500.00;252000.00;{'nameRu': 'Услуга'}
