contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
120340001825/230056/00;{'nameRu': 'Шнайдер Е.Ф.'};Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Запрос ценовых предложений'};0.00;245000.00;{'nameRu': 'Услуга'}
120340001825/230055/00;{'nameRu': 'Жолдасбаев'};Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Запрос ценовых предложений'};0.00;215630.00;{'nameRu': 'Услуга'}
120340001825/230054/00;{'nameRu': 'ИП САЛТЫКОВ АЛЕКСЕЙ НИКОЛАЕВИЧ'};Услуги по техническому обслуживанию автотранспорта Lada 21214 год выпуска 2013;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;690000.00;{'nameRu': 'Услуга'}
120340001825/230053/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;410000.00;{'nameRu': 'Товар'}
120340001825/230052/00;{'nameRu': 'Шнайдер Е.Ф.'};Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;95000.00;{'nameRu': 'Услуга'}
120340001825/230050/00;{'nameRu': 'Атамуратова Мадина Нурлановна'};МФУ тип печати: черно-белая технология печати:;{'nameRu': 'Запрос ценовых предложений'};230000.00;230000.00;{'nameRu': 'Товар'}
120340001825/230049/00;{'nameRu': 'ИП АЖАР'};Услуги по техническому обслуживанию автотранспорта Lada 21214 год выпуска 2013;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};270000.00;270000.00;{'nameRu': 'Услуга'}
120340001825/230048/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""КосДинКом""'}";Автошина 205/70 для легкового автомобиля, всесезонная, диаметр обода 16;{'nameRu': 'Запрос ценовых предложений'};216000.00;241920.00;{'nameRu': 'Товар'}
120340001825/230047/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""КосДинКом""'}";Аккумуляторная батарея свинцовая, стартерная 6СТ-60 прямой полярности;{'nameRu': 'Запрос ценовых предложений'};118500.00;132720.00;{'nameRu': 'Товар'}
120340001825/230046/00;{'nameRu': 'ИП Кожуров С.М.'};Автошина И-281У-4(280-508)10.00 R20 16сл;{'nameRu': 'Запрос ценовых предложений'};186738.00;209146.56;{'nameRu': 'Товар'}
120340001825/230045/00;"{'nameRu': 'ТОО ""Таза бұлақ - Чистый родник""'}";Услуги по подготовке информационных материалов и публикации/размещению в средствах массовой информации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};40140.00;40140.00;{'nameRu': 'Услуга'}
120340001825/230044/00;"{'nameRu': 'Костанайский филиал АО ""Национальный центр экспертизы и сертификации""'}";Услуги по техническому контролю (осмотру) дорожных транспортных средств 9единицы (Lada, SsangYong);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};40500.00;45360.00;{'nameRu': 'Услуга'}
120340001825/230043/00;"{'nameRu': 'ИП "" Стратинский Сергей Иванович""'}";Строительные материалы;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};39000.00;39000.00;{'nameRu': 'Товар'}
120340001825/230042/00;"{'nameRu': 'ТОО ""Kst trade""'}";АИ-92 бензині;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};915178.57;1025000.00;{'nameRu': 'Товар'}
120340001825/230041/00;{'nameRu': 'ИП Кожуров С.М.'};Жеңіл автомобильге арналған 205/70 Автошина, барлық маусымдық, жиек диаметрі 16;{'nameRu': 'Запрос ценовых предложений'};113284.00;126878.08;{'nameRu': 'Товар'}
120340001825/230040/00;"{'nameRu': 'АО ""Нефтяная страховая компания""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта 9 ед.легкового транспорта;{'nameRu': 'Из одного источника путем прямого заключения договора'};253899.00;253899.00;{'nameRu': 'Услуга'}
120340001825/230039/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";"Услуги по предоставлению доступа к информационному сервису &amp;amp;quot;Электронные отчеты&amp;amp;quot; на веб.портале opi.dfo.kz";{'nameRu': 'Из одного источника путем прямого заключения договора'};58650.00;58650.00;{'nameRu': 'Услуга'}
120340001825/230038/00;"{'nameRu': 'АО ""Нефтяная страховая компания""'}";Страхование гражданско-правовой ответственности владельцев автомобильного транспорта КАМАЗ 53215-1050-15, государственный номер 206 АК 10;{'nameRu': 'Из одного источника путем прямого заключения договора'};53722.00;53722.00;{'nameRu': 'Услуга'}
120340001825/230037/00;"{'nameRu': 'ИП "" Стратинский Сергей Иванович""'}";Краска, олифа;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};59300.00;59300.00;{'nameRu': 'Товар'}
120340001825/230036/00;"{'nameRu': 'ИП "" Стратинский Сергей Иванович""'}";Кисти;{'nameRu': 'Запрос ценовых предложений'};4200.00;4200.00;{'nameRu': 'Товар'}
120340001825/230035/00;"{'nameRu': 'ТОО ""Таза бұлақ - Чистый родник""'}";Услуги по подготовке информационных материалов и публикации/размещению в средствах массовой информации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};60300.00;60300.00;{'nameRu': 'Услуга'}
120340001825/230034/00;"{'nameRu': 'ТОО ""PROFIL-KZ""'}";Услуги по обучению сотрудников по специальностям дезинфектор, оператор инсинератора;{'nameRu': 'Запрос ценовых предложений'};109000.00;109000.00;{'nameRu': 'Услуга'}
120340001825/230033/00;{'nameRu': 'ИП САЛТЫКОВ АЛЕКСЕЙ НИКОЛАЕВИЧ'};Услуги по техническому обслуживанию автотранспорта Lada 21214 год выпуска 2013;{'nameRu': 'Запрос ценовых предложений'};299000.00;299000.00;{'nameRu': 'Услуга'}
120340001825/230032/00;{'nameRu': 'Oil Центр'};Услуги по техническому обслуживанию автотранспорта SsangYongActyonSports год выпуска 2013;{'nameRu': 'Запрос ценовых предложений'};67125.00;75180.00;{'nameRu': 'Услуга'}
120340001825/230031/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Канцелярские товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};10900.00;12208.00;{'nameRu': 'Товар'}
120340001825/230030/00;"{'nameRu': 'ТОО ""Kst trade""'}";Дизельное топливо;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};790178.57;885000.00;{'nameRu': 'Товар'}
120340001825/230029/00;{'nameRu': 'ИП Рыжов Е.Л.'};Устройство для прошивки документов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};58000.00;58000.00;{'nameRu': 'Товар'}
120340001825/230028/00;{'nameRu': 'ИП TENET'};Вентилятор охлаждения радиатора (для коробки МТ/мощность 400W) на а/машину SsangYongActyonSports, год выпуска а/машины -2013;{'nameRu': 'Запрос ценовых предложений'};169999.00;169999.00;{'nameRu': 'Товар'}
120340001825/230027/00;{'nameRu': 'ИП Erkeshop'};Перчатки одноразовые;{'nameRu': 'Запрос ценовых предложений'};44250.00;44250.00;{'nameRu': 'Товар'}
120340001825/230026/00;"{'nameRu': 'АО ""КСЖ ""Standard Life""'}";Услуги по страхованию от несчастных случаев работников на производстве;{'nameRu': 'Из одного источника путем прямого заключения договора'};443716.00;443716.00;{'nameRu': 'Услуга'}
120340001825/230025/00;"{'nameRu': 'ТОО ""Селекция и К""'}";Азот газообразный и жидкий;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};600000.00;600000.00;{'nameRu': 'Товар'}
120340001825/230024/00;"{'nameRu': 'АО ""Нефтяная страховая компания""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта 2единицы (Lada, УАЗ);{'nameRu': 'Из одного источника путем прямого заключения договора'};56422.00;56422.00;{'nameRu': 'Услуга'}
120340001825/230023/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};732142.86;820000.00;{'nameRu': 'Товар'}
120340001825/230022/00;{'nameRu': 'КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ «АЛТЫНСАРИНСКАЯ РАЙОННАЯ БОЛЬНИЦА» УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА КОСТАНАЙСКОЙ ОБЛАСТИ'};Услуги по прохождению медицинского осмотра работников;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};178262.00;178262.00;{'nameRu': 'Услуга'}
120340001825/230021/00;"{'nameRu': 'Костанайский филиал АО ""Национальный центр экспертизы и сертификации""'}";Техосмотр тр-та 2 ед.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};9000.00;10080.00;{'nameRu': 'Услуга'}
120340001825/230020/00;"{'nameRu': 'ТОО ""PROFI SOFT""'}";Услуги по модернизации информационной системы 1С Предприятие;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};98214.29;110000.00;{'nameRu': 'Услуга'}
120340001825/230019/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Северный регион 2030 KZ""'}";А/шины;{'nameRu': 'Запрос ценовых предложений'};144000.00;161280.00;{'nameRu': 'Товар'}
120340001825/230018/00;"{'nameRu': 'ТОО ""База сжиженного газа""'}";Газ природный в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};125000.00;140000.00;{'nameRu': 'Товар'}
120340001825/230017/00;{'nameRu': 'ИП НАУРУЗБАЕВА ДАРИЯ КУЛТАЕВНА'};Канцелярские товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};49975.11;49975.11;{'nameRu': 'Товар'}
120340001825/230016/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Бумага для офисного оборудования;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};167450.00;187544.00;{'nameRu': 'Товар'}
120340001825/230015/00;{'nameRu': 'ИП Дөйт'};Аккумулятор;{'nameRu': 'Запрос ценовых предложений'};80280.00;80280.00;{'nameRu': 'Товар'}
120340001825/230014/00;"{'nameRu': 'ТОО ""ANNSOF""'}";Аккумуляторы;{'nameRu': 'Запрос ценовых предложений'};78200.00;87584.00;{'nameRu': 'Товар'}
120340001825/230013/00;{'nameRu': 'ИП Светцова Т.Д.'};Ступицы на машину SsangYongActyonSports, года выпуска - 2013;{'nameRu': 'Запрос ценовых предложений'};112644.00;112644.00;{'nameRu': 'Товар'}
120340001825/230012/00;"{'nameRu': 'АО ""КазТрансГаз Аймак""'}";Газ природный;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;153284.00;{'nameRu': 'Товар'}
120340001825/230011/00;"{'nameRu': 'ТОО ""Центрум""'}";Услуги полиграфические по изготовлению/печатанию полиграфической продукции формата А-4 фирменные бланки с нумерацией, журнал формата А-4;{'nameRu': 'Запрос ценовых предложений'};19400.00;19400.00;{'nameRu': 'Услуга'}
120340001825/230010/00;"{'nameRu': 'ИП ""МИРАС""'}";Услуги по подготовке/верификации/сопровождению/составлению в области экологии отчетов и аналогичных документов;{'nameRu': 'Запрос ценовых предложений'};39500.00;79000.00;{'nameRu': 'Услуга'}
120340001825/230009/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги фиксированной местной, междугородней, международной телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};1126944.55;1680000.00;{'nameRu': 'Услуга'}
120340001825/230008/00;"{'nameRu': 'ТОО ""Arvik Telecom""'}";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным в ветеринарных пунктах с.Свердловка, с.Первомайское, с.Приозерное, с.Красный Кордон;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};990000.00;1478400.00;{'nameRu': 'Услуга'}
120340001825/230007/00;{'nameRu': 'ИП АЖАР'};Услуги по техническому обслуживанию автотранспорта Lada 21214, гос.№ 949 АД 10;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};90000.00;90000.00;{'nameRu': 'Услуга'}
120340001825/230006/00;{'nameRu': 'ИП САЛТЫКОВ АЛЕКСЕЙ НИКОЛАЕВИЧ'};Услуги по техническому обслуживанию автотранспорта Lada 21214, SsangYongActyonSports год выпуска 2013;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};790000.00;790000.00;{'nameRu': 'Услуга'}
120340001825/230005/00;{'nameRu': 'Шнайдер Е.Ф.'};Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};295000.00;295000.00;{'nameRu': 'Услуга'}
120340001825/230004/00;{'nameRu': 'Шнайдер Е.Ф.'};Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};99000.00;99000.00;{'nameRu': 'Услуга'}
120340001825/230003/00;"{'nameRu': 'ТОО ""Таза бұлақ - Чистый родник""'}";Услуги по подготовке информационных материалов и публикации/размещению в средствах массовой информации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};46035.00;46035.00;{'nameRu': 'Услуга'}
120340001825/230002/00;"{'nameRu': 'Государственное коммунальное предприятие ""Көмек-Алтын""'}";Услуги по подаче питьевой воды;{'nameRu': 'Из одного источника путем прямого заключения договора'};15872.65;71944.20;{'nameRu': 'Услуга'}
120340001825/230001/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};66148.35;202620.00;{'nameRu': 'Товар'}
