contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
191240029748/230056/00;{'nameRu': 'ИП МОЛДАВСКАЯ И.И.'};Услуги по изготовление баннеров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;55700.00;{'nameRu': 'Услуга'}
191240029748/230055/00;{'nameRu': 'ИП Аширов'};Работы по установке уличных тренажеров село Аккошкар;{'nameRu': 'Запрос ценовых предложений'};0.00;729000.00;{'nameRu': 'Работа'}
191240029748/230054/00;{'nameRu': 'Тілек'};Услуги по вывозу мусора;{'nameRu': 'Запрос ценовых предложений'};0.00;550000.00;{'nameRu': 'Услуга'}
191240029748/230052/00;"{'nameRu': 'ТОО ""Аркалык хабары""'}";Подписка на газету Аркалык хабары;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;6200.00;{'nameRu': 'Услуга'}
191240029748/230047/00;"{'nameRu': 'КГП ""Костанайюжэлектросервис"" Управления энергетики и жилищно-коммунального хозяйства акимата Костанайской области""'}";Работы по содержанию и обслуживанию уличного освещения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;159899.99;{'nameRu': 'Работа'}
191240029748/230046/00;"{'nameRu': 'ТОО ""Компания Арлан Сервис""'}";Приобретение компьютер в комплекты;{'nameRu': 'Электронный магазин'};0.00;248528.00;{'nameRu': 'Товар'}
191240029748/230045/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;45000.00;{'nameRu': 'Услуга'}
191240029748/230044/00;{'nameRu': 'СУЛЕЙМЕНОВ МУРАТ'};Работа по текущему ремонту наружного освещения улиц села Аккошкар;{'nameRu': 'Запрос ценовых предложений'};0.00;1700000.00;{'nameRu': 'Работа'}
191240029748/230043/00;{'nameRu': 'ИП Кабдугалиева Б.К.'};Приобретение канцтоваров;{'nameRu': 'Электронный магазин'};0.00;10150.00;{'nameRu': 'Товар'}
191240029748/230042/00;"{'nameRu': 'АО ""СК ""Jusan Garant""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;25646.00;{'nameRu': 'Услуга'}
191240029748/230041/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Работы по проведению экспертизы качества работ и материалов по среднему ремонту дороги;{'nameRu': 'Из одного источника путем прямого заключения договора'};1274508.85;2493511.50;{'nameRu': 'Работа'}
191240029748/230040/00;"{'nameRu': 'ТОО ""Kst trade""'}";Приобретение Бензин АИ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;209089.80;{'nameRu': 'Товар'}
191240029748/230039/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""ЖайыкПромСервис""'}";Работа по установке новых прожекторов и опор освещения по улицам в селе Ашутасты;{'nameRu': 'Открытый конкурс'};26669767.86;40378791.04;{'nameRu': 'Работа'}
191240029748/230038/00;{'nameRu': 'ИП СИМАНОВИЧ Р'};замена лампы для линий освещенных улиц в селе;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;150000.00;{'nameRu': 'Работа'}
191240029748/230037/00;"{'nameRu': 'ТОО ""КаР-Тел""'}";Услуги сотовой связи;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;26700.02;{'nameRu': 'Услуга'}
191240029748/230036/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};41400.00;48300.00;{'nameRu': 'Услуга'}
191240029748/230035/00;{'nameRu': 'ИП Батырбек'};Приобретение летних шин;{'nameRu': 'Запрос ценовых предложений'};0.00;159600.00;{'nameRu': 'Товар'}
191240029748/230034/00;"{'nameRu': 'ИП ""ЛИДЕР""'}";Работы по ремонту/благоустройству территории;{'nameRu': 'Запрос ценовых предложений'};210000.00;219500.00;{'nameRu': 'Работа'}
191240029748/230033/00;{'nameRu': 'ИП КОЖАХМЕТОВ'};Приобретение канцелярские товаров;{'nameRu': 'Электронный магазин'};0.00;6416.00;{'nameRu': 'Товар'}
191240029748/230032/00;{'nameRu': 'ИП Кабдугалиева Б.К.'};Приобретение канцелярских товаров;{'nameRu': 'Электронный магазин'};0.00;17050.00;{'nameRu': 'Товар'}
191240029748/230014/01;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;48300.00;{'nameRu': 'Услуга'}
191240029748/230031/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Изготовление идентификационного документа на земельный участок;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;20848.73;{'nameRu': 'Работа'}
191240029748/230030/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Изготовление идентификационного документа на земельный участок;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;76976.29;{'nameRu': 'Работа'}
191240029748/230029/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Составление проектов межхозяйственного землеустройства по образованию новых и упорядочению существующих землепользований;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;52035.89;{'nameRu': 'Работа'}
191240029748/230028/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Установление границ земельных участков на местности;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1328841.47;{'nameRu': 'Работа'}
191240029748/230027/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Бониторовка почв;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;25044.28;{'nameRu': 'Работа'}
