contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
970140003157/230085/00;{'nameRu': 'ИП ПЕРЦЕВ М.Ю.'};Работы по утеплению и облицовке железной входной двери с внутренней стороны;{'nameRu': 'Запрос ценовых предложений'};0.00;53000.00;{'nameRu': 'Работа'}
970140003157/230084/00;"{'nameRu': 'ТОО ""Строй Инжиниринг Компани""'}";Работы по изготовлению и установке железной входной двухстворчатой двери с коробкой, с утеплением внутренней стороны;{'nameRu': 'Запрос ценовых предложений'};0.00;560000.00;{'nameRu': 'Работа'}
970140003157/230069/01;"{'nameRu': 'ТОО ""Best Build Invest""'}";Работы по замене электропроводки, осветительного оборудования, распределяющих устройств, прибора учета электроэнергии и прочего электрооборудования;{'nameRu': 'Запрос ценовых предложений'};0.00;5600000.00;{'nameRu': 'Работа'}
970140003157/230083/00;"{'nameRu': 'ТОО ""ЭНКОР""'}";Работы по установке и настройке прибора учета теплоты;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;55000.00;{'nameRu': 'Работа'}
970140003157/230081/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""УПП ОО ""ЮКО СВВА""'}";Приобретение офисного кресла;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;300419.84;{'nameRu': 'Товар'}
970140003157/230080/00;{'nameRu': 'Arqa sauleti'};Разработка и составление сметной и технической документации;{'nameRu': 'Запрос ценовых предложений'};0.00;89500.00;{'nameRu': 'Услуга'}
970140003157/230079/00;"{'nameRu': 'ТОО ""Инжиниринг Проект Лтд""'}";Разработка и составление проектно-сметной и технической документации на работы по монтажу автоматической пожарной сигнализации;{'nameRu': 'Запрос ценовых предложений'};0.00;166000.00;{'nameRu': 'Услуга'}
970140003157/230068/01;{'nameRu': 'ИП Перизат'};Приобретение прибора учета теплоты в комплекте;{'nameRu': 'Запрос ценовых предложений'};548999.00;548999.00;{'nameRu': 'Товар'}
970140003157/230078/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Работы по установлению границ земельного участка, изготовление землеустроительного проекта.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;78440.40;{'nameRu': 'Работа'}
970140003157/230047/01;{'nameRu': 'БАСТАУ'};Очистка улиц в зимний и летний период механизированным способом в поселке Горняцкий и в селе Перцевка;{'nameRu': 'Запрос ценовых предложений'};403970.00;6473214.00;{'nameRu': 'Работа'}
970140003157/230077/00;{'nameRu': 'ИП Armash'};Приобретение мобильного планшета (не графический) для составления административного протокола и работы в Едином реестре административных производств (ЕРАП);{'nameRu': 'Запрос ценовых предложений'};0.00;325000.00;{'nameRu': 'Товар'}
970140003157/230076/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";Услуги по проведению семинара на тему Особенности ведения бухгалтерского учета в государственных учреждениях, Учет налоговых и неналоговых поступлений в учете государственных учреждений.;{'nameRu': 'Из одного источника путем прямого заключения договора'};50000.00;50000.00;{'nameRu': 'Услуга'}
970140003157/230058/01;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Приобретение извести для побелки;{'nameRu': 'Запрос ценовых предложений'};13900.00;13900.00;{'nameRu': 'Товар'}
970140003157/230075/00;{'nameRu': 'ИП Нур-ай'};Приобретение офисного кресла;{'nameRu': 'Запрос ценовых предложений'};0.00;355555.00;{'nameRu': 'Товар'}
970140003157/230074/00;"{'nameRu': 'ТОО ""ГАС""'}";Текущий ремонт служебного автомобиля;{'nameRu': 'Запрос ценовых предложений'};361171.00;361171.00;{'nameRu': 'Работа'}
970140003157/230073/00;{'nameRu': 'ИП КУНКАШЕВ'};Работы по кронированию и санитарной обрезке деревьев и кустарников;{'nameRu': 'Запрос ценовых предложений'};397000.00;397000.00;{'nameRu': 'Работа'}
970140003157/230072/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Изготовление и выдача земельно-кадастрового плана на земельный участок;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;68958.84;{'nameRu': 'Работа'}
970140003157/230071/00;"{'nameRu': 'ИП ""Барыс""'}";Работы по изготовлению и установке оконной рамы из ПВХ профиля;{'nameRu': 'Запрос ценовых предложений'};1490000.00;1490000.00;{'nameRu': 'Работа'}
970140003157/230070/00;{'nameRu': 'IG-Service'};Приобретение мобильного термопринтера;{'nameRu': 'Запрос ценовых предложений'};0.00;42300.00;{'nameRu': 'Товар'}
970140003157/230056/01;"{'nameRu': 'ТОО ""ПРОТЕКТ 2020""'}";Работы по настилу линолеума и установке плинтусов, углов, соединителей и заглушек.;{'nameRu': 'Запрос ценовых предложений'};1598214.29;1790000.00;{'nameRu': 'Работа'}
970140003157/230069/00;"{'nameRu': 'ТОО ""Best Build Invest""'}";Электр сымдарын, жарықтандыру жабдықтарын, таратушы құрылғыларды, электр энергиясын есепке алу аспаптарын және басқа да электр жабдықтарын ауыстыру жөніндегі жұмыстар;{'nameRu': 'Запрос ценовых предложений'};0.00;9228800.00;{'nameRu': 'Работа'}
970140003157/230068/00;{'nameRu': 'ИП Перизат'};Приобретение прибора учета теплоты в комплекте;{'nameRu': 'Запрос ценовых предложений'};0.00;548999.00;{'nameRu': 'Товар'}
970140003157/230067/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Регистрация прав на недвижимое имущество. О возникновении права.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1202.54;{'nameRu': 'Услуга'}
970140003157/230066/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Услуги по проведению ведомственной экспертизы для среднего ремонта автомобильных дорог в селе Перцевка, по улице Речная, улице Фадеева, улице Южная.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
970140003157/230065/00;{'nameRu': 'ИП Alau'};Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};15800.00;15800.00;{'nameRu': 'Товар'}
970140003157/230064/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};7987.50;8946.00;{'nameRu': 'Товар'}
970140003157/230044/01;{'nameRu': 'ИП Таймас'};Работы по текущему ремонту автобусной остановки находящегося на территории поселка Горняцкий города Рудного;{'nameRu': 'Запрос ценовых предложений'};349000.00;349000.00;{'nameRu': 'Работа'}
970140003157/230063/00;{'nameRu': 'БЕКЗАТ-БОЛАШАК'};Разработка и составление технической и сметной документации с обязательным прохождением ведомственной комплексной экспертизы на средний ремонт дороги;{'nameRu': 'Запрос ценовых предложений'};0.00;471428.57;{'nameRu': 'Работа'}
970140003157/230062/00;{'nameRu': 'ИП БУТ ЕВГЕНИЙ АЛЕКСАНДРОВИЧ'};Приобретение краски (эмаль);{'nameRu': 'Запрос ценовых предложений'};25000.00;28000.00;{'nameRu': 'Товар'}
970140003157/230061/00;{'nameRu': 'ИП ARSENAL'};Приобретение хозяйственных товаров;{'nameRu': 'Запрос ценовых предложений'};4200.00;4200.00;{'nameRu': 'Товар'}
970140003157/230060/00;"{'nameRu': 'ИП""Усюкевич А.С.""'}";Приобретение хозяйственных товаров;{'nameRu': 'Запрос ценовых предложений'};6405.00;6405.00;{'nameRu': 'Товар'}
970140003157/230059/00;{'nameRu': 'ИП Чеботарев'};Приобретение хозяйственных товаров;{'nameRu': 'Запрос ценовых предложений'};6440.00;6440.00;{'nameRu': 'Товар'}
970140003157/230058/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Приобретение извести для побелки;{'nameRu': 'Запрос ценовых предложений'};0.00;13900.00;{'nameRu': 'Товар'}
970140003157/230057/00;"{'nameRu': 'ТОО ""Казах Кенсе""'}";Приобретение бумаги А-4;{'nameRu': 'Запрос ценовых предложений'};38310.00;42907.20;{'nameRu': 'Товар'}
970140003157/230056/00;"{'nameRu': 'ТОО ""ПРОТЕКТ 2020""'}";Работы по настилу линолеума и установке плинтусов, углов, соединителей и заглушек.;{'nameRu': 'Запрос ценовых предложений'};889285.71;1006765.76;{'nameRu': 'Работа'}
970140003157/230055/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Услуги по проведению ведомственной экспертизы для среднего ремонта автомобильных дорог в селе Перцевка. (от трассы Костанай – Рудный А-22 до въезда в село Перцевка, улица Ауэзова).;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
970140003157/230054/00;"{'nameRu': 'ТОО ""ЭПК-forfait"" (ЭПК-форфайт)'}";Установка светильников для уличного освещения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};667857.14;748000.00;{'nameRu': 'Работа'}
970140003157/230053/00;"{'nameRu': 'ТОО ""Smart building""'}";Разработка сметной документации и составление дефектной ведомости;{'nameRu': 'Запрос ценовых предложений'};43000.00;48160.00;{'nameRu': 'Работа'}
970140003157/230052/00;"{'nameRu': 'ТОО ""HABEKA""'}";Работы по установке настенного кондиционера;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};34943.00;34943.00;{'nameRu': 'Работа'}
970140003157/230051/00;"{'nameRu': 'ТОО ""Мол-Астан""'}";Охрана служебного здания и имущества ГУ «Аппарат акима поселка Горняцкий» акимата города Рудного;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};387500.00;1550000.00;{'nameRu': 'Услуга'}
970140003157/230050/00;{'nameRu': 'ИП Пласт-Эксперт'};Работы по изготовлению и установке оконной рамы из ПВХ профиля;{'nameRu': 'Запрос ценовых предложений'};1890000.00;1890000.00;{'nameRu': 'Работа'}
970140003157/230049/00;"{'nameRu': 'ТОО ""Best Build Invest""'}";Работы по ремонту наружных стен здания;{'nameRu': 'Запрос ценовых предложений'};1248000.00;1248000.00;{'nameRu': 'Работа'}
970140003157/230048/00;"{'nameRu': 'ТОО ""Kst trade""'}";Приобретение бензина АИ-92 в талонах;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};201329.46;225489.00;{'nameRu': 'Товар'}
970140003157/230047/00;{'nameRu': 'БАСТАУ'};Очистка улиц в зимний и летний период механизированным способом в поселке Горняцкий и в селе Перцевка;{'nameRu': 'Запрос ценовых предложений'};403970.00;5540000.00;{'nameRu': 'Работа'}
970140003157/230046/00;"{'nameRu': 'ТОО ""ТРАНСКОМНОРДЭНЕРГО""'}";Услуги по поверке теплового счетчика;{'nameRu': 'Запрос ценовых предложений'};113500.00;113500.00;{'nameRu': 'Услуга'}
970140003157/230045/00;"{'nameRu': 'ТОО ""Best Build Invest""'}";Установка водосливной системы на кровле здания;{'nameRu': 'Запрос ценовых предложений'};1596000.00;1596000.00;{'nameRu': 'Работа'}
970140003157/230044/00;{'nameRu': 'ИП Таймас'};Работы по текущему ремонту автобусной остановки находящегося на территории поселка Горняцкий города Рудного;{'nameRu': 'Запрос ценовых предложений'};0.00;349000.00;{'nameRu': 'Работа'}
970140003157/230043/00;{'nameRu': 'ИП Жумаш'};Текущий ремонт системы отопления, горячего и холодного водоснабжения, канализации;{'nameRu': 'Запрос ценовых предложений'};3470000.00;3470000.00;{'nameRu': 'Работа'}
970140003157/230042/00;{'nameRu': 'ИСМАГУЛОВ МИРЛАН БЕРИКОВИЧ'};Разработка и составление сметной документации с прохождением ведомственной комплексной экспертизы на средний ремонт дороги;{'nameRu': 'Запрос ценовых предложений'};388888.00;388888.00;{'nameRu': 'Работа'}
970140003157/230041/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Приобретение валика малярного для покраски;{'nameRu': 'Запрос ценовых предложений'};7530.00;7530.00;{'nameRu': 'Товар'}
970140003157/230040/00;{'nameRu': 'ИП ПЕРЦЕВ М.Ю.'};Работы по изготовлению и установке контейнерной площадки с размещением мусорных баков;{'nameRu': 'Запрос ценовых предложений'};929000.00;929000.00;{'nameRu': 'Работа'}
970140003157/230023/01;{'nameRu': 'ИП ПЕРЦЕВ М.Ю.'};Работы по изготовлению и установке контейнерной площадки с размещением мусорных баков;{'nameRu': 'Запрос ценовых предложений'};1299000.00;1299000.00;{'nameRu': 'Работа'}
970140003157/230025/01;"{'nameRu': 'ТОО ""S&W ABROI""'}";Ликвидация несанкционированных свалок механизированным способом в поселке Горняцкий и в селе Перцевка;{'nameRu': 'Запрос ценовых предложений'};3538000.00;3962560.00;{'nameRu': 'Работа'}
970140003157/230039/00;{'nameRu': 'ИП Бурмистров В.В'};Услуги по ремонту принтеров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};40000.00;100000.00;{'nameRu': 'Услуга'}
970140003157/230038/00;{'nameRu': 'Power'};Приобретение электронного идентификатора (защищенный носитель) EToken для электронной цифровой подписи в системе Казначейство-клиент;{'nameRu': 'Запрос ценовых предложений'};23398.00;26205.76;{'nameRu': 'Товар'}
970140003157/230037/00;"{'nameRu': 'ТОО ""Rýdnyi media""'}";Услуги по публикации информационных материалов в печатном периодическом издании;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};7622.81;49980.00;{'nameRu': 'Услуга'}
970140003157/230036/00;{'nameRu': 'ИП НАУРУЗБАЕВА ДАРИЯ КУЛТАЕВНА'};Колер для краски (цвет красный) по 135 грамм, Колер для краски (цвет зеленый) по 135 грамм, Колер для краски (цвет желтый) по 135 грамм;{'nameRu': 'Запрос ценовых предложений'};33690.00;33690.00;{'nameRu': 'Товар'}
970140003157/230035/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Фасадная акриловая моющаяся краска для наружных и внутренних работ по 25 кг;{'nameRu': 'Запрос ценовых предложений'};22576.00;22576.00;{'nameRu': 'Товар'}
970140003157/230034/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""КазЖерПроекАстана""'}";Разработка сметной документации и составление дефектной ведомости;{'nameRu': 'Запрос ценовых предложений'};60000.00;60000.00;{'nameRu': 'Работа'}
970140003157/230033/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""КазЖерПроекАстана""'}";Разработка сметной документации и составление дефектной ведомости;{'nameRu': 'Запрос ценовых предложений'};60000.00;60000.00;{'nameRu': 'Работа'}
970140003157/230032/00;"{'nameRu': 'АО Страховая компания ""Basel""'}";Обязательное страхование гражданско-правовой ответственности владельцев транспортных средств;{'nameRu': 'Запрос ценовых предложений'};35263.67;35263.67;{'nameRu': 'Услуга'}
