contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140005230/230057/00;"{'nameRu': 'ТОО ""Строй Инжиниринг Компани""'}";сварочные работы;{'nameRu': 'Запрос ценовых предложений'};0.00;380000.00;{'nameRu': 'Работа'}
050140005230/230056/00;"{'nameRu': 'ТОО ""Tender Consulting Compani""'}";разработка технической документации по среднему ремонту дорог;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;750000.00;{'nameRu': 'Услуга'}
050140005230/230055/00;{'nameRu': 'ИП ТЫНЫМБАЕВ ЖАНДОС СЕРИКОВИЧ'};уличный флаг;{'nameRu': 'Запрос ценовых предложений'};26900.00;26900.00;{'nameRu': 'Товар'}
050140005230/230054/00;{'nameRu': 'ИП Родничок'};канцелярские товары;{'nameRu': 'Запрос ценовых предложений'};0.00;22083.00;{'nameRu': 'Товар'}
050140005230/230052/00;"{'nameRu': 'ТОО ""ТРАКТ СЕРВИС""'}";изготовление дорожных знаков;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;50400.00;{'nameRu': 'Работа'}
050140005230/230051/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Ремгазсервис""'}";обслуживание газового котла;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;29000.00;{'nameRu': 'Услуга'}
050140005230/230050/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Учебный центр ""SGK KZ""'}";семинар;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;50000.00;{'nameRu': 'Услуга'}
050140005230/230049/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Бай болат""'}";ноутбук;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;500000.00;{'nameRu': 'Товар'}
050140005230/230048/00;"{'nameRu': 'ИП ""ИРГАСИМОВА АСЕМГУЛЬ МАРАТОВНА""'}";изготовление баннеров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;84017.86;{'nameRu': 'Работа'}
050140005230/230047/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};экспертиза дорог;{'nameRu': 'Из одного источника путем прямого заключения договора'};303499.31;339919.23;{'nameRu': 'Работа'}
050140005230/230039/01;"{'nameRu': 'ТОО ""ХАСЛ""'}";обслуживание уличного освещения;{'nameRu': 'Запрос ценовых предложений'};4111111.00;4111111.00;{'nameRu': 'Услуга'}
050140005230/230046/00;"{'nameRu': 'ТОО ""ТПК Арыстан""'}";ликвидация несанкционированной свалки в с. Озерное;{'nameRu': 'Из одного источника путем прямого заключения договора'};565040.00;565040.00;{'nameRu': 'Услуга'}
050140005230/230045/00;"{'nameRu': 'ТОО ""Центрум""'}";изготовление грамоты;{'nameRu': 'Из одного источника путем прямого заключения договора'};58000.00;58000.00;{'nameRu': 'Работа'}
050140005230/230044/00;"{'nameRu': 'ТОО ""КаР-Тел""'}";услуги сотовой связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;26700.00;{'nameRu': 'Услуга'}
