contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
990240003055/230106/00;"{'nameRu': 'Костанайское УПП ОО ""КОГ""'}";Работа по пошиву штор ткань капрон (тюль).;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};229800.00;229800.00;{'nameRu': 'Работа'}
990240003055/230105/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Приобретение Кран шаровой.Тип присоединения-Резьбовой (Внутренняя-внутреняя);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};12500.00;14000.00;{'nameRu': 'Товар'}
990240003055/230104/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Приобретение топора-ледоруба.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;6000.00;{'nameRu': 'Товар'}
990240003055/230103/00;{'nameRu': 'BioDez'};Приобретение. Маски одноразовые.;{'nameRu': 'Запрос ценовых предложений'};0.00;4976.00;{'nameRu': 'Товар'}
990240003055/230102/00;{'nameRu': 'ИП КУЛИКОВСКАЯ ИРИНА ПЕТРОВНА'};Приобретение лопаты для уборки снега.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;16000.00;{'nameRu': 'Товар'}
990240003055/230101/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Приобретение кухонной лопатки из нержавеющей стали с деревянной ручкой.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};4376.00;4901.12;{'nameRu': 'Товар'}
990240003055/230100/00;"{'nameRu': 'ТОО ""ДД Ука 2011""'}";Приобретение медикаментов;{'nameRu': 'Запрос ценовых предложений'};60103.00;60103.00;{'nameRu': 'Товар'}
990240003055/230099/00;{'nameRu': 'NOMAD COMPANY'};Приобретение жесткого диска.;{'nameRu': 'Запрос ценовых предложений'};0.00;18888.00;{'nameRu': 'Товар'}
990240003055/230098/00;{'nameRu': 'ИП БЕКМУХАМЕТОВА Р.М.'};Приобретение кухонных ножей.;{'nameRu': 'Запрос ценовых предложений'};37700.00;37700.00;{'nameRu': 'Товар'}
990240003055/230097/00;{'nameRu': 'РАХМЕТОВА ГУЛЬНАРА'};Приобретение разделочных досок.;{'nameRu': 'Запрос ценовых предложений'};60000.00;60000.00;{'nameRu': 'Товар'}
990240003055/230096/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Приобретение квач унитазный (ершик для туалета) с подставкой.;{'nameRu': 'Запрос ценовых предложений'};0.00;17785.60;{'nameRu': 'Товар'}
990240003055/230095/00;{'nameRu': 'ИП РЕЧКУНОВ СЕРГЕЙ БОГДАНОВИЧ'};Услуга по демонтажу и монтажу уличного освещения на здании детского сада;{'nameRu': 'Запрос ценовых предложений'};119000.00;119000.00;{'nameRu': 'Услуга'}
990240003055/230094/00;"{'nameRu': 'ИП ""INFO TIME""'}";Приобретение Видеорегистратора (гибридный);{'nameRu': 'Запрос ценовых предложений'};207700.00;207700.00;{'nameRu': 'Товар'}
990240003055/230093/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Казлабсервис""'}";Услуги по проведению лабораторных/лабораторно-инструментальных исследований/анализов Производственный контроль;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};44040.00;44040.00;{'nameRu': 'Услуга'}
990240003055/230092/00;"{'nameRu': 'ТОО ""Кен - Сауда LTD""'}";Приобрение сантехники (смеситель,кран маевского,кран шаровой,излив,попловок для унитаза)/;{'nameRu': 'Запрос ценовых предложений'};148860.00;148860.00;{'nameRu': 'Товар'}
990240003055/230091/00;{'nameRu': 'ИП ДЕРЖАВА-Е'};Сантехническая задвижка диаметр 50,материал корпуса высокопрочный чугун,клиновая задвижка, присоединения фланцевая.;{'nameRu': 'Электронный магазин'};27890.00;27890.00;{'nameRu': 'Товар'}
990240003055/230090/00;{'nameRu': 'Assel'};Мыло туалетное;{'nameRu': 'Электронный магазин'};120816.00;120816.00;{'nameRu': 'Товар'}
990240003055/230089/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Торговый дом ""Монолит""'}";Клей плиточный для кафеля в мешках по 25 килограмм 1 (один) мешок;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};2700.00;3024.00;{'nameRu': 'Товар'}
990240003055/230088/00;{'nameRu': 'ИП КАИРБЕКОВ ДАМИР ЖЕНИСОВИЧ'};Услуга по замене 4 (четырех) тенов для электрических плит с приобретением материалов.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};96000.00;96000.00;{'nameRu': 'Услуга'}
990240003055/230087/00;{'nameRu': 'ИП Нармагамбетова'};Ручка-защелка,предназначена для установки на деревяянные двери.Не допускается поставка деформированных товаров, согласовать с заказчиком.;{'nameRu': 'Запрос ценовых предложений'};29935.00;29935.00;{'nameRu': 'Товар'}
