contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
000440001814/230209/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Asia bastau parts""'}";Приобретение лазерных принтеров;{'nameRu': 'Запрос ценовых предложений'};0.00;453600.00;{'nameRu': 'Товар'}
000440001814/230208/00;"{'nameRu': 'ТОО ""Торговый Дом ""Allur""'}";Приобретение легкового автомобиля;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;14490000.00;{'nameRu': 'Товар'}
000440001814/230207/00;"{'nameRu': 'ТОО ""Мунай Трейд kst""'}";Приобретение ГСМ (бензин марки АИ-92 наливом);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;1024968.00;{'nameRu': 'Товар'}
000440001814/230142/01;{'nameRu': 'ИП ЛАНЦЕВ НИКОЛАЙ НИКОЛАЕВИЧ'};Текущий ремонт автотранспортных средств;{'nameRu': 'Запрос ценовых предложений'};385500.00;484800.00;{'nameRu': 'Работа'}
000440001814/230206/00;"{'nameRu': 'ТОО ""Актив""'}";Приобретение нежилых строений с земельным участком;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;45000000.00;{'nameRu': 'Товар'}
000440001814/230205/00;{'nameRu': 'ШАХМЕТОВ МАДИ'};Приобретение мотоциклов (трициклы);{'nameRu': 'Запрос ценовых предложений'};0.00;5243000.00;{'nameRu': 'Товар'}
000440001814/230204/00;"{'nameRu': 'ТОО ""Almatau Stream""'}";Приобретение носимых радиостанций;{'nameRu': 'Запрос ценовых предложений'};0.00;510720.00;{'nameRu': 'Товар'}
000440001814/230203/00;"{'nameRu': 'ТОО ""Almatau Stream""'}";Приобретение носимых радиостанций для лесохозяйственных мероприятий;{'nameRu': 'Запрос ценовых предложений'};0.00;1000160.00;{'nameRu': 'Товар'}
000440001814/230202/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Научно-производственное объединение""АКСОН""'}";Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;90000.00;{'nameRu': 'Услуга'}
000440001814/230201/00;"{'nameRu': 'ТОО ""КаР-Тел""'}";Услуги сотовой связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;34800.00;{'nameRu': 'Услуга'}
000440001814/230200/00;"{'nameRu': 'ТОО ""Центрум""'}";Услуги полиграфические по изготовлению/печатанию полиграфической продукции, изготовление бланков;{'nameRu': 'Запрос ценовых предложений'};0.00;16000.00;{'nameRu': 'Услуга'}
000440001814/230199/00;{'nameRu': 'ШАХМЕТОВ МАДИ'};Приобретение носимых радиостанций;{'nameRu': 'Запрос ценовых предложений'};0.00;437000.00;{'nameRu': 'Товар'}
000440001814/230198/00;{'nameRu': 'ШАХМЕТОВ МАДИ'};Приобретение антенны и блоки питания;{'nameRu': 'Запрос ценовых предложений'};0.00;855000.00;{'nameRu': 'Товар'}
000440001814/230197/00;"{'nameRu': 'ИП ""НАРОВ С.И.""'}";Приобретение мотоциклов (трициклы);{'nameRu': 'Запрос ценовых предложений'};0.00;5684000.00;{'nameRu': 'Товар'}
000440001814/230196/00;"{'nameRu': 'ТОО ""СемАЗ""'}";Приобретение автомобиля (грузовой, бензиновый, бортовой, грузоподъемность не более 3,5 т);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;26425000.00;{'nameRu': 'Товар'}
000440001814/230175/01;"{'nameRu': 'ТОО ""Nappa.kz""'}";Приобретение мужских туфлей;{'nameRu': 'Запрос ценовых предложений'};0.00;562195.20;{'nameRu': 'Товар'}
000440001814/230195/00;"{'nameRu': 'ТОО ""Агроснабженческая компания ""АСКОМ""'}";Приобретение роторной косилки;{'nameRu': 'Запрос ценовых предложений'};0.00;1232000.00;{'nameRu': 'Товар'}
