contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
990340007686/230024/01;{'nameRu': 'ИП КУНЦ ЕВГЕНИЙ АЛЕКСАНДРОВИЧ'};Услуги по техническому обслуживанию компьютерной/периферийной оргтехники/оборудования и их частей;{'nameRu': 'Запрос ценовых предложений'};0.00;72000.00;{'nameRu': 'Услуга'}
990340007686/230034/01;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Услуги по проведению лабораторных/лабораторно-инструментальных исследований/анализов;{'nameRu': 'Из одного источника путем прямого заключения договора'};128280.00;229180.00;{'nameRu': 'Услуга'}
990340007686/230015/01;"{'nameRu': 'ТОО ""ГБР Арыстан""'}";услуги по обслуживанию тревожной кнопки;{'nameRu': 'Запрос ценовых предложений'};52514.29;88230.00;{'nameRu': 'Услуга'}
990340007686/230063/01;"{'nameRu': 'ТОО ""Охранное агентство ""Іскер""'}";Услуги охраны;{'nameRu': 'Открытый конкурс'};0.00;1785600.00;{'nameRu': 'Услуга'}
990340007686/230073/00;{'nameRu': 'ИП ДУБИНСКИЙ В.В.'};профилактические лабораторные испытания электрооборудования с испытанием молниезащиты;{'nameRu': 'Запрос ценовых предложений'};33700.00;33700.00;{'nameRu': 'Услуга'}
990340007686/230072/00;{'nameRu': 'ИП ЖУСУПОВА МАРАЛ'};Игрушки;{'nameRu': 'Электронный магазин'};690050.00;690050.00;{'nameRu': 'Товар'}
990340007686/230071/00;{'nameRu': 'ИП СМАГУЛОВ К.М.'};Моющие средства;{'nameRu': 'Электронный магазин'};1441455.00;1441455.00;{'nameRu': 'Товар'}
990340007686/230070/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Установка и настройка программного продукта &quot;Парус-КАЗ.Бюджет&quot; (Тарификация в образовании)";{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;155150.00;{'nameRu': 'Услуга'}
990340007686/230069/00;"{'nameRu': 'ИП ""ИлЕр"" Distribution'}";Услуги по продлению лицензий на право использования программного обеспечения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};92800.00;103936.00;{'nameRu': 'Услуга'}
990340007686/230068/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};Продукты питания ( бакалея)/;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};271425.00;1158080.00;{'nameRu': 'Товар'}
990340007686/230067/00;{'nameRu': 'ИП МАДИЯРОВА С.Б.'};Азық-түлік өнімдері;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};1137500.00;7840000.00;{'nameRu': 'Товар'}
990340007686/230066/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};Продукты питания (овощи)/;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};304494.00;851200.00;{'nameRu': 'Товар'}
990340007686/230065/00;"{'nameRu': 'ТОО ""Милх""'}";Продукты питания (кисломолочные)//;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};182694.64;1043000.00;{'nameRu': 'Товар'}
990340007686/230064/00;"{'nameRu': 'ТОО ""ДЕП""'}";Продукты питания (кисломолочные)//;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};983724.56;5846973.00;{'nameRu': 'Товар'}
990340007686/230063/00;"{'nameRu': 'ТОО ""Охранное агентство ""Іскер""'}";Услуги охраны;{'nameRu': 'Открытый конкурс'};0.00;1800000.00;{'nameRu': 'Услуга'}
990340007686/230062/00;"{'nameRu': 'ТОО ""MB4""'}";Продукты питания (мясопродукты);{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};74400.00;336000.00;{'nameRu': 'Товар'}
990340007686/230061/00;"{'nameRu': 'ТОО ""Мечта LTD""'}";Продукты питания (мясопродукты);{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};610956.70;3299990.40;{'nameRu': 'Товар'}
990340007686/230060/00;"{'nameRu': 'КХ ""БЕКИРОВ САРХАН АЯТ ОГЛЫ""'}";Азық-түлік өнімдері (көкөністер);{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};200672.30;798200.00;{'nameRu': 'Товар'}
990340007686/230059/00;"{'nameRu': 'КХ ""БЕКИРОВ САРХАН АЯТ ОГЛЫ""'}";Продукты питания (овощи);{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};28053.00;90000.00;{'nameRu': 'Товар'}
990340007686/230058/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};Продукты питания (кисломолочные);{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};581236.71;4374900.00;{'nameRu': 'Товар'}
990340007686/230057/00;{'nameRu': 'ИП Урынбаев Нурлан Тулегенович'};Продукты питания ( бакалея)/;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};758506.63;4158996.00;{'nameRu': 'Товар'}
990340007686/230056/00;{'nameRu': 'ИП Табыс-Қос'};Продукты питания (овощи)/;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};0.00;484960.00;{'nameRu': 'Товар'}
990340007686/230055/00;"{'nameRu': 'ТОО ""Султан 2014""'}";Продукты питания ( бакалея)/;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};50892.86;336504.56;{'nameRu': 'Товар'}
