contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
151240012578/230012/01;"{'nameRu': 'Индивидуальный предприниматель ""СЕРБА СЕРГЕЙ ВЛАДИМИРОВИЧ""'}";Услуги по опорожнению/очищению отходов выгребных ям/отстойников/септиков/туалетов;{'nameRu': 'Запрос ценовых предложений'};36000.00;160000.00;{'nameRu': 'Услуга'}
151240012578/230029/00;"{'nameRu': 'индивидуальный предприниматель ""ГОЛУБИЦКАЯ ЛЮБОВЬ БОPИСОВНА""'}";Необходимые хозяйственные товары;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;31102.00;{'nameRu': 'Товар'}
151240012578/230028/00;"{'nameRu': 'индивидуальный предприниматель ""ГОЛУБИЦКАЯ ЛЮБОВЬ БОPИСОВНА""'}";Хозяйственные товары и дезинфицирующие  средства;{'nameRu': 'Запрос ценовых предложений'};0.00;58558.00;{'nameRu': 'Товар'}
151240012578/230027/00;"{'nameRu': 'индивидуальный предприниматель ""ГОЛУБИЦКАЯ ЛЮБОВЬ БОPИСОВНА""'}";Канцелярские товары,калькулятор.;{'nameRu': 'Запрос ценовых предложений'};0.00;58356.00;{'nameRu': 'Товар'}
151240012578/230026/00;"{'nameRu': 'ИП ""ИРГАСИМОВА АСЕМГУЛЬ МАРАТОВНА""'}";Работы по изготовлению стендов/табличек/надписей;{'nameRu': 'Запрос ценовых предложений'};207500.00;207500.00;{'nameRu': 'Работа'}
151240012578/230025/00;"{'nameRu': 'Акционерное общество ""Дочерняя компания Народного Банка Казахстана по страхованию жизни ""Халык-Life""'}";Услуги по страхованию от несчастных случаев;{'nameRu': 'Запрос ценовых предложений'};70000.00;70000.00;{'nameRu': 'Услуга'}
151240012578/230024/00;"{'nameRu': 'Индивидуальный предприниматель ""Ковалец Екатерина Адамовна""'}";Мыло;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};3800.00;3800.00;{'nameRu': 'Товар'}
151240012578/230023/00;"{'nameRu': 'ГКП ""Таза Ұзынкөл"" акимата Узункольского района""'}";Услуги по удалению неопасных отходов/имущества/материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};371770.00;371770.00;{'nameRu': 'Услуга'}
151240012578/230022/00;"{'nameRu': 'КГП ""Узункольская районная больница» Управления здравоохранения акимата Костанайской области'}";Услуги по медицинскому осмотру персонала, включая предварительные, периодические и внеочередные (внеплановые) осмотры;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;588582.00;{'nameRu': 'Услуга'}
151240012578/230021/00;"{'nameRu': 'Индивидуальный предприниматель ""Ковалец Екатерина Адамовна""'}";Балаларға арналған кір жуатын ұнтақ ,салмағы 2,4 кг.;{'nameRu': 'Запрос ценовых предложений'};47095.00;47095.00;{'nameRu': 'Товар'}
