contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
990240003332/230114/00;{'nameRu': 'ИП Dina'};Приобретение хоз. товаров;{'nameRu': 'Электронный магазин'};0.00;44750.00;{'nameRu': 'Товар'}
990240003332/230111/00;{'nameRu': 'БЕРНИК ВИТАЛИЙ ВИКТОРОВИЧ'};Приобретение хоз. товаров (смеситель);{'nameRu': 'Электронный магазин'};0.00;11200.00;{'nameRu': 'Товар'}
990240003332/230110/00;{'nameRu': 'ИП ГАЗТЕХНИКА'};Услуги по техническому, программному обслуживанию и поверке 2-х тепло счетчиков, тепло вычислителя - КОМБИК-РМД, ДУ-50, ЭР МФ, Комбик В, ЭР, согласно техспецификации;{'nameRu': 'Запрос ценовых предложений'};0.00;639996.00;{'nameRu': 'Услуга'}
990240003332/230109/00;{'nameRu': 'ИП TRADE'};Проведение текущего ремонта центрального входа (входной группы дверей), санузлов (перегородки,двери) в здании колледжа, согласно сметной документации;{'nameRu': 'Запрос ценовых предложений'};0.00;1226000.00;{'nameRu': 'Работа'}
990240003332/230108/00;{'nameRu': 'ИП Dina'};Приобретение канцелярского клея;{'nameRu': 'Электронный магазин'};0.00;13500.00;{'nameRu': 'Товар'}
990240003332/230107/00;{'nameRu': 'ИП Жартыбаева'};Приобретение канц товаров;{'nameRu': 'Электронный магазин'};0.00;62364.90;{'nameRu': 'Товар'}
990240003332/230106/00;"{'nameRu': 'ТОО ""Альба М""'}";Приобретение флеш накопителей;{'nameRu': 'Электронный магазин'};0.00;15400.00;{'nameRu': 'Товар'}
990240003332/230105/00;"{'nameRu': '""Capital Win""'}";Приобретение волейбольных мячей;{'nameRu': 'Электронный магазин'};0.00;54000.00;{'nameRu': 'Товар'}
990240003332/230104/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";Обслуживание программного продукта Парус-КАЗ.Бюджет (Смета расходов);{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;80912.00;{'nameRu': 'Услуга'}
990240003332/230103/00;"{'nameRu': 'АО ""Компания по страхованию жизни ""Nomad Life""'}";Услуги по страхованию работников предприятия от несчастных случаев;{'nameRu': 'Запрос ценовых предложений'};0.00;93090.00;{'nameRu': 'Услуга'}
