contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
060540004645/230015/00;{'nameRu': 'ИП Webman Studio'};"Услуги по сервисному обслуживанию программы для ЭВМ &quot;Платформа виртуальной приемной Комек&quot;";{'nameRu': 'Из одного источника путем прямого заключения договора'};53475.00;96600.00;{'nameRu': 'Услуга'}
060540004645/230014/00;{'nameRu': 'ИП Lazer Print'};Заправка картриджа;{'nameRu': 'Запрос ценовых предложений'};0.00;15000.00;{'nameRu': 'Услуга'}
060540004645/230013/00;{'nameRu': 'ИП СОКОЛОВ ОЛЕГ ВЛАДИМИРОВИЧ'};Обслуживание системы видеонаблюдения;{'nameRu': 'Запрос ценовых предложений'};22000.00;44000.00;{'nameRu': 'Услуга'}
060540004645/230012/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""МСБ ПРОФИТ""'}";Обслуживание пожарной сигнализации;{'nameRu': 'Запрос ценовых предложений'};29400.00;42000.00;{'nameRu': 'Услуга'}
060540004645/230011/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги с доступом к интернет;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;359880.00;{'nameRu': 'Услуга'}
060540004645/230010/00;"{'nameRu': 'Костанайский областной филиал №229900 Акционерного общества ""Народный сберегательный банк Казахстана""'}";Услуги банков по перечислению/переводу денежных средств;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;156568.00;{'nameRu': 'Услуга'}
060540004645/230009/00;"{'nameRu': 'ГКП ""Костанайская теплоэнергетическая компания"" акимата города Костаная государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата города Костаная""'}";Тепловая энергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1890000.00;{'nameRu': 'Услуга'}
060540004645/230008/00;"{'nameRu': 'ТОО ""Seven Hills of Kazakhstan""'}";"Услуги по сопровождению программного обеспечения &quot;Конфигурация &quot;Бюджет&quot; на платформе &quot;1С&quot;";{'nameRu': 'Из одного источника путем прямого заключения договора'};192771.43;300000.00;{'nameRu': 'Услуга'}
060540004645/230007/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта &quot;Парус-Каз.Бюджет&quot; (Бюджетное финансирование.Бюджетная заявка. тарификация в образовании)";{'nameRu': 'Из одного источника путем прямого заключения договора'};395971.43;665232.00;{'nameRu': 'Услуга'}
060540004645/230006/00;"{'nameRu': 'АО ""Национальные информационные технологии""'}";Регистрация доменного имени;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;8200.00;{'nameRu': 'Услуга'}
060540004645/230005/00;"{'nameRu': 'Государственное коммунальное предприятие ""Костанай-Су"" акимата города Костаная государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата города Костаная""'}";Услуги по подаче холодной воды;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;250000.00;{'nameRu': 'Услуга'}
060540004645/230004/00;"{'nameRu': 'ТОО ""INTELLIGENT IT""'}";Услуги пo экcпeртнo-aнaлитичecкoму coпрoвoждeнию прoцeccoв дeятeльнocти cпeциaльныx oргaнизaций oбрaзoвaния, рeaлизующиe oбрaзoвaтeльныe прoгрaммы для дeтeй c oгрaничeнными вoзмoжнocтями и ocoбыми oбрaзoвaтeльными пoтрeбнocтями;{'nameRu': 'Из одного источника путем прямого заключения договора'};279017.86;625000.00;{'nameRu': 'Услуга'}
060540004645/230003/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта &quot;Парус-Каз.Бюджет&quot; (Бюджетное финансирование.Бюджетная заявка. тарификация в образовании)";{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;665232.00;{'nameRu': 'Услуга'}
060540004645/230001/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";Электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;360000.00;{'nameRu': 'Товар'}
