contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
081040013711/230025/00;{'nameRu': 'ИП КУРМАНГАЛИЕВ А.М.'};продукты питания;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;174200.00;{'nameRu': 'Товар'}
081040013711/230024/00;{'nameRu': 'ИП КУРМАНГАЛИЕВ А.М.'};продукты питания;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;1760580.00;{'nameRu': 'Товар'}
081040013711/230023/00;"{'nameRu': 'ТОО ""ИНСПЭК""'}";хлеб;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;40950.44;{'nameRu': 'Товар'}
081040013711/230022/00;{'nameRu': 'ИП ЖАКИБАЕВА ГУЛЖАЙНАР'};пылесос;{'nameRu': 'Запрос ценовых предложений'};0.00;27100.00;{'nameRu': 'Товар'}
081040013711/230021/00;{'nameRu': 'Индивидуальный предприниматель Острижной В.В.'};ГАЗ ПЛИТА;{'nameRu': 'Запрос ценовых предложений'};0.00;109760.00;{'nameRu': 'Товар'}
081040013711/230020/00;{'nameRu': 'ИП КУРМАНГАЛИЕВ А.М.'};продукты питания;{'nameRu': 'Конкурс по приобретению товаров, связанных с обеспечением питания воспитанников и обучающихся'};0.00;1975030.00;{'nameRu': 'Товар'}
081040013711/230019/00;"{'nameRu': 'Коммунальное государственное предприятие ""Аулиекольская районная больница"" Управления здравоохранения акимата Костанайской области'}";медосмотр 1 полугодие;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;189383.00;{'nameRu': 'Услуга'}
081040013711/230018/00;{'nameRu': 'ИП КУРМАНГАЛИЕВ А.М.'};продукты питания;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;267130.00;{'nameRu': 'Товар'}
081040013711/230017/00;"{'nameRu': 'ТОО ""ИНСПЭК""'}";хлеб;{'nameRu': 'Из одного источника путем прямого заключения договора по питанию обучающихся'};0.00;60000.64;{'nameRu': 'Товар'}
081040013711/230016/00;"{'nameRu': 'ТОО ""Аулиеколь-сервис""'}";вывоз ТБО и захоронение;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;213623.00;{'nameRu': 'Услуга'}
081040013711/230015/00;{'nameRu': 'ЗЕЛЕПУХИН В.Н.'};обслуживание видеокамер;{'nameRu': 'Запрос ценовых предложений'};0.00;153000.00;{'nameRu': 'Работа'}
081040013711/230014/00;"{'nameRu': 'ТОО ""Охранная Компания Арыстан""'}";обслуживание пожарной сигнализации;{'nameRu': 'Запрос ценовых предложений'};0.00;42700.00;{'nameRu': 'Услуга'}
