contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050240003078/230173/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Satory2016""'}";Услуги по приобретению и установке видеокамер в Карасуском сельском округе;{'nameRu': 'Запрос ценовых предложений'};0.00;5828000.00;{'nameRu': 'Работа'}
050240003078/230178/00;{'nameRu': 'ИП ARSENAL'};Өзге де қорларды сатып алу / Приобретение прочих запасов;{'nameRu': 'Запрос ценовых предложений'};0.00;40131.00;{'nameRu': 'Товар'}
050240003078/230152/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""MAD Asia""'}";Изготовление и установка уличной спортивной площадки в с.Восток Карасуского района, Костанайской области;{'nameRu': 'Запрос ценовых предложений'};9789000.00;10963680.00;{'nameRu': 'Работа'}
050240003078/230177/00;{'nameRu': 'ИП Мамаева Лэйла Валерьевна'};Электротехнические материалы;{'nameRu': 'Запрос ценовых предложений'};0.00;1770.00;{'nameRu': 'Товар'}
050240003078/230176/00;{'nameRu': 'ИП НАУРУЗБАЕВА ДАРИЯ КУЛТАЕВНА'};Электротехнические материалы;{'nameRu': 'Запрос ценовых предложений'};47837.00;47837.00;{'nameRu': 'Товар'}
050240003078/230175/00;{'nameRu': 'ИП Мамаева Лэйла Валерьевна'};Электротехнические материалы;{'nameRu': 'Запрос ценовых предложений'};0.00;27342.00;{'nameRu': 'Товар'}
050240003078/230174/00;{'nameRu': 'ИП НАУРУЗБАЕВА ДАРИЯ КУЛТАЕВНА'};Электротехнические материалы;{'nameRu': 'Запрос ценовых предложений'};0.00;388647.00;{'nameRu': 'Товар'}
050240003078/230173/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Satory2016""'}";Услуги по приобретению и установке видеокамер в Карасуском сельском округе;{'nameRu': 'Запрос ценовых предложений'};0.00;4876000.00;{'nameRu': 'Работа'}
050240003078/230172/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Elite Tender Management""'}";Приобретение строительного материала для благоустройства Карасуского сельского округа;{'nameRu': 'Запрос ценовых предложений'};0.00;7632862.72;{'nameRu': 'Товар'}
050240003078/230171/00;"{'nameRu': 'ТОО ""SKA Technologies""'}";приобретение строительного материала;{'nameRu': 'Запрос ценовых предложений'};0.00;7548208.64;{'nameRu': 'Товар'}
050240003078/230170/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};повышение квалификации;{'nameRu': 'Из одного источника путем прямого заключения договора'};48120.00;48120.00;{'nameRu': 'Услуга'}
050240003078/230169/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Услуга по экспертизе среднего ремонта дорог улицы Комсомольская в с.Карасу, и улицы Садовая в с.Восток, Карасуского района, Костанайской области;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;2082080.32;{'nameRu': 'Услуга'}
050240003078/230168/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Землеустроительные и земельно-кадастровые работы;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;15453.72;{'nameRu': 'Работа'}
050240003078/230167/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Землеустроительные и земельно-кадастровые работы;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;21987.53;{'nameRu': 'Работа'}
050240003078/230166/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Землеустроительные и земельно-кадастровые работы;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;78440.40;{'nameRu': 'Работа'}
050240003078/230165/00;{'nameRu': 'ИП Турсунова А.К.'};Бензин АИ-92;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};507926.16;568877.30;{'nameRu': 'Товар'}
050240003078/230164/00;"{'nameRu': 'ИП ""УНАЕВ Т. Ж.""'}";Өзге де қорларды сатып алу / Приобретение прочих запасов;{'nameRu': 'Запрос ценовых предложений'};45750.00;45750.00;{'nameRu': 'Товар'}
050240003078/230163/00;{'nameRu': 'ИП ГАЛКИНА СВЕТЛАНА ВАСИЛЬЕВНА'};Услуги по изготовлению баннеров;{'nameRu': 'Запрос ценовых предложений'};374200.00;568500.00;{'nameRu': 'Услуга'}
050240003078/230162/00;{'nameRu': 'ИП АПСАТАРОВ ЕРКИН ХАЛЫКОВИЧ'};Услуги по обрезке деревьев и кустарников;{'nameRu': 'Запрос ценовых предложений'};399000.00;399000.00;{'nameRu': 'Работа'}
050240003078/230161/00;{'nameRu': 'ИП АПСАТАРОВ ЕРКИН ХАЛЫКОВИЧ'};Өзге де қызметтер мен жұмыстарға ақы төлеу / Оплата прочих услуг и работ;{'nameRu': 'Запрос ценовых предложений'};170000.00;170000.00;{'nameRu': 'Работа'}
050240003078/230160/00;{'nameRu': 'Амина'};Электротехнические материалы;{'nameRu': 'Запрос ценовых предложений'};415000.00;415000.00;{'nameRu': 'Товар'}
050240003078/230159/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};услуги проведения ведомственной экспертизы для среднего ремонта автомобильных дорог. Переулок Дорожный в с.Карасу, Карасуского района;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050240003078/230149/01;{'nameRu': 'РГП на ПХВ «НЦКДА»'};услуги проведения ведомственной экспертизы для среднего ремонта автомобильных дорог. улицы Калинина в с.Карасу, Карасуского района;{'nameRu': 'Из одного источника путем прямого заключения договора'};401161.61;449301.00;{'nameRu': 'Услуга'}
050240003078/230143/01;{'nameRu': 'РГП на ПХВ «НЦКДА»'};услуги проведения ведомственной экспертизы для среднего ремонта автомобильных дорог. улицы Коминтерна в с.Восток Карасуского района;{'nameRu': 'Из одного источника путем прямого заключения договора'};401161.61;449301.00;{'nameRu': 'Услуга'}
050240003078/230158/00;"{'nameRu': 'ТОО ""ВАН""'}";Средний ремонт улицы Комсомольская в с. Карасу, и улицы Садовая в с.Восток, Карасуского района, Костанайской области;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;234554915.84;{'nameRu': 'Работа'}
050240003078/230151/01;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};повышение квалификации;{'nameRu': 'Из одного источника путем прямого заключения договора'};48120.00;48120.00;{'nameRu': 'Услуга'}
050240003078/230157/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Землеустроительные и земельно-кадастровые работы;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;15453.72;{'nameRu': 'Работа'}
050240003078/230156/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Землеустроительные и земельно-кадастровые работы;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;21987.53;{'nameRu': 'Работа'}
050240003078/230155/00;"{'nameRu': 'ТОО ""КаР-Тел""'}";Оплата сотовой связи;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};5446.43;10500.00;{'nameRu': 'Услуга'}
050240003078/230139/01;{'nameRu': 'ИП Руслан'};Электротехнические материалы;{'nameRu': 'Запрос ценовых предложений'};9567606.69;9567606.69;{'nameRu': 'Товар'}
050240003078/230154/00;"{'nameRu': 'ТОО ""Инжиниринг KZ""'}";услуга по осуществлению технического сопровождения при проведении Среднего ремонт улицы Комсомольская в с. Карасу, и улицы Садовая в с.Восток, Карасуского района, Костанайской области.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;6802091.52;{'nameRu': 'Услуга'}
050240003078/230153/00;"{'nameRu': 'ИП ""Строй Проект""'}";Установка баннерной конструкции в с.Восток, Карасуского сельского округа, Карасуского района, Костанайской области.;{'nameRu': 'Запрос ценовых предложений'};0.00;9700000.00;{'nameRu': 'Работа'}
050240003078/230152/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""MAD Asia""'}";Изготовление и установка уличной спортивной площадки в с.Восток Карасуского района, Костанайской области;{'nameRu': 'Запрос ценовых предложений'};0.00;10963680.00;{'nameRu': 'Работа'}
050240003078/230151/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};повышение квалификации;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;48120.00;{'nameRu': 'Услуга'}
050240003078/230150/00;{'nameRu': 'РГКП «Академия государственного управления при Президенте Республики Казахстан»'};повышение квалификации;{'nameRu': 'Из одного источника путем прямого заключения договора'};80200.00;80200.00;{'nameRu': 'Услуга'}
050240003078/230149/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};услуги проведения ведомственной экспертизы для среднего ремонта автомобильных дорог. улицы Калинина в с.Карасу, Карасуского района;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.00;{'nameRu': 'Услуга'}
050240003078/230148/00;"{'nameRu': 'ТОО ""ЭПК-forfait"" (ЭПК-форфайт)'}";Модернизация уличного освещения в Карасуском районе, Костанайской области;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;8588634.88;{'nameRu': 'Работа'}
050240003078/230074/01;{'nameRu': 'ИП Кожуров С.М.'};Өзге де қорларды сатып алу / Приобретение прочих запасов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};50000.00;56000.00;{'nameRu': 'Товар'}
050240003078/230092/02;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Жолдас-2000""'}";Машиналар, жабдықтар, өндірістік және шаруашылық мүккамал құралдарын сатып алу / Приобретение машин, оборудования, инструментов, производственного и хозяйственного инвентаря;{'nameRu': 'Запрос ценовых предложений'};66968.00;75004.16;{'nameRu': 'Товар'}
050240003078/230147/00;{'nameRu': 'ИП Мамаева Лэйла Валерьевна'};Өзге де қорларды сатып алу / Приобретение прочих запасов;{'nameRu': 'Запрос ценовых предложений'};13500.00;13500.00;{'nameRu': 'Товар'}
050240003078/230146/00;"{'nameRu': 'ТОО ""ТОО ГМ""'}";Өзге де қорларды сатып алу / Приобретение прочих запасов;{'nameRu': 'Запрос ценовых предложений'};99600.00;99600.00;{'nameRu': 'Товар'}
050240003078/230145/00;"{'nameRu': 'ИП ""Барыс""'}";услуги по изготовлению дорожных знаков;{'nameRu': 'Запрос ценовых предложений'};0.00;1333333.00;{'nameRu': 'Работа'}
050240003078/230127/01;{'nameRu': 'Абих Э.А.'};Машиналар, жабдықтар, өндірістік және шаруашылық мүккамал құралдарын сатып алу / Приобретение машин, оборудования, инструментов, производственного и хозяйственного инвентаря;{'nameRu': 'Запрос ценовых предложений'};68485.00;68485.00;{'nameRu': 'Товар'}
050240003078/230144/00;"{'nameRu': 'ТОО ""Серхан74""'}";Өзге де қорларды сатып алу / Приобретение прочих запасов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};26700.00;29904.00;{'nameRu': 'Товар'}
