contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
150140003552/230041/00;"{'nameRu': 'Костанайский ОФ АО ""Казпочта""'}";подписка на периодические издания на 2024 год;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;86421.75;{'nameRu': 'Услуга'}
150140003552/230040/00;{'nameRu': 'ИП МАНАТ СӘБИЛА ЖҰМАҒАЛИҚЫЗЫ'};Организация волонтёрского слёта;{'nameRu': 'Запрос ценовых предложений'};0.00;648500.00;{'nameRu': 'Услуга'}
150140003552/230039/00;"{'nameRu': 'ИП ""СЕРЁГИНА НАТАЛЬЯ ФЕДОРОВНА""'}";питание;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;252000.00;{'nameRu': 'Услуга'}
150140003552/230038/00;"{'nameRu': 'ТОО ""MITRI GROUP""'}";Организация Дня молодёжи;{'nameRu': 'Запрос ценовых предложений'};595000.00;595000.00;{'nameRu': 'Услуга'}
150140003552/230037/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Северный регион 2030 KZ""'}";МФУ;{'nameRu': 'Электронный магазин'};121880.00;136505.60;{'nameRu': 'Товар'}
150140003552/230036/00;"{'nameRu': 'ТОО ""Epsilon Systems""'}";принтер;{'nameRu': 'Электронный магазин'};0.00;279997.00;{'nameRu': 'Товар'}
150140003552/230035/00;{'nameRu': 'ИП Ғалымжан'};дырокол;{'nameRu': 'Электронный магазин'};13500.00;13500.00;{'nameRu': 'Товар'}
150140003552/230034/00;{'nameRu': 'НҰРЖАН ЛАШЫН РАХМЕТІЛДӘҚЫЗЫ'};зеркало;{'nameRu': 'Электронный магазин'};28989.00;28989.00;{'nameRu': 'Товар'}
150140003552/230033/00;{'nameRu': 'ИП Абишев'};кондиционер;{'nameRu': 'Электронный магазин'};140989.00;140989.00;{'nameRu': 'Товар'}
150140003552/230032/00;{'nameRu': 'ИП Laura'};кондиционер;{'nameRu': 'Электронный магазин'};265998.00;265998.00;{'nameRu': 'Товар'}
150140003552/230031/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Socrat Computers""'}";диск жёсткий;{'nameRu': 'Электронный магазин'};0.00;74747.99;{'nameRu': 'Товар'}
150140003552/230030/00;{'nameRu': 'ИП Бектасов'};стедикам;{'nameRu': 'Запрос ценовых предложений'};0.00;64500.00;{'nameRu': 'Товар'}
150140003552/230029/00;{'nameRu': 'ИП Хаки'};кронштейн;{'nameRu': 'Электронный магазин'};16800.00;16800.00;{'nameRu': 'Товар'}
150140003552/230028/00;{'nameRu': 'ИП Мақсутова'};Комплект для мытья полов;{'nameRu': 'Электронный магазин'};7645.14;7645.14;{'nameRu': 'Товар'}
150140003552/230027/00;"{'nameRu': 'ИП ""Smart House""'}";мышь для компьютера;{'nameRu': 'Электронный магазин'};9928.56;11119.99;{'nameRu': 'Товар'}
150140003552/230026/00;"{'nameRu': 'ИП ""Smart House""'}";холодильник;{'nameRu': 'Электронный магазин'};105219.00;117845.28;{'nameRu': 'Товар'}
150140003552/230025/00;{'nameRu': 'ИП Рыскалинова'};стулья офисные;{'nameRu': 'Запрос ценовых предложений'};240000.00;240000.00;{'nameRu': 'Товар'}
