contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
050140005548/230052/00;{'nameRu': 'РГП на ПХВ «НЦКДА»'};Услуги по экспертизе анализу проверке документации в с. Тагильское улицы Ленина, 50 лет СССР, Павших Борцов.;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;449301.44;{'nameRu': 'Услуга'}
050140005548/230051/00;{'nameRu': 'ИП Лавринец Елена Викторовна'};"Приобретение нежилого отдельно стоящего здания для ГУ &quot;Аппарат акима Тагильского сельского округа Сарыкольского района&quot;";{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;15219000.00;{'nameRu': 'Товар'}
050140005548/230049/00;"{'nameRu': 'ТОО ""Geosmet""'}";Разработка технической документации средний ремонт дорог с. Тагильское;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;740000.00;{'nameRu': 'Услуга'}
050140005548/230048/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Скоросшиватель;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;8960.00;{'nameRu': 'Товар'}
050140005548/230047/00;"{'nameRu': 'ТОО ""Братья""'}";Работы по ремонту/реконструкции электрического, электрораспределительного/регулирующего оборудования и аналогичной аппаратуры;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;1499680.00;{'nameRu': 'Работа'}
050140005548/230046/00;"{'nameRu': 'Индивидуальный  предприниматель ""ДАНИАЛ""'}";Услуги по заправке картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;20000.00;{'nameRu': 'Услуга'}
050140005548/230045/00;"{'nameRu': 'ТОО Редакция газеты ""Сарыкөл""'}";Услуги по подготовке информационных материалов и публикации/размещению в средствах массовой информации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};26187.00;26187.00;{'nameRu': 'Услуга'}
050140005548/230037/00;"{'nameRu': 'ТОО ""КаР-Тел""'}";Услуги сотовой связи;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;20500.00;{'nameRu': 'Услуга'}
050140005548/230036/00;{'nameRu': 'KLEVER'};Ручка  шариковая;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};1000.00;1000.00;{'nameRu': 'Товар'}
050140005548/230035/00;{'nameRu': 'KLEVER'};Перчатки;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};2250.00;2250.00;{'nameRu': 'Товар'}
050140005548/230034/00;{'nameRu': 'KLEVER'};Средство моющее;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};4250.00;4250.00;{'nameRu': 'Товар'}
