contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
191240029827/230042/00;"{'nameRu': 'ТОО ""Арка дидары""'}";Услуги телевидение;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;171000.00;{'nameRu': 'Услуга'}
191240029827/230039/00;"{'nameRu': 'ТОО ""Костанайский печатный двор""'}";Услуги по изготовлению фирменных бланков;{'nameRu': 'Запрос ценовых предложений'};0.00;6000.00;{'nameRu': 'Услуга'}
191240029827/230038/00;"{'nameRu': 'ТОО ""Каз эксперт консалтинг""'}";Оценка недвижимого имущества;{'nameRu': 'Запрос ценовых предложений'};0.00;26300.00;{'nameRu': 'Услуга'}
191240029827/230037/01;{'nameRu': 'ДЖАНГИЛЬБАЕВ ДАРХАН'};Работа по подсыпке дорог поселкового значения с использованием материалов (щебень);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;1378000.00;{'nameRu': 'Работа'}
191240029827/230037/00;{'nameRu': 'ДЖАНГИЛЬБАЕВ ДАРХАН'};Работа по подсыпке дорог поселкового значения с использованием материалов (щебень);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;1378000.00;{'nameRu': 'Работа'}
191240029827/230036/00;"{'nameRu': 'ТОО ""CIFRTECH""'}";Моноблок в комплекте;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};219600.00;245952.00;{'nameRu': 'Товар'}
191240029827/230035/00;"{'nameRu': 'ТОО ""Арка дидары""'}";Услуги телевидения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;63000.00;{'nameRu': 'Услуга'}
191240029827/230034/00;{'nameRu': 'ИП АБДРАХМАНОВ Б.И'};Аренда легкового автомобиля с водителем;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};330000.00;825000.00;{'nameRu': 'Услуга'}
191240029827/230033/00;{'nameRu': 'ИП Кабдугалиева Б.К.'};приобретение канцелярских товаров;{'nameRu': 'Электронный магазин'};0.00;40700.00;{'nameRu': 'Товар'}
191240029827/230032/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""CLU""'}";Антивирус для ПК на 2 компьютера;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;7941.76;{'nameRu': 'Товар'}
191240029827/230031/00;{'nameRu': 'ИП ЗАКАРИЯНОВ'};Планшет подписи, для составление протокола правонарушение;{'nameRu': 'Запрос ценовых предложений'};0.00;87000.00;{'nameRu': 'Товар'}
191240029827/230030/00;{'nameRu': 'ИП Насырова'};Графический планшет подписи с пером (стилус), для создания цифрового аналога подписи в информационной системе;{'nameRu': 'Запрос ценовых предложений'};0.00;99799.00;{'nameRu': 'Товар'}
191240029827/230029/00;{'nameRu': 'ИП МОЛДАВСКАЯ И.И.'};Работы по обеспечению энергоэффективного освещения;{'nameRu': 'Запрос ценовых предложений'};0.00;187000.00;{'nameRu': 'Работа'}
191240029827/230028/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};41400.00;65550.00;{'nameRu': 'Услуга'}
191240029827/230027/00;{'nameRu': 'ИП Кабдугалиева Б.К.'};приобретение канцелярских товаров;{'nameRu': 'Электронный магазин'};0.00;13450.00;{'nameRu': 'Товар'}
191240029827/230026/00;{'nameRu': 'ИП МОЛДАВСКАЯ И.И.'};Изготовление и установка баннера;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;14000.00;{'nameRu': 'Работа'}
191240029827/230025/00;{'nameRu': 'ИП МОЛДАВСКАЯ И.И.'};Изготовление и установка баннеров в количестве 4 штук;{'nameRu': 'Запрос ценовых предложений'};0.00;70000.00;{'nameRu': 'Работа'}
191240029827/230006/01;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;48300.00;{'nameRu': 'Услуга'}
191240029827/230024/00;"{'nameRu': 'ТОО ""CIFRTECH""'}";Приобретение Нового принтера лазерного МФУ;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;83104.00;{'nameRu': 'Товар'}
191240029827/230023/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Оценочная Компания ""ФениксКоммерц""""'}";Оценка транспортных средств;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;10000.00;{'nameRu': 'Услуга'}
191240029827/230022/00;"{'nameRu': 'ТОО ""Костанайнефтепродукт""'}";Бензин АИ-92;{'nameRu': 'Запрос ценовых предложений'};0.00;74788.00;{'nameRu': 'Товар'}
191240029827/230021/00;{'nameRu': 'ИП Кабдугалиева Б.К.'};приобретение канцелярских товаров;{'nameRu': 'Электронный магазин'};0.00;101050.00;{'nameRu': 'Товар'}
191240029827/230020/00;{'nameRu': 'ИП КОЖАХМЕТОВ'};приобретение канцелярских товаров;{'nameRu': 'Электронный магазин'};0.00;7996.00;{'nameRu': 'Товар'}
191240029827/230017/00;"{'nameRu': 'ТОО ""MSD Price""'}";Оценка транспортного средства «Зил-131», 1987 года выпуска, для определения рыночной стоимости объекта;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;17857.00;{'nameRu': 'Услуга'}
191240029827/230016/00;{'nameRu': 'ИП Сейдалиева'};Услуги по ведению архивных документов;{'nameRu': 'Запрос ценовых предложений'};0.00;139999.00;{'nameRu': 'Услуга'}
191240029827/230015/00;"{'nameRu': 'Костанайский областной филиал №229900 Акционерного общества ""Народный сберегательный банк Казахстана""'}";Банковские услуги;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;20380.00;{'nameRu': 'Услуга'}
191240029827/230014/00;"{'nameRu': 'КГП ""Костанайюжэлектросервис"" Управления энергетики и жилищно-коммунального хозяйства акимата Костанайской области""'}";Содержание и обслуживание линий уличного освещения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;60000.00;{'nameRu': 'Работа'}
191240029827/230013/00;"{'nameRu': 'КГП ""Костанайюжэлектросервис"" Управления энергетики и жилищно-коммунального хозяйства акимата Костанайской области""'}";Освещение улиц населенного пункта электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;642000.00;{'nameRu': 'Услуга'}
191240029827/230012/00;"{'nameRu': 'АО ""Казахтелеком""'}";Оплата услуг связи (абонентская плата за телефон);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;27947.52;{'nameRu': 'Услуга'}
191240029827/230011/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Дара Холдинг""'}";Услуги на предоставление доступа к интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;959000.00;{'nameRu': 'Услуга'}
191240029827/230009/00;"{'nameRu': 'ИП ""СТАНИСЛАВИЧ Я.Н.""'}";Услуги по заправке картриджей;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;37500.00;{'nameRu': 'Услуга'}
191240029827/230008/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Парус-КАЗ""'}";"Обслуживание программного продукта ;Парус-КАЗ. Бюджет; (Бюджетное финансирование МСУ)";{'nameRu': 'Из одного источника путем прямого заключения договора'};189891.96;283572.00;{'nameRu': 'Услуга'}
191240029827/230007/00;"{'nameRu': 'ТОО ""Адилбек""'}";Работы по уборке (удалению) снега;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;245000.00;{'nameRu': 'Работа'}
191240029827/230006/00;"{'nameRu': 'АО ""Информационно-учетный центр""'}";Услуги по обеспечению бесперебойного доступа к данным реестра государственного имущества;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;48300.00;{'nameRu': 'Услуга'}
191240029827/230005/00;"{'nameRu': 'ГККП ""Аркалыкский городской Дворец культуры"" отдела культуры и развития языков города Аркалыка акимата города Аркалыка'}";Возмещение затрат в арендуемом помещении;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;191578.00;{'nameRu': 'Услуга'}
191240029827/230004/00;"{'nameRu': 'ГККП ""Аркалыкский городской Дворец культуры"" отдела культуры и развития языков города Аркалыка акимата города Аркалыка'}";Услуги по аренде административных/производственных помещений;{'nameRu': 'Из одного источника путем прямого заключения договора'};153001.00;245141.00;{'nameRu': 'Услуга'}
191240029827/230002/00;"{'nameRu': 'ИП ""СТАНИСЛАВИЧ Я.Н.""'}";услуги по ремонту компьютерной техники;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;103000.00;{'nameRu': 'Работа'}
