contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
000340003202/230020/00;{'nameRu': 'ИП Кузнецов К.П.'};Услуги шиномонтажа, балансировки шин;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;39000.00;{'nameRu': 'Услуга'}
000340003202/230019/00;{'nameRu': 'ИП Кожуров С.М.'};Шина летняя для автомобиля (Niva-Chevrolet) 205/70 R 15;{'nameRu': 'Запрос ценовых предложений'};0.00;108958.08;{'nameRu': 'Товар'}
000340003202/230018/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92 в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;92245.50;{'nameRu': 'Товар'}
000340003202/230017/00;{'nameRu': 'MAS Tender Exchange (MASTEX)'};Монитор;{'nameRu': 'Запрос ценовых предложений'};0.00;100500.00;{'nameRu': 'Товар'}
000340003202/230016/00;"{'nameRu': 'АО ""СК ""Jusan Garant""'}";Услуги по страхованию автотранспорта;{'nameRu': 'Запрос ценовых предложений'};25646.00;25646.00;{'nameRu': 'Услуга'}
000340003202/230015/00;"{'nameRu': 'ТОО ""СарыаркаАвтоПром""'}";Приобретение легкового автомобиля;{'nameRu': 'Запрос ценовых предложений'};6990000.00;6990000.00;{'nameRu': 'Товар'}
000340003202/230014/00;"{'nameRu': 'ИП ""MURAGER""'}";Блок системный;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};468000.00;468000.00;{'nameRu': 'Товар'}
000340003202/230013/00;{'nameRu': 'ИП Кузнецов К.П.'};Услуги по техническому обслуживанию автотранспорта/специальной техники;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};43000.00;43000.00;{'nameRu': 'Услуга'}
000340003202/230012/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92 в талонах;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};93330.00;104529.60;{'nameRu': 'Товар'}
000340003202/230011/00;"{'nameRu': 'ИП ""Ulytau Energy ""'}";услуги по изготовлению бланков приказа;{'nameRu': 'Запрос ценовых предложений'};0.00;5900.00;{'nameRu': 'Услуга'}
000340003202/230010/00;"{'nameRu': 'ТОО ""Редакция газеты ""Меңдіқара үні""'}";Услуги по публикации в СМИ;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};33600.00;44800.00;{'nameRu': 'Услуга'}
000340003202/230009/00;"{'nameRu': 'ТОО ""Меңдіқара 2011""'}";Услуги по захоронению ТБО;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};19730.00;19730.00;{'nameRu': 'Услуга'}
000340003202/230008/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги по доступу к Интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};397960.71;595000.00;{'nameRu': 'Услуга'}
000340003202/230007/00;"{'nameRu': 'АО ""Казахтелеком""'}";услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};20086.83;36999.98;{'nameRu': 'Услуга'}
000340003202/230006/00;{'nameRu': 'ИП ЖАПАРОВА А.А.'};Обслуживание программы 1С;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};198000.00;264000.00;{'nameRu': 'Услуга'}
000340003202/230005/00;"{'nameRu': 'РГП на ПХВ ""ИЗПИ""'}";Услуги по сопровождению и технической поддержке информационной системы;{'nameRu': 'Из одного источника путем прямого заключения договора'};69910.71;104399.92;{'nameRu': 'Услуга'}
000340003202/230004/00;"{'nameRu': 'Костанайский областной филиал №229900 Акционерного общества ""Народный сберегательный банк Казахстана""'}";банковские услуги;{'nameRu': 'Из одного источника путем прямого заключения договора'};51000.00;72507.00;{'nameRu': 'Услуга'}
000340003202/230003/00;{'nameRu': 'Государственное коммунальное предприятие «Боровское ЖКХ-2016» государственного учреждения «Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог Мендыкаринского района»'};холодное водоснабжение;{'nameRu': 'Из одного источника путем прямого заключения договора'};12908.25;20248.60;{'nameRu': 'Товар'}
000340003202/230002/00;{'nameRu': 'Государственное коммунальное предприятие «Боровское ЖКХ-2016» государственного учреждения «Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог Мендыкаринского района»'};тепловая энергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};277805.96;515139.77;{'nameRu': 'Товар'}
000340003202/230001/00;"{'nameRu': 'ТОО ""Костанайский ЭнергоЦентр""'}";электроэнергия;{'nameRu': 'Из одного источника путем прямого заключения договора'};111968.16;220418.69;{'nameRu': 'Товар'}
