contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
041240005562/230038/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Швабра;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;2800.00;{'nameRu': 'Товар'}
041240005562/230037/00;{'nameRu': 'ИП Бурмистров В.В'};Услуга по заправке цветных картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;20000.00;{'nameRu': 'Услуга'}
041240005562/230036/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""SATI A Trade""'}";Приобретение прочих запасов диски;{'nameRu': 'Запрос ценовых предложений'};0.00;133333.00;{'nameRu': 'Товар'}
041240005562/230018/01;"{'nameRu': 'АО ""СПК ""Тобол""'}";Услуги по проведению экономической экспертизы местных бюджетных инвестиций;{'nameRu': 'Из одного источника путем прямого заключения договора'};1511357.14;2256960.00;{'nameRu': 'Услуга'}
041240005562/230035/00;"{'nameRu': 'Общественное объединение инвалидов ""SERT""'}";Приобретение офисного кресла;{'nameRu': 'Электронный магазин'};209821.00;234999.52;{'nameRu': 'Товар'}
041240005562/230022/01;{'nameRu': 'ИП Венера'};Приобретение прочих запасов (калькулятор);{'nameRu': 'Электронный магазин'};33119.91;33119.91;{'nameRu': 'Товар'}
041240005562/230034/00;{'nameRu': 'ИП Бурмистров В.В'};Услуги по продлению лицензий на право использования программного обеспечения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};48750.00;48750.00;{'nameRu': 'Услуга'}
041240005562/230033/00;"{'nameRu': 'Костанайский филиал Акционерного общества ""Страховая компания ""Виктория""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};32000.00;32000.00;{'nameRu': 'Услуга'}
041240005562/230032/00;"{'nameRu': 'ТОО ""КанцЦентр""'}";Приобретение канцелярских товаров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};3930.00;4401.60;{'nameRu': 'Товар'}
041240005562/230031/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92 (талоны);{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};171130.04;191665.65;{'nameRu': 'Товар'}
041240005562/230030/00;"{'nameRu': 'ТОО ""РУДНЫЙ КВАЗАР 2007""'}";Услуги по техническому обслуживанию климатического (кондиционерного) оборудования и систем/вентиляционных систем и оборудования;{'nameRu': 'Запрос ценовых предложений'};88000.00;98560.00;{'nameRu': 'Услуга'}
041240005562/230029/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""БАРС-2018""'}";Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};3600.00;4032.00;{'nameRu': 'Товар'}
041240005562/230028/00;"{'nameRu': 'ИП ""УНАЕВ Т. Ж.""'}";Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};95760.00;95760.00;{'nameRu': 'Товар'}
041240005562/230027/00;"{'nameRu': 'ТОО ""КанцЦентр""'}";Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};2130.00;2385.60;{'nameRu': 'Товар'}
041240005562/230026/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Dias Profit""'}";Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};6000.00;6720.00;{'nameRu': 'Товар'}
041240005562/230025/00;"{'nameRu': 'ТОО ""ТПК Тонар""'}";Приобретение офисных стульев;{'nameRu': 'Электронный магазин'};476428.57;533600.00;{'nameRu': 'Товар'}
041240005562/230024/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""БАРС-2018""'}";Приобретение канцелярских товаров;{'nameRu': 'Электронный магазин'};6128.16;6863.54;{'nameRu': 'Товар'}
041240005562/230023/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""БАРС-2018""'}";Приобретение канцелярских товаров;{'nameRu': 'Электронный магазин'};4500.00;5040.00;{'nameRu': 'Товар'}
041240005562/230022/00;{'nameRu': 'ИП Венера'};Приобретение прочих запасов (калькулятор);{'nameRu': 'Электронный магазин'};0.00;37094.30;{'nameRu': 'Товар'}
041240005562/230005/01;"{'nameRu': 'ТОО ""РВ""'}";Холодная вода, канализация;{'nameRu': 'Из одного источника путем прямого заключения договора'};63708.57;131900.01;{'nameRu': 'Услуга'}
041240005562/230020/00;"{'nameRu': 'ТОО ""Rýdnyi media""'}";Услуги по подготовке информационных материалов и публикации/размещению в средствах массовой информации;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};11395.31;38535.00;{'nameRu': 'Услуга'}
041240005562/230019/00;"{'nameRu': 'ТОО ""СарыаркаАвтоПром""'}";Приобретение легкового служебного автомобиля;{'nameRu': 'Запрос ценовых предложений'};6190000.00;6190000.00;{'nameRu': 'Товар'}
041240005562/230018/00;"{'nameRu': 'АО ""СПК ""Тобол""'}";Услуги по проведению экономической экспертизы местных бюджетных инвестиций;{'nameRu': 'Из одного источника путем прямого заключения договора'};1511357.14;3385440.00;{'nameRu': 'Услуга'}
041240005562/230017/00;{'nameRu': 'ИП Бурмистров В.В'};Электронный ключ e-Token;{'nameRu': 'Запрос ценовых предложений'};52500.00;52500.00;{'nameRu': 'Товар'}
041240005562/230016/00;"{'nameRu': 'РГП на ПХВ ""ИЗПИ""'}";Абонентное обслуживание базы данных «Закон» на русском и казахском языках.;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};62142.86;104400.00;{'nameRu': 'Услуга'}
041240005562/230015/00;{'nameRu': 'ИП Дуйсенбекова'};Приобретение канцелярских товаров (ежедневники);{'nameRu': 'Электронный магазин'};17500.00;17500.00;{'nameRu': 'Товар'}
041240005562/230014/00;{'nameRu': 'ИП БУХАРОВ  ИЛЬЯ  ВЛАДИМИРОВИЧ'};Обновление и сопровождение 1С: Предприятие 8 для государственных учреждений Казахстана;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};168750.00;225000.00;{'nameRu': 'Услуга'}
041240005562/230013/00;{'nameRu': 'ИП Бурмистров В.В'};Услуги по заправке цветных картриджей;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};30000.00;30000.00;{'nameRu': 'Услуга'}
041240005562/230012/00;"{'nameRu': 'ТОО ""Центрум""'}";Работы по изготовлению  полиграфической продукции;{'nameRu': 'Запрос ценовых предложений'};11200.00;11200.00;{'nameRu': 'Работа'}
041240005562/230011/00;{'nameRu': 'ИП Бурмистров В.В'};Услуги по заправке картриджей;{'nameRu': 'Запрос ценовых предложений'};41600.00;60000.00;{'nameRu': 'Услуга'}
041240005562/230010/00;{'nameRu': 'ИП Бурмистров В.В'};Услуги по обслуживанию компьютерной техники и программного обеспечения.;{'nameRu': 'Запрос ценовых предложений'};68000.00;102000.00;{'nameRu': 'Услуга'}
041240005562/230009/00;"{'nameRu': 'ИП ""Нусипова""'}";Услуги по обслуживанию Интернет-ресурса: www.rudeconom.kz;{'nameRu': 'Запрос ценовых предложений'};27000.00;54000.55;{'nameRu': 'Услуга'}
041240005562/230008/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};20535.71;91600.00;{'nameRu': 'Услуга'}
041240005562/230007/00;"{'nameRu': 'АО ""Транстелеком""'}";Услуги по доступу к Интернету;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;423360.00;{'nameRu': 'Услуга'}
041240005562/230006/00;"{'nameRu': 'ТОО ""Рудненская ЭнергоКомпания""'}";Услуги по передаче/распределению электроэнергии;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;319656.40;{'nameRu': 'Услуга'}
