contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
990440001660/230051/00;{'nameRu': 'ИП Жібек Жіп'};Медали для конкурса по киберспорту;{'nameRu': 'Запрос ценовых предложений'};0.00;19650.00;{'nameRu': 'Товар'}
990440001660/230050/00;"{'nameRu': 'АО ""Страховая компания ""Номад Иншуранс""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Запрос ценовых предложений'};0.00;35263.67;{'nameRu': 'Услуга'}
990440001660/230049/00;{'nameRu': 'ИП Емельянов Илья Сергеевич'};Приобретение принтера;{'nameRu': 'Электронный магазин'};0.00;250000.00;{'nameRu': 'Товар'}
990440001660/230048/00;"{'nameRu': 'ТОО ""СарыаркаАвтоПром""'}";Автомобиль легковой;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;7290000.00;{'nameRu': 'Товар'}
990440001660/230047/00;"{'nameRu': 'ИП ""Smart House""'}";Принтер струйный цветной;{'nameRu': 'Электронный магазин'};0.00;182798.56;{'nameRu': 'Товар'}
990440001660/230046/00;"{'nameRu': 'ИП ""ИРГАСИМОВА АСЕМГУЛЬ МАРАТОВНА""'}";Работа по изготовлению баннера 2х3 размера;{'nameRu': 'Запрос ценовых предложений'};0.00;18200.00;{'nameRu': 'Работа'}
990440001660/230045/00;"{'nameRu': 'ИП ""Сейфтер""'}";Приобретение сейфа;{'nameRu': 'Электронный магазин'};38660.71;43300.00;{'nameRu': 'Товар'}
990440001660/230044/00;"{'nameRu': 'ИП ""ИлЕр"" Distribution'}";Приобретение антивируса;{'nameRu': 'Запрос ценовых предложений'};212342.86;237824.00;{'nameRu': 'Товар'}
990440001660/230043/00;{'nameRu': 'ИП Естыбаев Ж.А.'};Ремонт стойки стабилизатора на автомобиля Skoda Octavia;{'nameRu': 'Запрос ценовых предложений'};117000.00;117000.00;{'nameRu': 'Работа'}
990440001660/230042/00;{'nameRu': 'ИП МУСАЕВА'};Фильтры для автомобиля Skoda Octavia;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};12690.00;12690.00;{'nameRu': 'Товар'}
990440001660/230041/00;{'nameRu': 'ИП МУСАЕВА'};Масло моторное для Scoda Octavia 266 AC;{'nameRu': 'Запрос ценовых предложений'};14700.00;14700.00;{'nameRu': 'Товар'}
990440001660/230040/00;{'nameRu': 'ИП Омарова'};Приобретение строительных материалов;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};11211.00;11211.00;{'nameRu': 'Товар'}
990440001660/230039/00;"{'nameRu': 'ТОО ""Эталон Авто Костанай""'}";Бензин марка АИ-92 в талонах;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};402666.00;450985.92;{'nameRu': 'Товар'}
990440001660/230038/00;"{'nameRu': 'ТОО ""Центрум""'}";Изготовление факсимиле;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};7300.00;7300.00;{'nameRu': 'Работа'}
990440001660/230037/00;{'nameRu': 'ИП Омарова'};Приобретение строительных материалов;{'nameRu': 'Запрос ценовых предложений'};14060.00;14060.00;{'nameRu': 'Товар'}
990440001660/230036/00;"{'nameRu': 'ИП ""ХОД КОНЕМ""'}";Приобретение строительных материалов;{'nameRu': 'Запрос ценовых предложений'};9800.00;9800.00;{'nameRu': 'Товар'}
990440001660/230035/00;"{'nameRu': 'ТОО ""CIFRTECH""'}";Системный блок;{'nameRu': 'Конкурс с предварительным квалификационным отбором'};829200.00;928704.00;{'nameRu': 'Товар'}
990440001660/230034/00;"{'nameRu': 'ИП ""NAGRADA KZ""'}";Приобретение статуэток для мероприятия Лучший методист;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};18000.00;18000.00;{'nameRu': 'Товар'}
990440001660/230033/00;"{'nameRu': 'Костанайский филиал АО ""Национальный центр экспертизы и сертификации""'}";Услуги по техническому контролю (осмотру) дорожных транспортных средств (Шевроле);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};3562.50;3990.00;{'nameRu': 'Услуга'}
990440001660/230032/00;{'nameRu': 'Art Sabi'};Приобретение офисного лицензионного программного обеспечения;{'nameRu': 'Запрос ценовых предложений'};0.00;113000.00;{'nameRu': 'Товар'}
990440001660/230031/00;{'nameRu': 'Ledenergy.kz'};Батарейка тип АА (R6) 1.2 V для фотоапарата;{'nameRu': 'Электронный магазин'};10980.00;12297.60;{'nameRu': 'Товар'}
