contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
060140002377/230018/00;"{'nameRu': 'АО ""Страховая компания ""Номад Иншуранс""'}";Услуги по страхованию гражданско-правовой ответственности владельцев автомобильного транспорта;{'nameRu': 'Запрос ценовых предложений'};0.00;25751.52;{'nameRu': 'Услуга'}
060140002377/230017/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92 (в талонах);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;61497.00;{'nameRu': 'Товар'}
060140002377/230016/00;{'nameRu': 'ИП Бучель Игорь Михайлович'};Работы по ремонту автотранспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;58900.00;{'nameRu': 'Работа'}
060140002377/230015/00;{'nameRu': 'Харченко Геннадий Демьянович'};Приобретение папок скоросшивателей, картон А4;{'nameRu': 'Запрос ценовых предложений'};2667.00;2667.00;{'nameRu': 'Товар'}
060140002377/230014/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""БАРС-2018""'}";Приобретение бумага для офисного оборудования А4;{'nameRu': 'Запрос ценовых предложений'};39840.00;44620.80;{'nameRu': 'Товар'}
060140002377/230013/00;"{'nameRu': 'ТОО ""Kst trade""'}";Бензин АИ-92 (в талонах);{'nameRu': 'Из одного источника по несостоявшимся закупкам'};54908.04;61497.00;{'nameRu': 'Товар'}
060140002377/230012/00;{'nameRu': 'БУЧЕЛЬ АЛЕКСАНДР'};Работы по ремонту автотранспортных средств;{'nameRu': 'Запрос ценовых предложений'};171000.00;171000.00;{'nameRu': 'Работа'}
060140002377/230011/00;{'nameRu': 'ИП Бучель Игорь Михайлович'};Работы по ремонту автотранспортных средств;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};65000.00;65000.00;{'nameRu': 'Работа'}
060140002377/230010/00;"{'nameRu': 'ТОО ""СОЦСЕРВИС""'}";Услуги по вывозу, складированию и размещению ТБО.;{'nameRu': 'Запрос ценовых предложений'};0.00;18032.00;{'nameRu': 'Услуга'}
060140002377/230009/00;{'nameRu': 'ИП МУФТАНДИНОВ А.В.'};Техническое обслуживание компьютеров;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};126000.00;168000.00;{'nameRu': 'Услуга'}
060140002377/230008/00;{'nameRu': 'ИП Алимбаев Чохан Лиасович'};Услуга по заправке картриджей на принтер;{'nameRu': 'Запрос ценовых предложений'};0.00;55000.00;{'nameRu': 'Услуга'}
060140002377/230007/00;{'nameRu': 'ИП Ержанова О.И.'};Услуги по публикации объявления в газете;{'nameRu': 'Запрос ценовых предложений'};81270.00;119000.00;{'nameRu': 'Услуга'}
060140002377/230006/00;"{'nameRu': 'ТОО ""Компания Первый БИТ""'}";Техническое обслуживание программы 1С бухгалтерия;{'nameRu': 'Запрос ценовых предложений'};110000.00;254000.00;{'nameRu': 'Услуга'}
060140002377/230005/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;101000.00;{'nameRu': 'Услуга'}
060140002377/230004/00;{'nameRu': 'ГКП «Житикаракоммунэнерго» ГУ «Отдел жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции акимата Житикаринского района»'};Услуги по производству, передачи, распределению и снабжению тепловой энергии;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;509734.00;{'nameRu': 'Услуга'}
060140002377/230003/00;{'nameRu': 'ГКП «Житикаракоммунэнерго» ГУ «Отдел жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции акимата Житикаринского района»'};Услуги по водоотведению и/или отведения сточных вод;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;90141.24;{'nameRu': 'Услуга'}
060140002377/230001/00;{'nameRu': 'ГКП «Житикаракоммунэнерго» ГУ «Отдел жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции акимата Житикаринского района»'};Услуги по электроснабжению;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;264011.00;{'nameRu': 'Услуга'}
