contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
060140014698/230020/00;"{'nameRu': 'ТОО ""КанцЦентр""'}";Приобретение скотча;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;6204.80;{'nameRu': 'Товар'}
060140014698/230019/00;{'nameRu': 'ИП Сымбат'};Приобретение тетрадей;{'nameRu': 'Запрос ценовых предложений'};0.00;620.00;{'nameRu': 'Товар'}
060140014698/230018/00;{'nameRu': 'ИП Мазкенова'};Приобретение хозяйственных товаров;{'nameRu': 'Запрос ценовых предложений'};0.00;3390.00;{'nameRu': 'Товар'}
060140014698/230015/00;"{'nameRu': 'ТОО ""КанцЦентр""'}";Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};0.00;48182.40;{'nameRu': 'Товар'}
060140014698/230014/00;{'nameRu': 'ИП ПРОКАЕВА ТАТЬЯНА ВЛАДИМИРОВНА'};Приобретение канцелярских товаров;{'nameRu': 'Запрос ценовых предложений'};0.00;5045.00;{'nameRu': 'Товар'}
060140014698/230012/00;"{'nameRu': 'ТОО Проектный институт ""Казгипроград"" 1'}";Разработка проекта детальной планировки кварталов 36, 37, 38 города Рудный, Костанайской области;{'nameRu': 'Открытый конкурс'};2754578.57;15425640.01;{'nameRu': 'Работа'}
060140014698/230011/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Экспресс - Пресса""'}";Розничная торговля газетами;{'nameRu': 'Из одного источника путем прямого заключения договора'};12828.57;43100.00;{'nameRu': 'Услуга'}
060140014698/230010/00;"{'nameRu': 'ТОО ""L-Trading""'}";Услуги по вывозу (сбору) неопасных отходов/имущества/материалов/;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;31360.00;{'nameRu': 'Услуга'}
060140014698/230003/01;"{'nameRu': 'ТОО ""РВ""'}";Услуги по передаче, распределению и холодному водоснабжению с использованием систем централизованного водоснабжения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;441504.00;{'nameRu': 'Услуга'}
060140014698/230009/00;{'nameRu': 'ИП Бурмистров В.В'};Услуги по администрированию и техническому обслуживанию программного обеспечения;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};120000.00;180000.00;{'nameRu': 'Услуга'}
060140014698/230008/00;"{'nameRu': 'ТОО ""Торговый Дом КМ""'}";Бумага для офисного оборудования;{'nameRu': 'Запрос ценовых предложений'};67370.40;75454.85;{'nameRu': 'Товар'}
060140014698/230007/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги фиксированной местной, междугородней, международной телефонной связи;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;60000.00;{'nameRu': 'Услуга'}
060140014698/230006/00;"{'nameRu': 'АО ""Казахтелеком""'}";Услуги интернета;{'nameRu': 'Второй этап конкурса с использованием рамочного соглашения'};0.00;500000.01;{'nameRu': 'Услуга'}
060140014698/230005/00;"{'nameRu': 'ТОО ""PointService""'}";Услуги по заправке картриджей;{'nameRu': 'Запрос ценовых предложений'};0.00;35000.00;{'nameRu': 'Услуга'}
060140014698/230004/00;"{'nameRu': 'ТОО ""Рудненская ЭнергоКомпания""'}";Услуги по передаче/распределению электроэнерги;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;372000.00;{'nameRu': 'Услуга'}
060140014698/230003/00;"{'nameRu': 'ТОО ""РВ""'}";Услуги по передаче, распределению и холодному водоснабжению с использованием систем централизованного водоснабжения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;38000.00;{'nameRu': 'Услуга'}
060140014698/230002/00;"{'nameRu': 'ТОО ""Рудненские тепловые сети""'}";Услуги по передаче, распределению горячей воды (тепловой энергии) на коммунально-бытовые нужды;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;1898400.00;{'nameRu': 'Услуга'}
060140014698/230001/00;"{'nameRu': 'ТОО ""Первый Бит Костанай""'}";Услуги по администрированию и техническому обслуживанию программного обеспечения;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;90000.00;{'nameRu': 'Услуга'}
